question,answer
What is cash flow in real estate?,"Cash flow in real estate is the net income remaining after all property-related expenses are paid from rental income. Positive cash flow means the property generates income beyond all costs. Cash flow = Gross Rental Income − Vacancy − Operating Expenses − Mortgage Payment. Operating expenses include property taxes, insurance, maintenance, property management fees (typically 8-12% of rent), and reserves. A property generating $2,000/month in rent with $1,600 in total monthly costs produces $400/month cash flow ($4,800/year). The 50% rule is a quick estimate: assume 50% of gross rent goes to operating expenses (not including mortgage). The remaining 50% covers your mortgage and generates cash flow. Cash flow real estate investing prioritizes current income over appreciation, suitable for investors needing immediate returns."
What is the 1% rule in real estate?,"The 1% rule is a quick screening metric for rental properties: monthly rent should be at least 1% of the purchase price. A $200,000 property should rent for at least $2,000/month. If the property meets the 1% rule, it's more likely to generate positive cash flow. Context: in most expensive coastal markets (NYC, SF, LA), achieving 1% is nearly impossible. In the Midwest, South, and smaller cities, 1% properties are more common. The 1% rule is a starting screen, not a complete analysis — you still need to calculate actual expenses, vacancy, capital expenditures, and financing costs. In today's higher interest rate environment, some investors use a 1.2-1.5% threshold to account for higher mortgage costs. Use it as a first filter, not a final decision."
What is a cap rate in real estate?,"Capitalization rate (cap rate) measures a property's annual net operating income as a percentage of its value. Cap rate = Net Operating Income (NOI) / Property Value × 100. NOI = Gross Rental Income − Operating Expenses (excluding mortgage). A property worth $400,000 generating $24,000 NOI has a 6% cap rate. Cap rate is used to: compare properties on a cash basis (eliminates financing effects), estimate property value from income (Value = NOI / Cap Rate), and assess market conditions (lower cap rates = higher prices / lower yields). Lower cap rates indicate higher-priced markets where investors accept lower yields for appreciation potential (Manhattan: 3-4%). Higher cap rates offer better income yields with potentially less appreciation (Cleveland: 7-9%). Cap rate does not account for mortgage costs — use cash-on-cash return for that."
What is cash-on-cash return?,"Cash-on-cash return measures annual pre-tax cash flow as a percentage of actual cash invested. Cash-on-Cash = Annual Pre-Tax Cash Flow / Total Cash Invested × 100. Example: you buy a $300,000 rental property with $60,000 down. After all expenses including the mortgage, the property generates $4,800/year in cash flow. Cash-on-cash = $4,800 / $60,000 = 8%. Unlike cap rate, cash-on-cash reflects the impact of financing. Higher leverage generally increases cash-on-cash return (when cap rate exceeds interest rate) but adds risk. Cash-on-cash return of 6-10% is considered acceptable for residential rentals; 10%+ is attractive. It's the most relevant metric for investors using mortgage financing because it shows your actual return on invested cash."
What is house hacking?,"House hacking is the strategy of buying a multifamily property (duplex, triplex, fourplex), living in one unit, and renting out the others — using rental income to offset your housing costs, often eliminating your housing payment entirely. Example: buy a duplex for $350,000, live in one unit, rent the other for $1,500/month. If your total mortgage payment is $2,200, your effective housing cost drops to $700/month. You benefit from owner-occupied financing (3.5% FHA or 5% conventional down payment vs 20-25% for investment property), lower interest rates, and primary residence tax benefits. After 1-2 years, you can move out, rent both units, and repeat with another property — the fastest path to building a rental portfolio. House hacking dramatically accelerates wealth building by eliminating your largest expense."
What is the BRRRR strategy?,"BRRRR stands for Buy, Rehab, Rent, Refinance, Repeat — a real estate investment strategy for building a portfolio with limited capital recycling. Step 1 Buy: purchase a distressed property below market value, often at 70-75% of after-repair value (ARV). Step 2 Rehab: renovate to increase value and attract quality tenants. Step 3 Rent: stabilize the property with tenants generating cash flow. Step 4 Refinance: do a cash-out refinance based on the new appraised value (typically 75-80% LTV). If done correctly, you recover most or all of your initial investment. Step 5 Repeat: use the extracted cash to buy the next property. The goal is to force equity through renovation, pull that equity out tax-free via refinance (debt is not income), and recycle the capital. Risks: renovation cost overruns, appraisal coming in lower than expected, higher leverage from cash-out refi."
What is a real estate syndication?,"A real estate syndication pools capital from multiple investors to acquire a property that would be too expensive for any single investor. A syndicator (general partner/sponsor) finds and manages the deal, while passive investors (limited partners) provide equity capital. The sponsor typically earns a percentage of profits (carried interest or promote) plus management fees. Investors receive preferred returns (typically 6-8% annually) before the sponsor participates in profits. Returns come from cash distributions during ownership and profit upon sale. Syndications are typically structured as LLCs or LPs and are subject to SEC regulations (usually offered under Regulation D to accredited investors). Minimum investments typically range from $25,000 to $100,000. Syndications allow investors to access large commercial deals (apartment complexes, self-storage, office) passively."
What is a REIT?,"A Real Estate Investment Trust (REIT) is a company that owns income-producing real estate, allowing individual investors to invest in real estate portfolios without directly owning properties. REITs must distribute at least 90% of taxable income to shareholders as dividends, making them high-income investments. Types: Equity REITs (own and operate properties), Mortgage REITs (own mortgages and MBS — higher yield, higher risk), and Hybrid REITs. REIT sectors include office, industrial, residential apartments, retail, healthcare, data centers, cell towers, and self-storage. Publicly traded REITs trade on stock exchanges like stocks. Non-traded REITs are less liquid. Benefits: diversification, passive real estate exposure, high dividends, liquidity. Drawbacks: REIT dividends taxed as ordinary income (not qualified dividend rates), interest rate sensitivity."
What is a 1031 exchange in detail?,"A 1031 exchange (named for IRS Section 1031) allows real estate investors to defer capital gains taxes when selling an investment property by reinvesting proceeds into a 'like-kind' property. Rules: both properties must be held for investment or business (not primary residence), you must identify replacement property within 45 days of closing the sold property, and complete the purchase within 180 days. A qualified intermediary must hold the proceeds between transactions. All equity must be reinvested (to defer 100% of gain) and the replacement property's debt must equal or exceed the relinquished property's debt. Like-kind is broad: you can exchange a single-family rental for an apartment complex, raw land for commercial property, etc. The deferred tax becomes due when you sell without a 1031 exchange — unless you hold until death, when heirs receive a stepped-up basis eliminating the deferred gain."
What is depreciation in real estate investing?,"Real estate depreciation is a powerful tax benefit allowing rental property owners to deduct the cost of their property over its 'useful life' — 27.5 years for residential, 39 years for commercial properties. This is a non-cash deduction: you deduct depreciation without spending any money that year. Example: a residential rental with a building value of $275,000 (land doesn't depreciate) generates $10,000/year in depreciation deduction ($275,000 / 27.5). If you're in the 32% tax bracket, this saves $3,200 in taxes annually. Depreciation offsets rental income, creating paper losses that can offset other passive income. Real estate professionals can potentially deduct losses against ordinary income. Depreciation recapture: when you sell, accumulated depreciation is recaptured at 25% tax rate. 1031 exchanges defer recapture."
What is cost segregation in real estate?,"Cost segregation is an engineering and tax strategy that reclassifies components of a real property from the standard 27.5-year (residential) or 39-year (commercial) depreciation schedule to much shorter 5, 7, or 15-year schedules. For example, carpeting, appliances, landscaping, and certain plumbing might qualify for 5-15 year depreciation instead of 27.5 years. Combined with bonus depreciation (100% first-year deduction for qualifying property), cost segregation can generate massive front-loaded depreciation deductions in the year of purchase. A $1 million commercial property might have $200,000-300,000 reclassified to shorter-life assets, creating enormous paper losses that offset income. Cost segregation studies are performed by specialized engineering firms and typically cost $5,000-15,000 — often justified by hundreds of thousands in tax savings."
What is the real estate passive activity loss rule?,"Passive Activity Loss (PAL) rules from the Tax Reform Act of 1986 limit the ability to use rental property losses to offset non-passive income like wages. Rental activities are automatically classified as passive. If your rental generates a loss (usually from depreciation), you can generally only deduct it against other passive income, not wages. Exceptions: the $25,000 rental real estate special allowance — if your AGI is below $100,000 and you actively participate in management, you can deduct up to $25,000 in rental losses against ordinary income. This phases out from $100,000-$150,000 AGI. Real estate professional exception: if you spend 750+ hours per year materially participating in real estate activities (more than any other profession), rental losses are non-passive and can offset ordinary income — a powerful strategy for high earners married to real estate professionals."
