question,answer
What is Bitcoin and how does blockchain work?,"Bitcoin is a decentralized digital currency created in 2009 by the pseudonymous Satoshi Nakamoto, designed to enable peer-to-peer transactions without intermediaries. Blockchain is the underlying technology: a distributed ledger where transactions are grouped into blocks, cryptographically linked to prior blocks, and replicated across thousands of computers. This architecture makes transaction history immutable and resistant to censorship or single-point-of-failure attacks."
How does proof of work consensus work?,"Proof of work (PoW) requires miners to expend computational energy solving complex mathematical puzzles to add new blocks to the blockchain and earn Bitcoin rewards. This process makes attacking the network prohibitively expensive, as an attacker would need to control 51% of all computing power globally. PoW provides robust security at the cost of significant energy consumption, which is Bitcoin's primary environmental criticism."
What is proof of stake consensus?,"Proof of stake (PoS) selects validators to create new blocks based on the amount of cryptocurrency they stake as collateral, rather than computational power. It is far more energy-efficient than PoW; Ethereum's switch to PoS (The Merge in 2022) reduced its energy consumption by approximately 99.95%. Validators earn staking rewards but risk losing their staked assets (slashing) if they behave dishonestly."
What is Ethereum and what are smart contracts?,"Ethereum is a programmable blockchain platform that extends Bitcoin's concept by enabling self-executing code called smart contracts. Smart contracts automatically execute predefined actions when specified conditions are met, without requiring intermediaries. This enables decentralized applications (dApps) ranging from decentralized finance (DeFi) protocols to NFT marketplaces and decentralized autonomous organizations (DAOs)."
What is DeFi (Decentralized Finance)?,"DeFi recreates traditional financial services (lending, borrowing, trading, insurance) using smart contracts on blockchains, removing the need for banks and brokers. Users can earn yield by providing liquidity, borrow against crypto collateral, or trade directly from their wallets without creating accounts. DeFi protocols hold billions in total value locked (TVL) but carry smart contract risks, liquidation risks, and regulatory uncertainty."
What is a crypto wallet and what is the difference between hot and cold wallets?,"A crypto wallet stores the private keys that prove ownership of cryptocurrency on the blockchain; the crypto itself lives on-chain, not in the wallet. Hot wallets (software/exchange wallets) are connected to the internet, offering convenience but greater hacking vulnerability. Cold wallets (hardware wallets like Ledger or Trezor) store keys offline, providing maximum security for long-term holdings at the cost of accessibility."
What are private keys and seed phrases?,"A private key is a 256-bit cryptographic key that proves ownership and authorizes transactions; whoever controls the private key controls the cryptocurrency. A seed phrase (recovery phrase) is a 12-24 word mnemonic representation of the private key that allows wallet recovery if the device is lost. The cardinal rule of crypto security is: never share your seed phrase with anyone under any circumstances."
What is the difference between centralized and decentralized exchanges?,"Centralized exchanges (CEX) like Coinbase and Binance are operated by companies that custody user funds, provide order books, and require identity verification (KYC). Decentralized exchanges (DEX) like Uniswap operate through smart contracts, allowing users to trade directly from their own wallets without custodying funds with a third party. DEXes offer greater privacy and self-custody but have less liquidity, more complex interfaces, and no customer support."
What is cryptocurrency market capitalization?,"Cryptocurrency market cap is calculated by multiplying the circulating supply of coins by the current price. Bitcoin's market cap dominance percentage measures its share of the total crypto market and is watched as a risk-on/risk-off indicator (rising dominance often coincides with altcoin weakness). Total crypto market cap is used to assess overall market size and compare crypto to traditional asset classes."
What is Bitcoin halving and what is its historical impact?,"Bitcoin halving is a programmed event occurring approximately every four years that cuts the block reward for miners in half, reducing the rate of new Bitcoin supply. Bitcoin has experienced halvings in 2012, 2016, 2020, and 2024, with significant price appreciation historically occurring in the 12-18 months following each halving. The mechanism ensures Bitcoin's total supply is capped at 21 million coins, creating provable digital scarcity."
