question,answer
"Calculate the CAGR for an investment that grew from $10,000 to $18,000 in 5 years","Step 1: Identify the CAGR formula: CAGR = (Ending Value / Beginning Value)^(1/n) - 1, where n is the number of years. Step 2: Plug in the values: CAGR = (18000 / 10000)^(1/5) - 1 = (1.8)^(0.2) - 1. Step 3: Calculate (1.8)^0.2 = 1.1247, so CAGR = 1.1247 - 1 = 0.1247. Therefore, the CAGR is approximately 12.47% per year."
"What is the CAGR for a portfolio that went from $25,000 to $40,000 over 6 years?","Step 1: Apply the CAGR formula: CAGR = (Ending Value / Beginning Value)^(1/n) - 1. Step 2: Substitute: CAGR = (40000 / 25000)^(1/6) - 1 = (1.6)^(0.1667) - 1. Step 3: Calculate (1.6)^0.1667 ≈ 1.0816, so CAGR = 0.0816. Therefore, the CAGR is approximately 8.16% per year."
"What is the break-even point for a business with $50,000 fixed costs, $20 selling price, and $12 variable cost per unit?","Step 1: Calculate the contribution margin per unit: Contribution Margin = Selling Price - Variable Cost = $20 - $12 = $8 per unit. Step 2: Apply the break-even formula: Break-Even Units = Fixed Costs / Contribution Margin per Unit = $50,000 / $8 = 6,250 units. Step 3: Verify in dollars: Break-Even Revenue = 6,250 x $20 = $125,000. Therefore, the business must sell 6,250 units or generate $125,000 in revenue to break even."
"Calculate the break-even point for a SaaS company with $120,000 monthly fixed costs, $80 monthly subscription price, and $20 variable cost per customer","Step 1: Contribution margin per customer = $80 - $20 = $60. Step 2: Break-even customers = Fixed Costs / Contribution Margin = $120,000 / $60 = 2,000 customers. Step 3: Verify: 2,000 x $60 = $120,000 which exactly covers fixed costs. Therefore, the company needs 2,000 paying subscribers per month to break even."
"Calculate the debt-to-equity ratio for a company with $500,000 in total debt and $250,000 in shareholders' equity","Step 1: Recall the D/E ratio formula: D/E = Total Debt / Shareholders' Equity. Step 2: Plug in values: D/E = $500,000 / $250,000 = 2.0. Step 3: Interpret the result — a D/E of 2.0 means the company has $2 of debt for every $1 of equity, indicating high leverage which can amplify returns but also increases financial risk. Therefore, the debt-to-equity ratio is 2.0."
"A company has current assets of $450,000 and current liabilities of $300,000. What is the current ratio?","Step 1: Apply the current ratio formula: Current Ratio = Current Assets / Current Liabilities. Step 2: Calculate: Current Ratio = $450,000 / $300,000 = 1.5. Step 3: Interpret — a current ratio of 1.5 means the company has $1.50 in current assets for every $1 of current liabilities. A ratio above 1.0 indicates the company can cover short-term obligations. Therefore, the current ratio is 1.5, reflecting adequate short-term liquidity."
"Calculate the quick ratio for a company with current assets of $600,000, inventory of $150,000, and current liabilities of $250,000","Step 1: Apply the quick ratio formula: Quick Ratio = (Current Assets - Inventory) / Current Liabilities. Step 2: Subtract inventory: $600,000 - $150,000 = $450,000 in quick assets. Step 3: Divide by current liabilities: $450,000 / $250,000 = 1.8. Therefore, the quick ratio is 1.8, meaning the company can cover its short-term liabilities 1.8 times without relying on selling inventory."
"What is the real return on an investment with an 8% nominal return and 3% inflation?","Step 1: Use the Fisher equation for real return: Real Return = (1 + Nominal Return) / (1 + Inflation Rate) - 1. Step 2: Substitute values: Real Return = (1.08) / (1.03) - 1 = 1.04854 - 1 = 0.04854. Step 3: The simplified approximation (Nominal - Inflation = 8% - 3% = 5%) gives a close estimate, but the precise answer is 4.85%. Therefore, the real return is approximately 4.85% per year after adjusting for inflation."
"Calculate the dividend yield for a stock priced at $80 that pays an annual dividend of $3.20","Step 1: Use the dividend yield formula: Dividend Yield = Annual Dividend per Share / Stock Price. Step 2: Plug in values: Dividend Yield = $3.20 / $80.00 = 0.04. Step 3: Convert to percentage: 0.04 x 100 = 4%. Therefore, the dividend yield is 4%, meaning an investor earns 4 cents in dividends for every dollar invested in the stock."
"Use the Rule of 72 to estimate how long it takes to double an investment at 6% annual return","Step 1: The Rule of 72 states: Years to Double ≈ 72 / Annual Interest Rate (%). Step 2: Plug in the rate: Years to Double = 72 / 6 = 12 years. Step 3: Verify with the compound interest formula: $1 x (1.06)^12 = $2.012, confirming the investment roughly doubles in 12 years. Therefore, at a 6% annual return, an investment doubles in approximately 12 years."
