question,answer
How do you research your market salary before negotiating?,"Let's think through this: Step 1: Use multiple salary data sources to triangulate a range — Levels.fyi for tech roles with equity breakdowns; LinkedIn Salary and Glassdoor for broad industry data; Bureau of Labor Statistics Occupational Employment Statistics for rigorous government data; Robert Half and Mercer salary guides for finance, accounting, and professional services; Radford and Culpepper for corporate compensation data. Step 2: Filter by location, company size, industry, and years of experience to get a comparable peer set — national medians are not your negotiating number. Step 3: Talk to peers, recruiters, and people who recently changed jobs in your field; real-world data from humans beats survey aggregates. Step 4: Consider total compensation, not just base salary — bonus targets, equity, and benefits can easily equal 20–50% of base. Step 5: Identify your target (75th percentile of market), acceptable minimum (50th percentile), and walk-away number. Therefore, arriving with specific, sourced data transforms negotiation from asking a favor into presenting market evidence."
When is the right time to negotiate salary versus when is it too late?,"The best time to negotiate is at the offer stage, before you accept — this is the moment of maximum leverage. The employer has selected you above all other candidates and wants to close; they have not yet committed to someone else. Once you accept an offer verbally or in writing, your leverage disappears immediately and revisiting terms is professionally awkward and rarely successful. Negotiating during the interview process (before receiving an offer) is premature and can signal misaligned priorities. After you have started a job, salary increases come through the formal raise cycle or by earning a promotion, which moves on the company's timeline. Exceptions: if a new job requires relocation expenses not covered, unusual licensing costs, or significant investment on your part, raise these before starting. The golden window is between receiving and accepting an offer — typically 24–72 hours. Never accept on the spot; always ask for time to review, even if you intend to accept."
How do you counter a job offer professionally?,"Let's think through this: Step 1: Express genuine enthusiasm for the role and the company before countering — you want them to know you want the job. Step 2: State your counter clearly and confidently with a specific number, not a range (ranges anchor low; they will offer the bottom). Step 3: Anchor your counter with market data: 'Based on my research using Levels.fyi, LinkedIn Salary, and Robert Half, the market rate for this role in [city] is $X–$Y. I am targeting $X.' Step 4: If base salary is constrained, counter on other elements: signing bonus, equity grant, remote work flexibility, an earlier performance review at 6 months, or additional PTO. Step 5: Get everything in writing once agreed. Step 6: Never give an ultimatum unless you mean it and are willing to walk. The vast majority of employers expect negotiation — studies consistently show 85%+ of hiring managers have room to move and rarely rescind offers when candidates negotiate professionally."
How do you ask for a raise effectively?,"Let's think through this: Step 1: Choose timing strategically — after a major win, at your annual review, or when you have taken on significantly expanded responsibilities. Avoid asking after layoffs, budget cuts, or poor company earnings. Step 2: Quantify your contribution in dollar or percentage terms: revenue generated, cost savings, projects delivered, team impact. Vague value claims don't move the needle. Step 3: Research your market rate using salary surveys, recruiter conversations, and peer data — frame the ask around market alignment, not personal need. Step 4: State a specific number, not a range. Request a meeting in advance with your manager rather than raising it unexpectedly. Step 5: Prepare for a 'not now' response by asking: 'What would I need to achieve to earn a raise of $X by [date]?' — this converts a rejection into a roadmap. Step 6: If the answer is persistently no with no path forward, use competing offers as market evidence or use the raise you were denied as permission to look elsewhere. Therefore, raises are negotiated, not passively received."
How much of a raise should you ask for?,"The amount to request depends on the gap between your current compensation and market rate, plus any expanded responsibilities. Merit increase budgets at most companies run 2–4% annually — this is the cost-of-living baseline, not a meaningful raise. To make a real compensation gain, you generally need a promotion, a role change, or a competing offer. Specific guidance: if you are at or above market rate and your performance is strong, ask for 8–12% to move to the 75th percentile. If you are meaningfully below market, ask for 15–25% — frame it as market correction, not a personal demand. If you are taking on a new role with significantly expanded scope, ask for 15–20%+ tied to the new title and responsibilities. Annual merit cycles rarely deliver more than 5%; switching jobs is the most effective mechanism for a step-change in compensation, with job changers historically earning 10–20% more than job stayers. Know your number before the conversation starts."
What is total compensation and what should you evaluate beyond base salary?,"Total compensation is the full economic value of your employment package: base salary + annual bonus + equity (RSUs, options, ESPP) + retirement benefits (401k match, pension) + health insurance (the employer contribution, often $10,000–$20,000/year) + other benefits (HSA contributions, commuter benefits, tuition reimbursement, paid leave). Evaluating total compensation: calculate the present value of equity vesting over four years, including a realistic probability of value realization (startup equity vs. public company RSUs). Model the 401k match — a 4% match on a $120,000 salary is $4,800/year, tax-deferred. Value health insurance: a plan with a $200/month premium is worth $2,400/year less than one with zero premium. Compare PTO policies — 10 extra vacation days on a $100K salary equals $3,846 in value. Two jobs with the same base salary can differ by $30,000–$50,000 in total compensation. Always build a full comparison spreadsheet before making a job decision."
What is the difference between stock options and RSUs and which is better?,"Stock options give you the right to purchase company stock at a fixed price (the strike price or exercise price) set at grant date. Your profit is the difference between the stock price when you exercise and the strike price. Options have value only if the stock rises above the strike price; they expire worthless if it doesn't. RSUs (Restricted Stock Units) are grants of actual shares (or the cash equivalent) delivered to you when they vest — no purchase required. RSUs always have value as long as the stock is worth anything. Options are typically more valuable at high-growth startups with low current valuations because the leverage is enormous if the company succeeds; RSUs dominate at established public companies where the stock price is already high and predictable. Tax treatment differs significantly: RSUs are taxed as ordinary income at vesting; options have more complexity (see ISO vs. NSO differences). Neither is universally better — the value depends on company stage, stock price trajectory, and your personal risk tolerance and tax situation."
How do RSUs work and what should you do when they vest?,"RSUs (Restricted Stock Units) are promises from your employer to deliver company shares on a future date (when they vest), contingent on continued employment. They are granted in units; each unit converts to one share upon vesting. At vesting, the fair market value of the shares is treated as ordinary W-2 income, and your employer withholds taxes (typically 22% federal, plus state). Many employers withhold shares to cover taxes (sell-to-cover), leaving you with the net shares. What to do when RSUs vest: Step 1 — Recognize that you now hold a concentrated position in your employer's stock; you already have your career dependent on this company, so holding additional concentrated stock doubles the risk. Step 2 — Consider selling a significant portion (50–100%) of vested RSUs immediately and reinvesting in a diversified portfolio — this is generally the financially sound default unless you have strong conviction about the stock. Step 3 — Be aware of any trading blackout windows or Rule 10b5-1 plan requirements if your company is public."
What are ISO stock options and what is the AMT risk?,"Incentive Stock Options (ISOs) are a type of employee stock option with favorable tax treatment: when you exercise ISOs, there is no regular income tax event at exercise (unlike NSOs). If you hold the shares for two years from grant and one year from exercise, your entire gain is taxed at long-term capital gains rates (0–20%) rather than ordinary income rates (up to 37%). The catch: the spread at exercise (stock price minus strike price) is an Alternative Minimum Tax (AMT) preference item. In a high-spread ISO exercise, you may owe significant AMT even though you have no regular income tax — and if the stock falls after you exercise but before you sell, you could owe AMT on gain that no longer exists. The AMT exemption ($85,700 for single filers in 2024) provides a buffer. Strategy: model AMT impact before exercising large ISOs, consider spreading exercises across tax years, and work with a CPA. Early exercise (exercising before the stock appreciates, potentially while still at or near strike price) can eliminate the AMT spread issue entirely."
What are non-qualified stock options and how are they taxed?,"Non-Qualified Stock Options (NSOs or NQSOs) are the most common type of employee stock option. Unlike ISOs, NSOs do not receive special tax treatment: when you exercise an NSO, the spread (stock price at exercise minus strike price) is immediately taxed as ordinary income (W-2 wages), and your employer withholds payroll and income taxes. After exercise, any additional appreciation is taxed as capital gains (short-term if held under one year, long-term if held over one year). NSOs can be granted to employees, directors, contractors, and advisors — ISOs can only go to employees. There is no AMT concern with NSOs, which makes planning simpler. The key decision with NSOs is when to exercise: early exercise makes sense when the spread is small (minimizing ordinary income) and you expect significant future appreciation. Exercising when the spread is large generates an immediate large tax bill on gains you haven't monetized yet, creating cash flow risk if the stock subsequently falls."
