question,answer
What is a stock?,"A stock represents a share of ownership in a company, entitling the holder to a proportional claim on the company's assets and earnings. When you buy stock, you become a shareholder and may benefit from price appreciation and dividend payments. Stocks are traded on exchanges like the NYSE and NASDAQ and are considered one of the core building blocks of investment portfolios."
What is a bond?,"A bond is a fixed-income debt instrument where an investor loans money to a borrower (typically a corporation or government) in exchange for periodic interest payments and the return of principal at maturity. Bonds are generally considered less risky than stocks but offer lower potential returns. They play a key role in portfolio diversification and income generation."
What is an ETF?,"An ETF (Exchange-Traded Fund) is a basket of securities that trades on a stock exchange like a single stock throughout the trading day. ETFs typically track an index, commodity, or sector and offer diversification at low cost. They combine the diversification benefits of mutual funds with the flexibility and liquidity of individual stock trading."
What is a mutual fund?,"A mutual fund pools money from many investors to purchase a diversified portfolio of stocks, bonds, or other securities managed by professional fund managers. Investors buy shares of the fund and share in its gains, losses, and expenses. Mutual funds are priced once per day after market close, unlike ETFs which trade continuously."
What is an index fund?,"An index fund is a type of mutual fund or ETF designed to replicate the performance of a specific market index such as the S&P 500. Index funds follow a passive investment strategy, meaning they do not attempt to outperform the market but simply match it. They typically have very low expense ratios and have been shown to outperform most actively managed funds over long time periods."
What is a dividend?,"A dividend is a portion of a company's earnings distributed to shareholders, typically paid quarterly in cash or additional shares. Dividends signal financial health and provide investors with regular income regardless of stock price movement. Not all companies pay dividends; growth-oriented companies often reinvest profits instead."
What is compound interest?,"Compound interest is the process by which interest is earned not only on the original principal but also on the accumulated interest from previous periods. This creates an exponential growth effect over time, often called the snowball effect. Albert Einstein reportedly called compound interest the eighth wonder of the world because of its powerful ability to grow wealth over long time horizons."
What is net worth?,"Net worth is the total value of an individual's or entity's assets minus all outstanding liabilities. It provides a snapshot of financial health and is calculated by subtracting what you owe from what you own. Tracking net worth over time is one of the most important metrics for measuring personal financial progress."
What is asset allocation?,"Asset allocation is the strategy of dividing an investment portfolio among different asset categories such as stocks, bonds, real estate, and cash. The goal is to balance risk and reward according to an investor's time horizon, risk tolerance, and financial goals. Asset allocation is considered the single most important determinant of long-term portfolio performance."
What is diversification?,"Diversification is the practice of spreading investments across various assets, sectors, or geographies to reduce exposure to any single risk. The principle is based on the idea that different assets often move in different directions, so losses in one area can be offset by gains in another. Diversification is often called the only free lunch in investing."
What is risk tolerance?,"Risk tolerance refers to an investor's ability and willingness to endure declines in the value of their investments in exchange for the possibility of higher returns. It is influenced by factors such as investment time horizon, financial situation, emotional temperament, and investment experience. Understanding your risk tolerance is essential to building a portfolio you can stick with through market volatility."
What is liquidity?,"Liquidity refers to how quickly and easily an asset can be converted into cash without significantly affecting its price. Cash is the most liquid asset, while real estate and private equity are examples of illiquid assets. Investors must balance the need for liquidity with the potential for higher returns from less liquid investments."
What is a portfolio?,"An investment portfolio is a collection of financial assets such as stocks, bonds, ETFs, real estate, and cash held by an individual or institution. A well-constructed portfolio is designed to meet specific financial goals while managing risk through diversification. Portfolio management involves regularly reviewing and rebalancing holdings to maintain the desired asset allocation."
What is expense ratio?,"The expense ratio is the annual fee charged by a mutual fund or ETF to cover its operating costs, expressed as a percentage of assets under management. For example, an expense ratio of 0.10% means you pay $1 for every $1,000 invested annually. Lower expense ratios directly improve investment returns, which is why index funds with low fees often outperform high-fee actively managed funds over time."
What is yield?,"Yield is the income return on an investment, expressed as a percentage of the investment's cost or current market value. For bonds, yield refers to the interest payments relative to price; for stocks, it refers to dividends relative to price. Yield is an important metric for income-focused investors evaluating the attractiveness of different investments."
What are capital gains?,"Capital gains are the profits realized when an investment is sold for more than its purchase price. Short-term capital gains (assets held less than one year) are taxed as ordinary income, while long-term capital gains (held more than one year) receive preferential tax rates. Understanding the tax treatment of capital gains is critical for optimizing after-tax investment returns."
What is inflation?,"Inflation is the general increase in prices and the corresponding decrease in the purchasing power of money over time. It is measured by indices like the Consumer Price Index (CPI) and the Personal Consumption Expenditures (PCE) index. Inflation erodes the real value of savings and investments, making it essential for investors to earn returns that exceed the inflation rate."
What is purchasing power?,"Purchasing power refers to the quantity of goods and services that a unit of currency can buy. Inflation reduces purchasing power over time, meaning the same amount of money buys fewer goods in the future. Protecting and growing purchasing power is a primary goal of long-term investing, which is why holding only cash is considered risky in inflationary environments."
What are financial statements?,"Financial statements are formal records of a company's financial activities, including the balance sheet, income statement, and cash flow statement. They provide investors, analysts, and regulators with detailed information about a company's financial health and performance. Analyzing financial statements is the foundation of fundamental analysis used to evaluate stocks."
What is a balance sheet?,"A balance sheet is a financial statement that provides a snapshot of a company's assets, liabilities, and shareholders' equity at a specific point in time. The fundamental equation is: Assets = Liabilities + Shareholders' Equity. It helps investors assess a company's financial strength, liquidity, and ability to meet its obligations."
What is an income statement?,"An income statement, also called a profit and loss statement, shows a company's revenues, expenses, and net income over a specific period. It reveals whether a company is profitable and how efficiently it generates earnings from its revenue. Key metrics derived from it include gross profit, operating income, and net income."
What is a cash flow statement?,"A cash flow statement tracks the actual cash generated and used by a company across operating, investing, and financing activities during a specific period. Unlike the income statement, it reflects real cash movements rather than accounting profits, making it harder to manipulate. Many analysts consider free cash flow from this statement to be the most reliable indicator of a company's financial health."
What is earnings per share (EPS)?,"Earnings per share (EPS) is a company's net profit divided by the number of outstanding shares of common stock, indicating how much profit is attributed to each share. Higher EPS generally signals greater profitability and is a key metric used in stock valuation. EPS can be reported on a basic or diluted basis, with diluted EPS accounting for stock options and convertible securities."
What is book value?,"Book value is the net asset value of a company calculated as total assets minus total liabilities, representing what shareholders would theoretically receive if the company were liquidated. Book value per share divides this figure by the number of outstanding shares. Comparing book value to market value (as in the price-to-book ratio) helps identify potentially undervalued or overvalued stocks."
What is intrinsic value?,"Intrinsic value is the perceived or calculated true value of an asset based on fundamental analysis, independent of its current market price. Value investors like Warren Buffett seek to buy stocks trading below their intrinsic value to achieve a margin of safety. Intrinsic value is often estimated using discounted cash flow models that project future cash flows and discount them to the present."
What is market value?,"Market value is the current price at which an asset or security can be bought or sold in the open market. For publicly traded stocks, market value is simply the current stock price multiplied by outstanding shares (market capitalization). Market value reflects investor sentiment and expectations about future performance, which may differ significantly from book or intrinsic value."
What is the debt-to-equity ratio?,"The debt-to-equity (D/E) ratio measures the proportion of a company's financing that comes from debt versus shareholder equity, calculated by dividing total liabilities by total shareholders' equity. A high D/E ratio indicates greater financial leverage and potentially higher risk, as the company relies more heavily on borrowed money. The ideal D/E ratio varies by industry, with capital-intensive industries typically carrying higher ratios."
What is return on equity (ROE)?,"Return on equity (ROE) measures how effectively a company uses shareholder equity to generate profits, calculated as net income divided by shareholders' equity. It is a key indicator of management efficiency and profitability. A consistently high ROE compared to industry peers suggests competitive advantage and superior capital allocation."
What is gross margin?,"Gross margin is the percentage of revenue remaining after subtracting the cost of goods sold (COGS), calculated as (Revenue - COGS) / Revenue. It reflects a company's pricing power and production efficiency before accounting for overhead and other operating expenses. Higher gross margins generally indicate a more profitable and competitive business."
What is net margin?,"Net margin is the percentage of revenue that remains as profit after all expenses, taxes, and interest are deducted, calculated as Net Income / Revenue. It is one of the most important profitability metrics, indicating how much of each dollar of sales translates into profit. Comparing net margins across companies in the same industry reveals which businesses operate most efficiently."
What is EBITDA?,"EBITDA stands for Earnings Before Interest, Taxes, Depreciation, and Amortization, and is used to evaluate a company's core operational profitability before accounting and financing decisions. It is widely used in valuation multiples (EV/EBITDA) and debt covenant calculations. However, critics note it can be misleading because it ignores capital expenditures required to maintain the business."
What is free cash flow?,"Free cash flow (FCF) is the cash a company generates from operations after subtracting capital expenditures required to maintain and grow the business. It represents the cash available for dividends, buybacks, debt repayment, or acquisitions. FCF is considered one of the purest measures of financial performance because it is harder to manipulate than earnings."
What is working capital?,"Working capital is the difference between a company's current assets and current liabilities, measuring its short-term liquidity and operational efficiency. Positive working capital means the company can meet its short-term obligations, while negative working capital may signal financial distress. Efficient working capital management is critical for businesses with seasonal or cyclical cash flow patterns."
What is the current ratio?,"The current ratio measures a company's ability to pay short-term obligations using its short-term assets, calculated as current assets divided by current liabilities. A ratio above 1.0 indicates the company has more assets than liabilities due within a year. While a higher current ratio suggests better liquidity, an extremely high ratio may indicate inefficient use of assets."
What is the quick ratio?,"The quick ratio, also called the acid-test ratio, measures a company's ability to meet short-term liabilities with its most liquid assets (excluding inventory), calculated as (Cash + Short-term Investments + Receivables) / Current Liabilities. It is a more conservative measure of liquidity than the current ratio. A quick ratio above 1.0 is generally considered healthy."
What is a hedge?,"A hedge is an investment strategy used to reduce or offset the risk of adverse price movements in an asset by taking an opposing position. Common hedging instruments include options, futures, and inverse ETFs. While hedging can protect against losses, it typically comes at a cost and may limit potential gains."
What is arbitrage?,"Arbitrage is the practice of simultaneously buying and selling an asset in different markets to profit from price discrepancies with little to no risk. In theory, arbitrage opportunities are fleeting because they are quickly exploited by traders, helping to keep prices efficient across markets. Modern arbitrage is often executed by high-frequency trading algorithms in milliseconds."
What is leverage?,"Leverage involves using borrowed capital or financial instruments to increase the potential return of an investment. While leverage can amplify gains, it equally amplifies losses and can result in losing more than the original investment. Excessive leverage is a primary cause of financial crises, as it turns small price declines into catastrophic losses."
What is margin trading?,"Margin trading allows investors to borrow money from a broker to purchase securities, using existing investments as collateral. The borrowed funds amplify buying power and potential returns, but also magnify losses. If the account value falls below the maintenance margin requirement, a margin call requires the investor to deposit more funds or sell assets."
What is short selling?,"Short selling involves borrowing shares of a stock and selling them with the intention of buying them back at a lower price to profit from a decline. If the stock price falls, the short seller profits by repurchasing shares cheaply to return to the lender. Short selling carries theoretically unlimited risk since a stock's price can rise indefinitely."
What are options?,"Options are financial contracts that give the buyer the right, but not the obligation, to buy (call option) or sell (put option) an underlying asset at a specified price (strike price) before or on a specific date (expiration). Options can be used for speculation, income generation, or hedging. Their value is derived from the underlying asset's price, time to expiration, and implied volatility."
What are derivatives?,"Derivatives are financial contracts whose value is derived from an underlying asset, index, or rate, including options, futures, forwards, and swaps. They are used by investors and corporations to hedge risk, speculate on price movements, or gain exposure to assets without owning them directly. The global derivatives market is enormous and plays a critical role in price discovery and risk transfer."
What are futures?,"Futures are standardized contracts obligating the buyer to purchase and the seller to deliver a specific asset at a predetermined price on a future date. They are traded on exchanges and are commonly used for commodities, currencies, stock indices, and interest rates. Unlike options, futures contracts create an obligation to transact, not merely the right."
What are forward contracts?,"Forward contracts are customized agreements between two parties to buy or sell an asset at a specified future date and price, traded over-the-counter rather than on exchanges. They are widely used by corporations to hedge currency and commodity price risk. Because they are private contracts, they carry counterparty risk—the risk that one party will default on the obligation."
What is a swap?,"A swap is a derivative contract in which two parties exchange cash flows based on different financial instruments, most commonly interest rates or currencies. In an interest rate swap, one party pays a fixed rate while receiving a floating rate, allowing each to gain the type of cash flow it needs. Swaps are primarily used by corporations and financial institutions for hedging and managing balance sheet risk."
What are commodities?,"Commodities are raw materials or primary agricultural products that can be bought and sold, such as gold, oil, natural gas, wheat, and copper. They are traded on exchanges and through futures contracts, and their prices are driven by global supply and demand dynamics. Commodities can serve as inflation hedges and portfolio diversifiers since they often move independently of stocks and bonds."
What is forex?,"Forex (foreign exchange) is the global market for trading national currencies against one another, and it is the largest and most liquid financial market in the world. Currency values fluctuate based on economic indicators, interest rate differentials, geopolitical events, and market sentiment. Forex trading is used by banks, corporations, governments, and individual traders for commerce, investment, and speculation."
What are REITs?,"REITs (Real Estate Investment Trusts) are companies that own, operate, or finance income-producing real estate and allow investors to gain exposure to real estate without directly owning property. They are required to distribute at least 90% of taxable income as dividends, making them attractive income investments. REITs provide diversification, liquidity, and historically competitive returns compared to other asset classes."
What is venture capital?,"Venture capital (VC) is a form of private equity financing provided to early-stage, high-growth potential startups in exchange for equity stakes. VC firms accept high risk in exchange for the possibility of extraordinary returns if a portfolio company becomes highly successful. Venture capital funding is critical for innovation, funding many of the world's most transformative technology companies."
What is private equity?,"Private equity involves investment in companies that are not listed on public stock exchanges, typically through buyouts, growth capital, or venture capital strategies. Private equity firms often acquire companies, improve operations over several years, and then exit through a sale or IPO. The asset class typically requires long lock-up periods and is primarily accessible to institutional investors and high-net-worth individuals."
What is an IPO?,"An IPO (Initial Public Offering) is the process by which a private company offers shares to the public for the first time on a stock exchange. It allows the company to raise capital from public investors and provides early investors and employees with liquidity. IPOs are underwritten by investment banks and involve extensive regulatory filings and roadshows to generate investor interest."
What is the secondary market?,"The secondary market is where previously issued securities are bought and sold among investors, rather than from the issuing company directly. Stock exchanges like the NYSE and NASDAQ are secondary markets. Trading in the secondary market provides liquidity to investors and helps establish market prices for securities."
