question,answer
"What is an interest rate swap?","Step 1: An interest rate swap is a contract where two parties agree to exchange cash flows — one paying a fixed rate and the other paying a floating rate — on a notional principal amount for a specified period. Step 2: The notional principal is never exchanged; only the net interest payment changes hands. Step 3: Swaps are used to convert floating-rate borrowings to fixed (hedging interest rate risk) or vice versa. Step 4: The fixed rate in the swap (the swap rate) is set so the contract has zero value at inception. Therefore, interest rate swaps are the most widely used derivative globally, enabling parties to manage interest rate exposure without refinancing underlying debt."
"What is a currency swap?","Step 1: A currency swap is a contract where two parties exchange principal and interest payments in different currencies over a defined term. Step 2: At inception, parties exchange notional principal in their respective currencies; at maturity, they re-exchange the original principals. Step 3: Periodic interest payments are made in each party's currency based on the swap's terms (fixed or floating). Step 4: Currency swaps are used to access cheaper financing in foreign markets and to hedge currency risk on cross-border debt. Therefore, currency swaps facilitate cross-border capital access and currency risk management by enabling parties to exchange both interest and principal obligations across currency denominations."
"What is a total return swap (TRS)?","Step 1: A total return swap is a contract where the total return receiver receives all cash flows (coupons, price appreciation) of a reference asset and pays the total return payer a floating rate (e.g., SOFR plus a spread). Step 2: The payer synthetically holds the asset — receiving all economic benefits and bearing all losses — without owning it outright. Step 3: TRS are used by banks to transfer credit risk off balance sheet and by hedge funds to gain leveraged exposure to assets without purchasing them. Step 4: The Archegos Capital collapse in 2021 occurred partly through equity TRS that obscured the fund's concentrated positions from counterparties. Therefore, total return swaps are powerful leverage and risk transfer instruments, but their off-balance-sheet nature creates systemic risk through hidden exposures."
"What is a credit default swap (CDS)?","Step 1: A CDS is a contract where the protection buyer pays a periodic premium to the protection seller in exchange for compensation if a reference entity defaults. Step 2: If a credit event (default, restructuring) occurs, the seller pays the buyer the difference between par value and recovery value of the reference obligation. Step 3: CDS can be used as insurance by bond holders or as a speculative bet on credit deterioration without owning the underlying bond. Step 4: The 2008 financial crisis revealed systemic risks in the CDS market, particularly when AIG had sold enormous amounts of protection it could not pay. Therefore, CDS are the primary instrument for trading credit risk — they serve legitimate hedging functions but can amplify systemic risk if sold without adequate capital backing."
"What is a commodity swap?","Step 1: A commodity swap exchanges cash flows based on a commodity price for a fixed price — a producer receives fixed payments and pays the floating market price. Step 2: An airline might swap floating jet fuel prices for a fixed rate, locking in fuel costs regardless of market volatility. Step 3: The settlement is typically cash rather than physical delivery. Step 4: Commodity swaps allow producers and consumers to hedge commodity price exposure without using futures markets, with more flexible terms. Therefore, commodity swaps are over-the-counter hedging tools that protect producers and consumers from commodity price volatility by converting uncertain floating costs into predictable fixed payments."
"What is a forward contract?","Step 1: A forward contract is a private, customized agreement between two parties to buy or sell an asset at a specified price on a future date. Step 2: Unlike futures, forwards are not traded on exchanges — they are OTC contracts, so terms (quantity, delivery, settlement) are negotiated directly. Step 3: At settlement, one party pays the difference between the forward price and the spot price (cash settlement) or delivers the actual asset (physical settlement). Step 4: Forwards expose both parties to counterparty credit risk since there is no clearinghouse guarantee. Therefore, forward contracts are the simplest form of derivative hedging — customizable but carrying counterparty risk unlike exchange-traded futures."
"What is a futures contract and how does it differ from a forward?","Step 1: A futures contract is a standardized agreement to buy or sell a specified asset at a predetermined price on a future date, traded on a regulated exchange. Step 2: Standardization covers contract size, delivery terms, and settlement dates; this enables liquidity and price transparency. Step 3: Daily mark-to-market settlement (variation margin) means gains and losses are realized daily, eliminating the counterparty default risk present in forwards. Step 4: Initial and maintenance margin requirements ensure both parties have skin in the game throughout the contract's life. Therefore, futures offer the price-locking function of forwards with the added benefits of exchange transparency, liquidity, and counterparty risk elimination through central clearing."
"What is a swaption?","Step 1: A swaption is an option that gives the holder the right, but not the obligation, to enter into an interest rate swap at a specified fixed rate (the strike rate) on or before expiry. Step 2: A payer swaption gives the right to pay fixed and receive floating — beneficial if rates rise above the strike. Step 3: A receiver swaption gives the right to receive fixed and pay floating — beneficial if rates fall below the strike. Step 4: Corporations use swaptions to hedge future borrowing costs while maintaining optionality; banks use them in mortgage hedging. Therefore, swaptions combine the interest rate management of swaps with the asymmetric payoff of options, providing protection against adverse rate moves while preserving benefit from favorable moves."
"What is a variance swap?","Step 1: A variance swap is a derivative contract that pays the difference between realized variance (squared volatility) of an underlying asset and a predetermined fixed variance level. Step 2: The buyer profits if actual volatility exceeds the fixed variance strike; the seller profits if volatility is lower. Step 3: Unlike volatility swaps, variance swaps are convex — large volatility spikes generate disproportionately larger payoffs. Step 4: Variance swaps are used by volatility traders and hedge funds to express views on or hedge against volatility changes independent of the direction of the underlying asset. Therefore, variance swaps allow direct trading of realized volatility as an asset class, separating volatility risk from directional price risk."
"What is an equity swap?","Step 1: An equity swap exchanges the total return of a stock or equity index for a floating interest rate between two counterparties. Step 2: The equity return receiver benefits from all price appreciation and dividends of the reference equity without owning shares. Step 3: Equity swaps enable pension funds to gain equity exposure without buying shares outright (useful in certain regulatory or tax contexts). Step 4: They also allow banks to create synthetic equity products for clients who cannot directly access foreign markets. Therefore, equity swaps provide synthetic equity exposure, enabling cross-border investment, leverage, and tax-efficient return replication without direct share ownership."
