question,answer
Why is starting early so important for retirement investing?,"Starting early maximizes compounding: investing $5,000 at age 25 grows to approximately $70,000 by age 65 at 7% returns, while the same investment made at 35 grows to only $35,000. Each decade of delay roughly halves the final accumulation. The first decade of investing is the most powerful because early contributions have the longest compounding runway."
How does compound interest work over decades?,"Compound interest earns returns on both the original principal and all previously accumulated gains, creating exponential growth. At 8% annual returns, money doubles approximately every 9 years (Rule of 72). A 25-year-old investing $500 monthly until 65 accumulates approximately $1.7 million at 7% returns while investing nothing after 35 yields only $570,000 starting the same monthly investment at 35."
What are the 401(k) contribution limits for 2024?,"The 2024 employee contribution limit for 401(k) plans is $23,000, with an additional $7,500 catch-up contribution allowed for those age 50 and older. The total contribution limit including employer contributions is $69,000 (or $76,500 with catch-up). These limits are adjusted annually for inflation by the IRS."
How should you approach employer 401(k) match?,"Employer matching contributions are the best guaranteed return available to most investors and should always be maximized before investing elsewhere. A 100% match on the first 3% of salary is an immediate 100% return on that portion, far exceeding any market return. Failing to capture the full match is equivalent to leaving part of your salary on the table."
What are the tax benefits of a traditional 401(k)?,"Traditional 401(k) contributions are made pre-tax, reducing current taxable income; contributing $10,000 reduces your tax bill by $2,200 if you're in the 22% bracket. Growth is tax-deferred, and taxes are paid only on withdrawals in retirement. The benefit is greatest when current marginal tax rate exceeds expected retirement tax rate."
What are the benefits of a Roth 401(k)?,"Roth 401(k) contributions are made after-tax, so there is no immediate tax deduction, but all future growth and qualified withdrawals are completely tax-free. It provides a hedge against future tax rate increases and is especially valuable for young investors expecting higher income (and tax brackets) in retirement. Unlike Roth IRAs, Roth 401(k)s had required minimum distributions until the SECURE 2.0 Act eliminated them starting in 2024."
When should you choose traditional versus Roth retirement accounts?,"Choose traditional (pre-tax) if your current tax rate is high and you expect a significantly lower tax rate in retirement due to lower income needs. Choose Roth if you're early career in a low tax bracket, expect tax rates to rise, or want tax-free flexibility in retirement. Many advisors recommend contributing to both to create tax diversification, providing flexibility to draw from different account types to manage retirement tax bills."
What are the IRA contribution limits for 2024?,"The 2024 IRA contribution limit is $7,000 per person per year, with a $1,000 catch-up for those 50 and older totaling $8,000. This limit applies to combined contributions across all traditional and Roth IRAs. Contributions must be from earned income, so individuals with no earned income (other than spousal IRAs) cannot contribute."
What are the traditional IRA deductibility rules?,"Traditional IRA contributions are fully deductible if you have no workplace retirement plan regardless of income. If covered by a workplace plan, deductibility phases out between $77,000-$87,000 for single filers and $123,000-$143,000 for married filing jointly (2024 figures). Non-deductible traditional IRA contributions still receive tax-deferred growth but require tracking a cost basis for eventual withdrawal."
What are the Roth IRA income limits?,"Roth IRA contributions phase out for single filers with income between $146,000-$161,000 and for married filing jointly between $230,000-$240,000 (2024 limits). Above the phase-out, direct Roth IRA contributions are not allowed but the backdoor Roth strategy remains available. The income limits apply to MAGI (modified adjusted gross income), not gross income."
How does the backdoor Roth IRA work step by step?,"The backdoor Roth IRA involves making a non-deductible traditional IRA contribution then immediately converting it to a Roth IRA, effectively allowing high-income earners to bypass income limits. Steps: contribute to a traditional IRA (mark as non-deductible on Form 8606), wait a brief period, convert the full amount to the Roth IRA. The pro-rata rule creates a tax complication if you have other pre-tax IRA balances, potentially triggering taxes on the conversion."
What is the mega backdoor Roth strategy?,"The mega backdoor Roth allows contributing up to an additional $46,000 (2024) in after-tax 401(k) contributions beyond the regular employee deferral limit, then converting or rolling those after-tax contributions to a Roth account. The strategy requires a 401(k) plan that allows after-tax contributions and in-service distributions or in-plan Roth conversions. Not all employers offer this feature, making it important to check your specific plan documents."
What is a Solo 401(k) for self-employed individuals?,"A Solo 401(k) (also called an Individual 401(k)) allows self-employed individuals and small business owners with no employees to contribute as both employee and employer. The employee contribution limit is $23,000 (plus $7,500 catch-up for 50+) and the employer contribution can be up to 25% of compensation, with total contributions limited to $69,000 (2024). This allows substantial retirement savings contributions, far exceeding what is possible with a SEP IRA on low income."
What are SEP IRA contribution limits?,"A Simplified Employee Pension (SEP) IRA allows contributions of up to 25% of compensation (for employees) or approximately 20% of net self-employment income, up to $69,000 in 2024. It is simpler to establish than a Solo 401(k) and allows contributions as late as the tax filing deadline including extensions. However, SEP IRAs do not allow catch-up contributions and cannot accept employee (Roth) contributions."
