question,answer
What is fractional reserve banking?,"Fractional reserve banking is the system where banks hold only a fraction of deposits in reserve and lend out the rest. If the reserve requirement is 10%, a bank receiving $1,000 in deposits can lend out $900. That $900, when deposited in another bank, allows $810 more to be lent. This process creates a money multiplier: in theory, $1,000 in initial deposits can result in $10,000 in total deposits across the banking system. The Federal Reserve eliminated reserve requirements for US banks in March 2020, with capital requirements now serving as the primary constraint on lending. Fractional reserve banking enables economic growth by channeling savings into productive loans, but also creates systemic risk — banks can fail if too many depositors withdraw simultaneously (bank run)."
What is the interbank lending market?,"The interbank market is where banks borrow and lend funds among themselves, typically short-term (overnight to a few weeks). Banks with excess reserves lend to banks that need reserves to meet regulatory requirements or fund loans. The federal funds rate is the interest rate banks charge each other for overnight lending of federal funds (reserves held at the Fed) — the benchmark rate the Federal Reserve targets. LIBOR (London Interbank Offered Rate) was the global interbank benchmark for decades until replaced by SOFR (Secured Overnight Financing Rate) in 2023 after manipulation scandals. The interbank market is essential to banking system liquidity. During the 2008 crisis, interbank lending froze as banks didn't trust each other's solvency — a key amplifier of the financial crisis."
What is a central bank and what does it do?,"A central bank is a national institution that manages a country's monetary policy, oversees the banking system, and serves as the government's banker. Key functions: setting interest rates to control inflation and employment (monetary policy), acting as the 'lender of last resort' to prevent bank failures during crises, regulating and supervising commercial banks, managing foreign exchange reserves, issuing currency, and processing payments between banks. Major central banks: Federal Reserve (US), European Central Bank (ECB), Bank of England, Bank of Japan, People's Bank of China, and Bank for International Settlements (BIS — the central bank of central banks). Central banks are typically designed to be independent from political interference to maintain credibility in fighting inflation, though their independence is sometimes challenged."
What is quantitative easing and how does it work?,"Quantitative easing (QE) is an unconventional monetary policy tool used when interest rates are already near zero. The central bank creates new money electronically and uses it to buy financial assets — typically government bonds and mortgage-backed securities — from banks and other institutions. This: injects money directly into the financial system, pushes up the prices of purchased assets (driving their yields down), encourages investors to move into higher-yielding assets (stocks, corporate bonds), and lowers long-term interest rates throughout the economy. The Fed deployed QE after the 2008 financial crisis (expanding its balance sheet from ~$900B to ~$4.5T) and again during COVID (expanding to ~$9T). Concerns: QE can inflate asset prices (benefiting wealthy asset owners more than others), may be difficult to unwind, and carries inflation risks if overdone — as seen in 2021-2022."
What is the lender of last resort?,"The lender of last resort (LOLR) is a central bank's role of providing emergency liquidity to solvent financial institutions that cannot borrow from anywhere else. Walter Bagehot's 1873 dictum: 'lend freely, at a penalty rate, against good collateral.' The principle: prevent bank runs from destroying solvent institutions (not bail out insolvent ones). Without a LOLR, solvent banks could fail simply because depositor panic creates temporary liquidity shortfalls. The Fed used LOLR facilities extensively in 2008 (creating emergency lending facilities) and in March 2020 (launching the Commercial Paper Funding Facility and others). The 2023 bank failures (SVB, Signature) led the Fed to create the Bank Term Funding Program (BTFP) — offering loans to banks against Treasury securities at face value (controversial because it subsidized banks that made duration mistakes)."
What is deposit insurance and why was it created?,"Deposit insurance protects bank depositors from losing their savings if their bank fails. In the US, the FDIC (Federal Deposit Insurance Corporation) was created by the Banking Act of 1933 in response to the wave of bank failures during the Great Depression (1929-1933), when over 9,000 banks failed and millions of depositors lost their savings. FDIC insures deposits up to $250,000 per depositor, per bank, per ownership category. Coverage: checking accounts, savings accounts, money market deposit accounts, and CDs. Not covered: investment accounts (stocks, bonds, mutual funds), crypto, insurance products. The mere existence of deposit insurance prevents bank runs — since deposits are guaranteed, there's no reason to panic-withdraw. The trade-off: moral hazard — banks may take more risk knowing deposits are guaranteed."
What is a bank run?,"A bank run occurs when a large number of depositors simultaneously try to withdraw their money, fearing the bank may fail. Since banks keep only a fraction of deposits in reserve (fractional reserve banking), they cannot meet sudden mass withdrawal demands. The self-fulfilling prophecy of bank runs: if enough people believe a bank might fail, their withdrawals make failure likely. Famous bank runs: US Great Depression (1929-1933) — over 9,000 banks failed. Northern Rock (UK, 2007) — first UK bank run in 150 years, triggered by news of liquidity problems. Silicon Valley Bank (March 2023) — modern bank run accelerated by social media; $42 billion withdrawn in one day through digital banking, showing how technology enables faster, more devastating runs. Deposit insurance was specifically created to prevent bank runs by eliminating the incentive to panic-withdraw."
What is shadow banking?,"Shadow banking refers to financial intermediaries that perform bank-like functions (borrowing short, lending long, creating credit) but outside traditional banking regulation and without access to central bank liquidity or deposit insurance. Examples: money market funds, hedge funds, private equity, mortgage companies, factoring companies, structured investment vehicles (SIVs), and repo markets. Shadow banking grew dramatically in the 2000s. In 2008, the shadow banking system ($20T) was larger than the traditional banking system. When the shadow banking system froze in 2007-2008, it amplified the financial crisis far beyond what banking regulation anticipated. Shadow banking enables credit creation and financial innovation but creates systemic risks. Post-2008 regulation (Dodd-Frank) brought some shadow banking activities under greater oversight, but significant regulatory gaps remain."
What is the repo market?,"The repo (repurchase agreement) market is where financial institutions borrow cash short-term by selling securities with an agreement to buy them back at a slightly higher price (the implied interest rate = repo rate). Repos are essentially collateralized overnight loans. The securities (typically Treasuries or MBS) serve as collateral. The repo market is critical plumbing of the financial system — banks, broker-dealers, and money market funds use it daily to manage short-term liquidity. Market size: trillions of dollars transact daily. When repo markets freeze (as in September 2008 and September 2019), it signals severe stress. The Fed intervenes via reverse repos (lending cash, borrowing securities). The 2019 repo market spike (overnight rates hit 10%) was caused by unusual confluence of corporate tax payments, Treasury settlement, and excess reserves being too low."
What is a central bank digital currency (CBDC)?,"A Central Bank Digital Currency (CBDC) is a digital form of a country's sovereign currency, issued directly by the central bank. Unlike cryptocurrencies (decentralized), CBDCs are centralized and government-controlled. Unlike bank deposits (commercial bank money), CBDCs are direct liabilities of the central bank. As of 2024, over 100 countries are researching or piloting CBDCs. Live examples: China's digital yuan (e-CNY), Bahamas Sand Dollar, Nigeria's eNaira. Potential benefits: financial inclusion (unbanked populations), reduced payment friction, programmable money (stimulus that can only be spent on certain goods), improved monetary policy transmission, and reduced reliance on private payment systems. Concerns: privacy (government visibility of all transactions), financial surveillance, and disintermediation of commercial banks (if citizens hold CBDC instead of bank deposits)."
What is the Federal Reserve's balance sheet?,"The Federal Reserve's balance sheet shows its assets (primarily Treasury securities and mortgage-backed securities) against its liabilities (Federal Reserve notes — physical currency — and bank reserves held at the Fed). In normal times, the Fed's balance sheet is modest. QE dramatically expanded it: 2008 (pre-QE): ~$900 billion. 2014 (post-QE3): ~$4.5 trillion. 2020 (pre-COVID): ~$4 trillion. 2022 (peak): ~$9 trillion. The Fed creates reserves (money) to buy securities during QE. Quantitative tightening (QT) shrinks the balance sheet by not reinvesting maturing securities. The Fed's balance sheet expansion is essentially money creation — the reason many fear long-term inflation consequences of extended QE. The Fed's assets earn interest income; after expenses, it remits profits to the Treasury (paid $88 billion in 2021, projected negative remittances during QT period)."
What is the payment system infrastructure?,"The US payment system includes multiple interconnected networks that process trillions of dollars daily: Fedwire (Federal Reserve's real-time gross settlement system for large-value payments between banks — trillions processed daily), CHIPS (Clearing House Interbank Payments System — private, settles large international payments), ACH (Automated Clearing House — handles most direct deposits, bill payments, and electronic transfers, typically next-day or same-day), Card Networks (Visa, Mastercard, Amex, Discover — authorize and settle retail card transactions), SWIFT (Society for Worldwide Interbank Financial Telecommunication — messaging network for international payments), FedNow (launched 2023 — real-time 24/7 payments between banks), and Zelle (real-time bank-to-bank transfers for consumers). The BIS (Bank for International Settlements) coordinates global payment system standards."
What is a bank stress test?,"Bank stress tests are regulatory examinations that model how banks would perform under severely adverse economic scenarios — typically a deep recession, sharp unemployment spike, and significant asset price declines. In the US, the Federal Reserve conducts annual Dodd-Frank Act Stress Tests (DFAST) and Comprehensive Capital Analysis and Review (CCAR) for large banks (>$100B in assets). Scenarios: baseline, adverse, and severely adverse (e.g., unemployment hits 10%, stocks fall 50%, commercial real estate falls 40%). If a bank would have sufficient capital ratios (CET1 > 4.5%) under the severe scenario, it passes. Stress tests were introduced after 2008 to ensure banks hold adequate capital buffers to absorb losses without failing. Banks that pass can return capital to shareholders through dividends and buybacks; those that fail must build capital."
What is the Basel III capital requirements?,"Basel III is an international banking regulatory framework developed by the Basel Committee on Banking Supervision in response to the 2008 financial crisis. It strengthens bank capital, leverage, and liquidity requirements. Key elements: Common Equity Tier 1 (CET1) capital must be at least 4.5% of risk-weighted assets, with a 2.5% conservation buffer, bringing effective minimum to 7%. Leverage ratio: banks must maintain Tier 1 capital of at least 3% of total (not just risk-weighted) assets. Liquidity Coverage Ratio (LCR): banks must hold enough high-quality liquid assets to survive 30 days of stressed cash outflows. Net Stable Funding Ratio (NSFR): sufficient stable funding relative to asset liquidity profiles. Global systemically important banks (G-SIBs) face additional capital surcharges of 1-3.5%. Basel III implementation is being phased in globally through 2028 with the 'Basel Endgame' rules."
What is the too-big-to-fail problem?,"Too-big-to-fail (TBTF) refers to financial institutions whose failure would pose systemic risk to the entire financial system, creating implicit (and sometimes explicit) government guarantees. In 2008, the government felt compelled to rescue AIG, Bear Stearns, Citigroup, and others to prevent cascading failures. This creates moral hazard: if institutions know they'll be rescued, they take excessive risks — privatizing profits and socializing losses. Post-2008 reforms: Dodd-Frank designated Systemically Important Financial Institutions (SIFIs) with enhanced oversight. Orderly Liquidation Authority allows regulated failure without bailouts. Resolution planning ('living wills') requires G-SIBs to plan for their own orderly failure. Despite reforms, the five largest US banks are significantly larger than in 2008 (market consolidation), and the TBTF problem arguably remains unsolved — the moral hazard continues."
What is inflation's effect on the banking system?,"Inflation affects banks in complex ways. For commercial banks: rising rates (the typical Fed response to inflation) increase net interest margins as banks can charge more on loans. However, existing fixed-rate loan portfolios lose market value, and deposit competition for higher yields increases funding costs. Silicon Valley Bank's 2023 collapse illustrated the danger: SVB had invested long-term in bonds during low-rate era; when rates rose rapidly, those bonds lost massive market value, creating realized losses when they had to be sold. For central banks: inflation erodes the real value of their bond holdings. For savers: inflation transfers wealth from creditors (savers) to debtors — a major reason governments historically preferred mild inflation. The 1970s stagflation demonstrated that prolonged high inflation severely damages banking system profitability and stability."
What is the history of banking crises?,"Major banking crises and their lessons: Bank Panic of 1907 — JP Morgan personally organized a bailout; led to the creation of the Federal Reserve in 1913. Great Depression (1929-1933) — 9,000+ US bank failures; led to FDIC creation, Glass-Steagall separation of commercial and investment banking. Savings and Loan crisis (1980s-90s) — 1,000+ S&L failures costing $130B; caused by interest rate mismatch and deregulation without adequate oversight. Asian Financial Crisis (1997-98) — currency crises in Thailand, Indonesia, Korea; IMF bailouts. Russian default (1998) — sovereign default, contributed to LTCM collapse. Great Financial Crisis (2008-09) — worst since Great Depression; housing bubble, mortgage securitization, shadow banking failure, $700B TARP bailout. European Sovereign Debt Crisis (2010-12) — Greece, Spain, Portugal. COVID banking stress (2020) — prevented by massive Fed intervention. Silicon Valley Bank collapse (2023) — interest rate risk mismanagement."
What is a payment default and systemic risk?,"A payment default in a financial institution can trigger systemic risk — the risk that failure of one institution cascades through the financial system as counterparties fail. The interconnectedness of modern banking: Bank A lends to Bank B which lends to Fund C which holds collateral at Bank A. When one link fails, the chain of obligations breaks simultaneously. This interconnectedness is why the 2008 collapse of Lehman Brothers (a single investment bank) threatened to freeze the entire global financial system within hours. Systemic risk is amplified by: leverage (small asset price declines wipe out capital), maturity transformation (borrowing short to lend long creates liquidity mismatches), opacity (counterparties don't know each other's full risk exposure), and herding (all institutions own similar assets, so all face losses simultaneously). Post-2008 reforms created the Financial Stability Oversight Council (FSOC) specifically to monitor systemic risk."
How do banks make money?,"Banks make money through several revenue streams. Net interest income (NII) is the primary source: banks borrow at low rates (deposits, wholesale funding) and lend at higher rates (mortgages, auto loans, credit cards, business loans) — the spread is the net interest margin (NIM). Typical NIM: 2-4% for traditional banks. Fee income: overdraft fees, monthly account fees, ATM fees, wire transfer fees, credit card interchange fees, and wealth management fees. Investment banking fees: underwriting stocks and bonds, M&A advisory, trading commissions. Mortgage banking: origination fees and servicing income. Credit card economics: annual fees, merchant interchange (the 2-3% merchants pay), and interest on revolving balances (often 18-25% APR). Banks use leverage (10:1 is typical) to amplify returns on equity. The largest US banks (JPMorgan, Bank of America, Wells Fargo, Citigroup) generate $100B+ in annual revenues each."
What is a commercial bank vs investment bank?,"Commercial banks and investment banks serve fundamentally different functions. Commercial banks: take deposits from consumers and businesses, make loans (mortgages, auto, business, credit cards), provide checking and savings accounts, are federally insured by FDIC, regulated by the Fed and OCC, and focus on traditional banking services. Investment banks: don't take retail deposits, help corporations and governments raise capital (IPOs, bond issuances), advise on mergers and acquisitions, trade securities for their own account (proprietary trading) or clients, manage assets, and are regulated primarily by the SEC. Glass-Steagall Act (1933) separated the two activities after the Great Depression. The Gramm-Leach-Bliley Act (1999) repealed this separation. Most large US financial institutions (JPMorgan, Goldman Sachs, Morgan Stanley, Citigroup) are universal banks combining both commercial and investment banking."
What is a credit union and how is it different from a bank?,"A credit union is a member-owned, not-for-profit financial cooperative that provides banking services to its members. Key differences from banks: Ownership — credit union members own the institution (like a cooperative), while banks are owned by shareholders. Profit distribution — credit unions return profits to members as lower loan rates, higher savings rates, and lower fees. Banks distribute profits to shareholders. Access — credit unions have membership requirements (employer, geographic area, organization affiliation). Banks are open to anyone. Insurance — both FDIC (banks) and NCUA (credit unions) insure deposits up to $250,000. Services — credit unions offer most of the same services as banks (checking, savings, loans, mortgages, credit cards) but may have fewer branch locations. Size — credit unions are typically smaller than large banks. The largest US credit union is Navy Federal Credit Union ($170B+ in assets). Credit unions often offer better rates due to their not-for-profit structure."
What is net interest margin (NIM)?,"Net interest margin (NIM) is the difference between the interest income a bank generates from lending and the interest it pays to depositors, expressed as a percentage of its interest-earning assets. NIM = (Interest Income − Interest Expense) / Average Earning Assets. Example: a bank earns 5% on loans and pays 2% on deposits — the NIM is approximately 3%. NIM is the most important profitability metric for traditional commercial banks. NIM expands when: interest rates rise rapidly (loan rates reprice faster than deposit costs), the yield curve steepens (short rates fall while long rates stay high), or a bank shifts to higher-yielding loan types. NIM compresses when: rates fall (earning less on loans while deposit rates can only go to zero), the yield curve flattens or inverts, or competition for deposits intensifies. Regional banks with simple lending models (Wells Fargo) have higher NIMs than universal banks with more fee income (Goldman Sachs)."
What is the Glass-Steagall Act?,"The Glass-Steagall Act (Banking Act of 1933) was landmark US legislation that separated commercial banking from investment banking following the Great Depression. Key provisions: prohibited commercial banks from underwriting or dealing in securities, prohibited investment banks from accepting deposits, created the FDIC for deposit insurance. Rationale: the commingling of commercial and investment banking was believed to have contributed to the 1929 crash — banks were using depositor funds for speculative investments. Effect for 66 years: strict separation created distinct industries. Repeal: the Gramm-Leach-Bliley Act (1999) effectively repealed Glass-Steagall, allowing financial holding companies to combine commercial banking, investment banking, and insurance. Critics argue this deregulation contributed to the 2008 financial crisis by allowing banks to grow enormously complex. Defenders argue modern financial markets made separation impractical. The debate continues whether reinstatement would improve stability."
What is a money market account vs money market fund?,"These are commonly confused but fundamentally different products. Money market account (MMA): a bank deposit product, FDIC insured up to $250,000, pays interest (typically higher than regular savings), limited transactions per month (historically 6, now unlimited after 2020), no credit risk. Money market fund (MMF): an investment product, NOT FDIC insured, invests in short-term, high-quality debt instruments (Treasury bills, commercial paper, repos), maintained at stable $1 per share NAV (though this can 'break the buck' in extreme stress — happened in 2008 with Reserve Primary Fund). Money market funds come in: government (all Treasuries/government securities), prime (includes commercial paper — slightly higher yield, slightly more risk), and tax-exempt (municipal). During the 2008 crisis, money market funds saw massive outflows until the Fed guaranteed them. For safety: FDIC-insured MMAs are safer; for yield: prime MMFs sometimes offer more."
What is a savings account and how does it work?,"A savings account is a deposit account at a bank or credit union that pays interest while keeping your money safe and accessible. Key features: FDIC insured up to $250,000, earns interest on the balance (expressed as Annual Percentage Yield or APY), federally regulated (previously limited to 6 withdrawals per month — now unlimited), no investment risk. How banks calculate interest: most savings accounts calculate interest daily based on the daily balance and credit it monthly. APY vs APR: APY accounts for compounding; always compare APY when shopping accounts. High-yield savings accounts (HYSA): online banks offer significantly higher APY (often 4-5% in 2023-2024 vs 0.01-0.5% at big traditional banks) because they have lower overhead without physical branches. Comparison: Marcus (Goldman Sachs), Ally, SoFi, American Express, Discover, Synchrony offer competitive HYSA rates. Best use: emergency fund (3-6 months expenses), short-term savings goals where you need both safety and accessibility."
What is a certificate of deposit (CD)?,"A certificate of deposit (CD) is a time deposit at a bank or credit union where you agree to leave money for a fixed period (term) in exchange for a guaranteed higher interest rate. Key characteristics: FDIC insured, fixed interest rate for the entire term, terms range from 3 months to 5 years, early withdrawal penalty (typically 3-6 months of interest) if you access funds before maturity. CD mechanics: you deposit $10,000 in a 1-year CD at 5% APY — at maturity you receive $10,500. CD strategies: CD ladder (buy CDs with different maturities — 1-year, 2-year, 3-year — so a portion matures each year, providing regular liquidity and rate flexibility), bump-up CDs (allow one rate increase during term if rates rise), no-penalty CDs (withdraw anytime without penalty, but lower rate). Brokered CDs: purchased through a brokerage, often from multiple banks, may be sold on secondary market before maturity (market value may differ from face value). When to use CDs: when you want guaranteed returns, won't need the money for the term, and rates are favorable."
What is overdraft protection and how does it work?,"Overdraft occurs when you spend more than your checking account balance. Banks handle this in several ways: Standard overdraft service: bank pays the transaction but charges a fee (typically $25-35 per overdraft). Many banks limit daily overdraft fees (often 3-5 per day maximum). Overdraft protection linked accounts: automatic transfer from savings account when checking is insufficient — usually a smaller fee ($10-15) or sometimes free. Overdraft protection linked to credit card: transfers from credit card to cover overdraft — convenient but credit card interest applies if not paid quickly. No overdraft: bank declines the transaction (for debit card purchases and ATM) — embarrassing but free. CFPB regulations (2022): cracked down on 'surprise' overdraft fees. Many major banks (Chase, Bank of America, Wells Fargo) eliminated NSF fees and reduced overdraft fees following regulatory and competitive pressure. Best practice: opt out of debit card overdraft coverage (banks must get opt-in for debit) and link a savings account for protection."
What is a wire transfer?,"A wire transfer is an electronic transfer of funds between banks or financial institutions, typically used for large or time-sensitive payments. Key characteristics: fast (same-day or next-day domestically, 1-3 days internationally), immediate and irrevocable (once sent, cannot be recalled unless the recipient agrees), relatively secure, but expensive ($25-50 for outgoing domestic, $40-65+ for international). How it works: sender instructs their bank (with recipient's bank name, routing number, account number, and for international: SWIFT/BIC code and IBAN). The sending bank sends a message through Fedwire (domestic) or SWIFT (international). The receiving bank credits the recipient's account. Alternatives: ACH transfers (cheaper but slower, 1-3 business days, reversible), Zelle (instant, free, but lower limits), PayPal/Venmo (person-to-person), SWIFT GPI (faster international). Wire fraud warning: always verify wire instructions verbally — wire fraud (criminals intercepting and changing wire instructions) is one of the most costly financial crimes targeting businesses and real estate transactions."
What is a routing number and account number?,"These two numbers uniquely identify bank accounts for electronic transactions. Routing number (ABA number): 9-digit number identifying your specific bank or credit union. The American Bankers Association (ABA) assigns routing numbers. Used for: direct deposits, ACH transfers, wire transfers, check processing. A bank may have different routing numbers for different states or transaction types (paper checks vs wires). Account number: unique number identifying your specific account at that bank (typically 8-12 digits). Together, the routing + account number uniquely identifies any bank account in the US. Where to find them: on a paper check (routing number is first, account number is second, check number is third on the bottom). In online banking — account details section. Security note: treat your account number like a password — anyone with your routing and account number can initiate ACH debits from your account (this is why check fraud remains common). For international transfers: US banks also have SWIFT codes (for SWIFT network) and may require IBANs for foreign recipients."
What is the difference between APR and APY?,"APR (Annual Percentage Rate) and APY (Annual Percentage Yield) both express interest rates annually but differ in whether they include compounding. APR: the simple annual interest rate without compounding. APY: the effective annual rate accounting for compounding during the year. When compounding occurs more frequently (daily vs monthly), APY exceeds APR. Example: a savings account with 5% APR compounded daily has APY = (1 + 0.05/365)^365 − 1 ≈ 5.127%. For savings and investments: banks advertise APY (higher number, looks better). For loans and credit cards: lenders typically advertise APR (lower number, looks cheaper). The real cost of a credit card charging 20% APR compounded daily is 22.1% APY. TILA (Truth in Lending Act) requires lenders to disclose APR. TISA (Truth in Savings Act) requires banks to disclose APY on deposit accounts. Always use APY when comparing savings rates and APR when comparing loan costs — and remember that for loans, APR sometimes includes fees while the interest rate does not."
What is a line of credit vs a loan?,"A loan and a line of credit both let you borrow money, but they work differently. Term loan: you receive a lump sum upfront, pay it back over a fixed schedule (monthly payments of principal + interest), interest charged on the full amount from day one. Best for: buying a car, home improvement with known cost, debt consolidation. Line of credit (LOC): a revolving credit facility where you borrow as needed up to a credit limit, only pay interest on what you actually use, can repay and re-borrow. Best for: irregular cash flow needs, business working capital, emergency backup. Types of lines of credit: Home Equity Line of Credit (HELOC) — secured by home, lower rates, typically 10-year draw period + 20-year repayment. Personal line of credit — unsecured, higher rates (8-20%), offered by some banks to existing customers. Business line of credit — essential for managing business cash flow. Credit cards are essentially unsecured revolving lines of credit. The key advantage of a LOC: flexibility. The key risk: it's easy to continually borrow without paying down principal."
What happens to my money if my bank fails?,"If your bank fails, the FDIC (Federal Deposit Insurance Corporation) steps in to protect depositors. The process: FDIC is appointed as receiver, typically arranges a purchase and assumption (P&A) — a healthy bank takes over the failed bank's deposits and assets. In most cases, depositors experience minimal disruption — accounts are simply transferred to the acquiring bank over a weekend. If no acquirer is found, FDIC pays insured depositors directly (within a few business days). Coverage: $250,000 per depositor, per bank, per ownership category. Multiple account categories at the same bank each get separate $250K coverage: individual accounts, joint accounts, retirement accounts (IRAs), trust accounts, business accounts. Example: a married couple can have $1M+ protected at one bank using individual ($250K each) + joint ($500K) categories. Uninsured deposits (above limits) may receive partial recovery from bank asset sales. Important: investment accounts (brokerage), crypto, and insurance products at banks are NOT FDIC insured — only deposit accounts."
