question,answer
What is the difference between a sole proprietorship LLC S-corp and C-corp?,"Let's think through this: Step 1: A sole proprietorship is the simplest structure — no formation required, all income flows to your personal return, and you have unlimited personal liability. Step 2: An LLC adds liability protection while keeping pass-through taxation; profits flow to your personal return and you pay self-employment tax on all net income. Step 3: An S-corp is a tax election (not a separate entity type) that lets owners pay themselves a reasonable salary and take remaining profits as distributions, avoiding self-employment tax on those distributions. Step 4: A C-corp is a separate taxable entity — it pays corporate income tax, and shareholders pay tax again on dividends (double taxation). C-corps are better for raising outside capital, issuing multiple share classes, or planning an IPO. Therefore, most small businesses choose LLC for simplicity or S-corp election for tax savings once profits exceed roughly $40,000–$50,000 per year."
Why should you form an LLC for a small business?,"Forming an LLC (Limited Liability Company) separates your personal assets from your business liabilities. If your business is sued or accumulates debt, creditors generally cannot go after your personal savings, home, or car. Beyond liability protection, an LLC provides a professional structure, makes it easier to open a business bank account and establish business credit, and can be taxed as a sole proprietorship, partnership, S-corp, or C-corp depending on your election. Formation costs are typically $50–$500 in state filing fees, and annual maintenance is minimal. The protection is not absolute — you must maintain separation between personal and business finances and avoid personally guaranteeing everything — but the liability shield is a foundational reason most small business owners form an LLC rather than operating as a sole proprietor."
What is an S-corp election and how does it save on self-employment taxes?,"Let's think through this: Step 1: By default, a single-member LLC owner pays self-employment tax (15.3% on the first ~$168,000, then 2.9%) on all net business profit. Step 2: When you elect S-corp status (IRS Form 2553), the business becomes a pass-through entity where you must pay yourself a reasonable salary as a W-2 employee. Step 3: The salary is subject to payroll taxes (employer + employee shares total ~15.3%), but remaining profits distributed to you as the owner are NOT subject to self-employment tax. Step 4: Example — if your business earns $150,000 and you pay yourself a $80,000 salary, only $80,000 bears the full payroll tax; the $70,000 distribution avoids the ~15.3% SE tax, saving roughly $10,000. Therefore, the S-corp election makes sense once net profit reliably exceeds $40,000–$50,000 annually, after accounting for added payroll administration costs."
What is C-corp double taxation?,"A C-corporation is taxed as a separate legal entity. It first pays federal corporate income tax (currently a flat 21%) on its profits. Then, when the corporation distributes remaining profits to shareholders as dividends, those shareholders pay personal income tax on the dividends — typically at the qualified dividend rate of 0%, 15%, or 20% depending on their income. This means the same dollar of corporate profit is taxed twice: once at the corporate level and once at the shareholder level. For small business owners who want to take money out of their company regularly, this is inefficient compared to an S-corp or LLC structure where profits flow through to personal returns without entity-level tax. C-corps make more sense when profits are reinvested into the business, when raising venture capital requiring multiple share classes, or when planning an eventual IPO or acquisition."
Why should you keep a separate business checking account?,"Maintaining a separate business bank account is essential for three reasons. First, it protects your LLC or corporation liability shield — commingling personal and business funds is the primary way courts 'pierce the corporate veil' and hold you personally liable for business debts. Second, it dramatically simplifies bookkeeping and tax preparation; your bank statements become a clean record of business income and expenses without personal transactions muddying the picture. Third, it establishes your business as a credible financial entity, making it easier to get a business credit card, apply for loans, and build a relationship with a banker. Open the account immediately after forming your entity, use your EIN, and never pay personal expenses directly from the account. The discipline of separation saves you from legal exposure and accounting headaches."
How does a business credit card help and how do you build business credit?,"A business credit card serves two functions: it simplifies expense tracking by keeping all business purchases in one place with category reporting, and it begins building your business credit profile independently of your personal credit. To build business credit: Step 1 — Get an EIN from the IRS and open accounts under your business name and EIN, not your Social Security number. Step 2 — Open a business bank account and establish trade lines by paying vendors who report to business credit bureaus. Step 3 — Apply for a business credit card; many early options require a personal guarantee but report to business bureaus. Step 4 — Pay all balances on time or early, since business credit scoring heavily weights payment history. Step 5 — Register with Dun & Bradstreet to get a DUNS number, which activates Paydex scoring. Strong business credit eventually lets you borrow without a personal guarantee."
What is the Dun and Bradstreet Paydex score?,"The Paydex score is Dun & Bradstreet's primary business credit score, ranging from 1 to 100. It measures how promptly your business pays its bills relative to agreed terms. A score of 80 means you pay on time; above 80 means you pay early; below 80 indicates late payments. To generate a Paydex score, you need a DUNS number (free from D&B) and at least three trade references reporting payment history to D&B. Vendors, suppliers, and some credit cards report to D&B. Unlike personal FICO scores, the Paydex score is purely payment-timing based — it does not factor in your debt levels or credit utilization. Lenders and suppliers use the Paydex score to set credit terms; a score above 75–80 is generally considered good and can help you get net-30 or net-60 terms without deposits."
What is an EIN and when do you need one?,"An EIN (Employer Identification Number) is a nine-digit tax identification number assigned by the IRS to identify your business entity, similar to a Social Security number for individuals. You need an EIN when: you form an LLC, partnership, or corporation; you hire employees; you open a business bank account (most banks require it); you file certain business tax returns; or you want to establish business credit under your company's name rather than your SSN. Sole proprietors with no employees can sometimes use their SSN, but getting an EIN is still recommended to avoid sharing your SSN on invoices and applications. Applying is free and takes five minutes on the IRS website (IRS.gov/ein); you receive the EIN immediately online. There is no cost and no annual renewal required."
What business licenses and permits do small businesses typically need?,"Business license and permit requirements vary by location and industry. Generally, you should check four layers: Step 1 — Federal licenses apply to specific regulated industries like alcohol sales, firearms, trucking, agriculture, and financial services; check the SBA website for your industry. Step 2 — State licenses may include a general business license, professional licenses (contractors, accountants, real estate agents), and sales tax permits if you sell taxable goods or services. Step 3 — County and city licenses are common; many municipalities require a basic business operating license plus zoning approval. Step 4 — Industry-specific permits such as health department permits for food businesses, building permits for construction, or signage permits. Penalties for operating without required licenses can include fines or forced closure. Contact your local Small Business Development Center (SBDC) for a free checklist specific to your city and industry."
What is the difference between cash accounting and accrual accounting for small businesses?,"Cash accounting records revenue when cash is received and expenses when cash is paid. It is simple, intuitive, and shows exactly how much cash you have. Accrual accounting records revenue when it is earned (when you deliver a product or service) and expenses when they are incurred, regardless of when cash changes hands. For example, if you invoice a client in December but collect in January, cash accounting records January revenue while accrual records December revenue. The IRS generally allows businesses with under $25 million in annual gross receipts to use cash accounting. Accrual gives a more accurate picture of profitability over time and is required for businesses above the threshold. Most small service businesses benefit from cash accounting's simplicity; product-based businesses or those with significant receivables and payables often get more useful financial insight from accrual."
What are accounts receivable invoicing best practices?,"Let's think through this: Step 1: Send invoices immediately upon completing work — delays signal low priority to clients and stretch your cash cycle. Step 2: Use clear invoice terms stating exactly when payment is due (Net 15, Net 30), accepted payment methods, and any late fees (typically 1.5% per month). Step 3: Number invoices sequentially and include a detailed description of services to reduce disputes. Step 4: Follow up proactively — send a reminder three to five days before the due date and again the day it is due. Step 5: Offer multiple payment options including ACH, credit card, and check to remove friction. Step 6: For large projects, require a deposit (25–50%) upfront and milestone payments throughout. Step 7: Review your AR aging report weekly — invoices over 60 days need escalation. Therefore, systematic invoicing and follow-up directly determines how fast cash enters your business."
How do you manage accounts payable effectively?,"Accounts payable management balances preserving cash with maintaining supplier relationships. Best practices include: reviewing all invoices promptly and coding them to the correct expense category; scheduling payments to arrive on or just before due dates rather than immediately (preserving your cash as long as possible); taking advantage of early payment discounts (a 2/10 Net 30 discount — 2% for paying in 10 days — is equivalent to a 36% annualized return, almost always worth taking); setting up recurring vendors on autopay to avoid late fees; negotiating extended payment terms with major suppliers, especially as your purchasing volume grows; maintaining a cash flow calendar showing all payables due each week; and never intentionally paying late without communicating with the vendor, as it damages the trade credit relationship you need during tight periods. Good AP management gives you control over when cash leaves."
How do you build a cash flow forecast for a small business?,"Let's think through this: Step 1: Start with your opening cash balance for the forecast period (typically 13 weeks or 12 months). Step 2: List all expected cash inflows by timing — recurring customer payments, new sales estimates, loan proceeds, and other income. Be conservative; use 80% of expected receivables to account for late payers. Step 3: List all expected cash outflows — rent, payroll, inventory purchases, loan payments, taxes, utilities, subscriptions, and irregular expenses like insurance or equipment. Step 4: Calculate the net cash change for each period (inflows minus outflows) and add it to the opening balance. Step 5: Identify weeks or months where the ending balance goes negative — those are your cash gaps, and you need to arrange financing or accelerate collections before they occur. Step 6: Update the forecast weekly with actual figures. Therefore, a cash flow forecast is a forward-looking survival tool, not a historical report."
Why do profitable businesses fail due to cash flow problems?,"A business can show strong profits on its income statement while simultaneously running out of cash — a situation called insolvency. This happens because profit is an accounting concept that includes revenue earned but not yet collected (accounts receivable), while ignoring cash used to buy inventory or prepay expenses. For example: a contractor completes $200,000 of work in November, shows it as profit, but collects payment in February — meanwhile payroll, materials, and rent are due in December and January. Without sufficient cash reserves or a credit line, the business cannot pay its obligations despite being 'profitable.' Other profit-cash gaps include: paying cash upfront for inventory that sells slowly, making large capital purchases that depreciate over years, or growing so fast that receivables and inventory outpace cash generation. This is why tracking cash flow separately from profit is critical to business survival."
What is working capital and how do you manage it?,"Working capital is current assets minus current liabilities — it measures the short-term financial health and operational liquidity of a business. Current assets include cash, accounts receivable, and inventory. Current liabilities include accounts payable, accrued expenses, and the current portion of debt. Positive working capital means you can meet short-term obligations; negative working capital signals potential cash crisis. To manage working capital: collect receivables faster by tightening payment terms and following up aggressively; pay payables as late as terms allow to retain cash longer; keep only the inventory necessary to meet near-term demand; negotiate revolving credit facilities before you need them; and monitor your cash conversion cycle (days to convert inventory and receivables into cash minus days payable outstanding). Reducing the cash conversion cycle by even a few days releases significant cash in volume businesses."
How do you finance and manage inventory for a small business?,"Inventory represents cash tied up in goods not yet sold. Financing options include: a revolving line of credit that fluctuates with inventory needs; inventory-specific financing where lenders advance 50–80% of inventory value as collateral; floor plan financing common in auto dealerships; and purchase order financing where a lender advances funds to fill a specific confirmed order. To manage inventory efficiently: use the economic order quantity (EOQ) formula to order the optimal amount; implement ABC analysis categorizing inventory by value and turnover (A items = high value, frequent reorder; C items = low value, less attention); set reorder points with safety stock buffers; track inventory turnover ratio (COGS divided by average inventory) — higher is generally better; and liquidate slow-moving inventory quickly to recover cash rather than carrying it indefinitely at full cost."
What are Net 30 60 and 90 payment terms?,"Net 30, Net 60, and Net 90 are invoice payment terms indicating that the full invoice balance is due within 30, 60, or 90 days of the invoice date. They establish a credit arrangement between businesses: the seller delivers goods or services and extends a short-term interest-free loan to the buyer until payment is due. Net 30 is the most common standard for small business invoicing. Longer terms (Net 60/90) are more common with large retailers or manufacturers who manage cash flow across complex supply chains. From a seller's perspective, longer terms slow your cash cycle and increase the risk of non-payment; from a buyer's perspective, longer terms preserve working capital. Some terms include early payment discounts written as '2/10 Net 30' — meaning the buyer gets a 2% discount if they pay within 10 days, otherwise the full amount is due in 30 days."
