question,answer
What is demand-pull inflation?,"Demand-pull inflation occurs when aggregate demand in an economy exceeds aggregate supply, pulling prices upward. It is often summarized as 'too much money chasing too few goods.' Step 1: Demand rises — consumers, businesses, or governments spend more than the economy can produce. Step 2: Producers face full capacity and begin raising prices rather than expanding output quickly. Step 3: Price levels rise across the economy. Common triggers include fiscal stimulus, low interest rates, strong employment, or wealth effects from rising asset prices. It is generally considered a sign of a healthy but overheating economy, and central banks respond by tightening monetary policy to cool demand."
What is cost-push inflation?,"Cost-push inflation occurs when the costs of production rise, forcing firms to charge higher prices to maintain margins. Step 1: Input costs increase — oil, wages, raw materials, or supply chain disruptions drive up what firms pay. Step 2: Firms pass those costs onto consumers through higher prices. Step 3: Real output may fall even as prices rise. Classic examples include the 1973 OPEC oil embargo and the 2021–2022 supply chain crisis. Unlike demand-pull inflation, cost-push is stagflationary — it combines rising prices with slowing growth, making it especially difficult for central banks to address without causing a recession."
What is built-in inflation or the wage-price spiral?,"Built-in inflation, also called the wage-price spiral, is self-reinforcing inflation driven by adaptive expectations. Step 1: Workers see prices rising and demand higher wages to maintain purchasing power. Step 2: Firms face higher labor costs and raise prices to protect margins. Step 3: Higher prices trigger further wage demands, creating a feedback loop. This mechanism is particularly dangerous because it embeds inflation into the structure of the economy. Breaking the spiral typically requires a sharp monetary tightening, as the Fed did under Paul Volcker in 1979–1982, which raised the unemployment rate to nearly 11% to anchor inflationary expectations."
What is hyperinflation?,"Hyperinflation is an extreme form of inflation where price levels rise at rates exceeding 50% per month, according to the Cagan definition. Step 1: A government facing fiscal crisis prints money to cover deficits. Step 2: The money supply grows faster than output, destroying the currency's value. Step 3: People lose confidence and spend money immediately, accelerating velocity and worsening inflation. Famous cases include Weimar Germany (1923), Zimbabwe (2007–2009, reaching 89.7 sextillion percent), and Venezuela (2018). Hyperinflation collapses savings, destroys the banking system, and is typically ended only by currency reform, fiscal discipline, or adoption of a foreign currency."
What is stagflation?,"Stagflation is the simultaneous occurrence of high inflation, slow or negative economic growth, and high unemployment — a combination that contradicts the traditional Phillips curve trade-off. Step 1: A supply shock raises costs without boosting demand, so output falls while prices rise. Step 2: Unemployment rises as firms cut production. Step 3: Policymakers face a dilemma: tightening to fight inflation worsens unemployment, while stimulus worsens inflation. The 1970s oil shocks created the defining stagflationary episode in U.S. history. It exposed the limits of demand-management macroeconomics and led to the rise of monetarism and supply-side economics."
What is deflation and why is it dangerous?,"Deflation is a sustained decline in the general price level, meaning the purchasing power of money rises over time. While lower prices sound attractive, deflation is economically dangerous. Step 1: Falling prices cause consumers to delay purchases, anticipating further declines — this depresses demand. Step 2: Corporate revenues and profits fall, leading to layoffs and wage cuts. Step 3: Real debt burdens increase even without new borrowing, causing defaults and credit contraction. Step 4: The deflationary spiral becomes self-reinforcing. Japan's 'Lost Decade' after 1990 and the Great Depression are canonical examples. Central banks fear deflation more than moderate inflation because interest rates cannot go deeply negative to stimulate demand."
What is disinflation?,"Disinflation is a slowdown in the rate of inflation — prices are still rising, but more slowly than before. It is distinct from deflation, where prices actually fall. Example: inflation dropping from 8% to 4% is disinflation; prices are still 4% higher year-over-year but the pace has moderated. Step 1: Tighter monetary policy raises borrowing costs, slowing spending and investment. Step 2: Supply-side improvements reduce cost pressures. Step 3: Inflation expectations moderate, reducing wage demands. The U.S. Federal Reserve engineered a significant disinflation from 2022 to 2024 by raising the federal funds rate from near zero to over 5%, bringing CPI from 9.1% in June 2022 toward the 2% target."
What is the Phillips curve?,"The original Phillips curve, proposed by A.W. Phillips in 1958, described an empirical inverse relationship between unemployment and wage inflation in the UK from 1861 to 1957. Step 1: When unemployment is low, workers have bargaining power and wages rise quickly, feeding price inflation. Step 2: When unemployment is high, wage growth slows, reducing inflationary pressure. Step 3: Policymakers believed they could exploit this trade-off — accepting higher inflation to buy lower unemployment. The curve held reasonably well through the 1960s but broke down in the 1970s stagflation, when both unemployment and inflation rose simultaneously, undermining the simple trade-off view."
What is the expectations-augmented Phillips curve?,"The expectations-augmented Phillips curve, developed independently by Milton Friedman and Edmund Phelps in 1968, added expected inflation to the original model. The formula is: actual inflation = expected inflation + b(unemployment gap). Key insights: Step 1: Workers and firms bargain in nominal terms based on their expectations about future prices. Step 2: If the central bank tries to exploit the inflation-unemployment trade-off, workers will eventually adjust their expectations upward. Step 3: The long-run Phillips curve is vertical at the natural rate of unemployment (NAIRU) — there is no permanent trade-off. Only unexpected inflation can reduce unemployment temporarily. This framework became the foundation of modern monetary policy and the concept of inflation anchoring."
What is the Fisher effect?,"The Fisher effect, named for economist Irving Fisher, states that nominal interest rates fully adjust to reflect expected inflation, keeping real interest rates stable over time. The equation is: nominal rate = real rate + expected inflation. Step 1: If inflation expectations rise by 1%, lenders demand a 1% higher nominal rate to preserve their real return. Step 2: Borrowers accept this because their real cost of borrowing is unchanged. Step 3: In equilibrium, real rates reflect true time preference and capital productivity, while nominal rates reflect both real rates and inflation expectations. The Fisher effect is why central bank rate hikes are partially anticipatory — markets price in expected inflation when setting bond yields. TIPS breakeven rates are a direct market measure of expected inflation embedded in the Fisher equation."
