question,answer
How do you read a balance sheet?,"A balance sheet shows a company's assets, liabilities, and shareholders' equity at a specific point in time, following the equation Assets = Liabilities + Equity. Assets are listed in order of liquidity (current assets first, then long-term), while liabilities are ordered by maturity. The balance sheet reveals financial strength, leverage levels, and how a company has financed its operations."
How do you read an income statement?,"An income statement shows revenues, expenses, and profits over a specific period, structured from gross revenue down to net income. Key subtotals include gross profit (revenue minus cost of goods sold), operating income (gross profit minus operating expenses), and net income (after interest and taxes). Analyzing the income statement reveals profitability, margin trends, and the efficiency of a company's core business."
How do you read a cash flow statement?,"The cash flow statement reconciles net income to actual cash generated through three sections: operating, investing, and financing activities. Operating cash flow adjusts net income for non-cash items like depreciation and working capital changes. Free cash flow (operating cash flow minus capital expenditures) is often considered the most important metric as it represents cash available for shareholders."
Why are footnotes in financial statements important?,"Footnotes contain critical disclosures about accounting policies, assumptions, contingent liabilities, related-party transactions, and off-balance-sheet arrangements that are not visible in the main statements. They reveal details about lease commitments, pension obligations, stock option assumptions, and revenue recognition policies that significantly affect earnings quality. Thorough footnote analysis is essential for detecting aggressive accounting and understanding true financial health."
What is earnings quality and how do you assess it?,"Earnings quality refers to how accurately reported earnings reflect a company's true economic performance and sustainability of profits. High-quality earnings are driven by operating cash flows and recurring business activities, while low-quality earnings may rely on one-time gains, aggressive accounting, or unsustainable items. A cash earnings ratio (operating cash flow divided by net income) near or above 1.0 signals high earnings quality."
What is revenue recognition and why does it matter?,"Revenue recognition determines when a company records revenue in its financial statements, governed by ASC 606 under U.S. GAAP. Aggressive revenue recognition (booking revenue too early or on uncertain transactions) inflates current period earnings at the expense of future periods. Analysts examine the relationship between revenue growth and accounts receivable growth; AR growing faster than revenue may indicate channel stuffing or collection problems."
What is the difference between accrual and cash accounting?,"Accrual accounting records revenues when earned and expenses when incurred regardless of cash movement, providing a more accurate picture of economic activity. Cash accounting only records transactions when cash changes hands, which can distort profitability by mismatching revenues and expenses. Public companies use accrual accounting, but analysts supplement it with cash flow analysis to understand true economic earnings."
What are the main depreciation methods and their effects?,"Straight-line depreciation spreads the asset cost evenly over its useful life, producing consistent expense each period. Accelerated methods like declining balance front-load depreciation, reducing taxable income more in early years. MACRS (Modified Accelerated Cost Recovery System) is required for U.S. tax purposes and differs from GAAP depreciation, creating deferred tax liabilities on the balance sheet."
How is goodwill created and why does it matter to analysts?,"Goodwill arises when a company acquires another for more than the fair value of identifiable net assets, representing brand value, customer relationships, and synergies. Under current GAAP, goodwill is not amortized but tested annually for impairment; large impairment charges signal overpayment for acquisitions. Analysts adjust for goodwill by examining tangible book value and noting whether acquisitive companies consistently write down goodwill."
What is the working capital cycle?,"The working capital cycle measures the time it takes to convert net working capital (current assets minus current liabilities) into cash through business operations. It begins when cash is used to purchase inventory, inventory is sold creating receivables, and receivables are collected as cash. A shorter cycle indicates efficient operations while a lengthening cycle may signal growing receivables or inventory problems."
What is the cash conversion cycle?,"The cash conversion cycle (CCC) equals days inventory outstanding plus days sales outstanding minus days payable outstanding. It measures how many days a company's cash is tied up in operations before being recovered. A shorter or negative CCC (like Amazon's) is a competitive advantage, indicating the company collects cash before paying suppliers."
What is days sales outstanding (DSO)?,"DSO measures the average number of days it takes a company to collect payment after a sale, calculated as (accounts receivable / revenue) × number of days. Rising DSO may indicate lenient credit terms, collection problems, or aggressive revenue recognition. Comparing DSO trends against industry peers and the company's own history reveals changes in business quality."
What is inventory turnover and what does it reveal?,"Inventory turnover equals cost of goods sold divided by average inventory, measuring how many times inventory is sold and replaced over a period. High turnover generally indicates strong demand and efficient inventory management, while declining turnover may signal demand weakness or inventory obsolescence. Retailers typically have higher turnover (20-30x) than manufacturers (4-8x), so industry comparisons are essential."
