question,answer
What is bond duration?,"Duration measures a bond's sensitivity to interest rate changes — specifically, the percentage price change for a 1% change in yield. A bond with duration of 7 means its price will fall approximately 7% if yields rise 1%, and rise approximately 7% if yields fall 1%. Modified duration is the most useful measure for this price sensitivity calculation. Macaulay duration is the weighted average time to receive cash flows. Duration is longer for bonds with lower coupons, longer maturities, and lower yields. It's the primary risk metric for bond investors. In a rising rate environment, investors prefer lower duration (shorter maturity, higher coupon) bonds to minimize price declines. Duration allows comparison of rate sensitivity across different bond types regardless of maturity."
What is bond convexity?,"Convexity is the second-order measure of a bond's price sensitivity to yield changes, capturing the curvature in the price-yield relationship that duration alone misses. Duration assumes a linear relationship between price and yield, but the actual relationship is curved. Positive convexity means a bond's price rises more when yields fall than it falls when yields rise by the same amount — a favorable asymmetry. Most standard bonds have positive convexity. Mortgage-backed securities (MBS) often have negative convexity: when rates fall, homeowners refinance, limiting price appreciation; when rates rise, fewer refinance, extending the bond's duration. Investors with long-duration portfolios add high-convexity bonds to cushion the impact of rate volatility, paying a premium for this protection."
What is the yield curve and what does it signal?,"The yield curve plots interest rates on US Treasury securities across different maturities (3 months to 30 years). Normal yield curve: upward sloping — longer maturities yield more than shorter ones, compensating investors for time and inflation risk. Flat yield curve: little difference between short and long rates — often signals economic transition. Inverted yield curve: short-term rates exceed long-term rates — historically the most reliable recession predictor. The 2-year/10-year Treasury spread is the most watched inversion indicator. Inversions preceded every US recession since 1955 with roughly 12-18 month lead time. The mechanism: when the Fed raises short-term rates aggressively (fighting inflation), the market expects this will slow growth and eventually lead to rate cuts — so long rates price in those future lower rates, inverting the curve."
What is credit spread?,"A credit spread is the difference in yield between a corporate bond and a comparable maturity Treasury bond, representing the additional compensation investors demand for taking on credit risk (the risk the issuer defaults). Expressed in basis points: if a 10-year Treasury yields 4.5% and a corporate bond yields 6.0%, the credit spread is 150 basis points (1.5%). Credit spreads widen (increase) during economic stress and recession fears — investors demand more compensation for default risk. Spreads narrow (decrease) during economic expansion and risk-on periods. Investment-grade spreads (BBB and above): typically 100-200 bps over Treasuries. High-yield spreads: typically 300-600 bps, widening to 800-1,500+ bps during recessions. Credit spread monitoring is a key signal of financial market stress and economic expectations."
What is a bond rating and how does it work?,"Bond ratings are assessments of a bond issuer's creditworthiness and ability to repay debt, assigned by rating agencies: Moody's, S&P, and Fitch. Investment-grade ratings: AAA/Aaa (highest quality, essentially riskless — only a few US corporations maintain this), AA, A, BBB/Baa (lowest investment grade). Below-investment-grade (high-yield or 'junk'): BB/Ba, B, CCC, CC, C, D (default). Ratings impact: investment-grade status is critical for corporate borrowers — many pension funds and insurance companies are restricted to investment-grade bonds by their mandates. A downgrade from BBB- to BB (crossing into junk) triggers forced selling by mandated investors, causing sharp price declines. Ratings agencies were severely criticized for their role in the 2008 crisis — rating toxic CDOs as AAA."
What is a callable bond?,"A callable bond gives the issuer the right to redeem the bond before its scheduled maturity at a specified call price (usually at or slightly above face value). Companies issue callable bonds to retain the flexibility to refinance at lower rates if interest rates fall. For investors: callable bonds offer higher yields than non-callable equivalents to compensate for this risk. The key risk: negative convexity and call risk. If rates fall significantly (exactly when bond prices would rise most), the issuer calls the bond back, preventing investors from fully benefiting from the price appreciation. The investor then must reinvest at lower prevailing rates (reinvestment risk). Yield-to-call (YTC) — the return if the bond is called at the first call date — is often more relevant than yield-to-maturity (YTM) for highly callable bonds in low-rate environments."
What is a convertible bond?,"A convertible bond is a hybrid security — part debt, part equity option. It pays regular interest like a regular bond but includes the right for the holder to convert the bond into a specified number of shares of the issuing company's stock at a predetermined conversion price. Investors accept lower interest rates in exchange for the conversion option's upside potential. Companies issue convertibles to borrow at lower rates than straight debt. Convertible bond mechanics: if the stock rises above the conversion price, the bond trades more like equity (tracking stock price). If the stock falls, the bond's value is supported by its floor value as a fixed-income instrument ('bond floor'). Convertibles appeal to: equity investors wanting downside protection, fixed-income investors wanting equity upside, and arbitrageurs exploiting the complex option pricing."
What is a municipal bond?,"Municipal bonds (munis) are debt securities issued by states, cities, counties, and other government entities to fund public projects — roads, schools, hospitals, water systems. Key advantage: interest income is typically exempt from federal income tax and often state and local taxes if you live in the issuing state. This tax exemption makes their after-tax yield competitive with higher-yielding taxable bonds. Example: a muni yielding 3% in a 35% bracket has a tax-equivalent yield of 4.6% — meaning a taxable bond would need to yield 4.6% to match. Types: General Obligation bonds (backed by the issuer's taxing power — more secure), Revenue bonds (backed by specific project revenue — more risk). Credit quality varies widely: US state GOs rarely default; some revenue bonds and smaller municipalities do. Puerto Rico's 2016 bankruptcy was the largest muni default in history."
What is a Treasury Inflation-Protected Security (TIPS)?,"TIPS are US Treasury bonds specifically designed to protect investors against inflation. Their principal value adjusts with the Consumer Price Index (CPI): if inflation is 4%, the principal increases 4%. Since interest is paid as a percentage of principal, interest payments also rise with inflation. At maturity, investors receive the adjusted principal or original principal, whichever is greater (deflation protection). TIPS offer lower nominal yields than regular Treasuries but protect purchasing power. The breakeven inflation rate — the difference between regular Treasury yield and TIPS yield — shows the market's inflation expectation. If breakeven is 2.5%, regular Treasuries outperform if actual inflation is below 2.5%; TIPS outperform if actual inflation exceeds 2.5%. TIPS are available in 5, 10, and 30-year maturities. TIPS funds provide easy access, though they don't provide the same direct inflation protection as individual TIPS."
What is a high-yield bond?,"High-yield bonds (also called junk bonds) are corporate bonds rated below investment grade (BB or lower by S&P/Fitch; Ba or lower by Moody's). They offer higher yields than investment-grade bonds to compensate for higher default risk. The US high-yield market is over $1.5 trillion. High-yield bonds are issued by: companies with significant existing debt, cyclical businesses with variable earnings, companies undergoing LBOs or restructuring, and startups with limited credit history. Historical default rates: average ~4% annually, spiking to 10%+ during recessions. Recovery rates on defaulted bonds average ~40-50 cents on the dollar. High-yield total returns have historically been between investment-grade and equities. During recessions, spreads widen dramatically — creating buying opportunities. High-yield bonds correlate more with equities than investment-grade bonds, making them less effective portfolio diversifiers."
