question,answer
"What is capital structure and why does it matter?","Let's think through this: Step 1: Capital structure refers to the mix of debt and equity a company uses to finance its assets and operations. Step 2: Debt includes bank loans, bonds, and credit facilities — it requires fixed interest payments but is tax-deductible. Step 3: Equity includes common stock, retained earnings, and preferred stock — it has no mandatory payments but dilutes ownership. Step 4: The mix matters because it directly affects WACC (weighted average cost of capital), financial risk, and firm value. Step 5: Too much debt increases bankruptcy risk; too little debt means the firm foregoes the tax shield. Therefore, optimal capital structure balances the tax benefits of debt against the costs of financial distress. The key insight is: capital structure is not just a financing decision — it shapes the firm's risk profile, cost of capital, and strategic flexibility."
"How do you calculate WACC?","Let's think through this: Step 1: WACC (Weighted Average Cost of Capital) is the blended required return across all capital sources, weighted by their proportion in the capital structure. Step 2: The formula is WACC = (E/V) × Re + (D/V) × Rd × (1 - Tax Rate), where E = market value of equity, D = market value of debt, V = E + D. Step 3: Re (cost of equity) is typically estimated using CAPM: Re = Rf + β × (Rm - Rf), where Rf is the risk-free rate and Rm - Rf is the equity risk premium. Step 4: Rd (cost of debt) is the pre-tax yield on the firm's debt; we multiply by (1 - T) because interest is tax-deductible. Step 5: Use market values, not book values, for weighting — market values reflect current economic reality. Therefore, WACC represents the minimum return the firm must earn to satisfy all capital providers. The key insight is: WACC is the discount rate used in DCF valuation — a lower WACC increases firm value by increasing the present value of future cash flows."
"What is the Modigliani-Miller theorem on capital structure?","Working through this: Step 1: Modigliani and Miller (1958) proposed that in a perfect market (no taxes, no bankruptcy costs, symmetric information), capital structure is irrelevant — firm value is unaffected by how it is financed. Step 2: The intuition: investors can create their own leverage (homemade leverage), so the firm's financing choices add no value. Step 3: In 1963, MM extended the model to include corporate taxes — now debt has value because interest payments create a tax shield equal to Tc × D. Step 4: This implies firms should use 100% debt — which clearly doesn't happen in practice. Step 5: The trade-off theory resolves this: firms balance the tax shield benefit of debt against the increasing costs of financial distress as leverage rises. Therefore, MM provides the theoretical baseline; real-world capital structure reflects taxes, bankruptcy costs, agency costs, and signaling effects. The key insight is: MM tells us what factors DON'T matter in perfect markets, helping us identify what DOES matter in imperfect markets."
"What is the trade-off theory of capital structure?","Let's think through this: Step 1: The trade-off theory states that firms choose leverage by balancing the tax shield benefits of debt against the costs of financial distress. Step 2: As debt increases, the present value of the tax shield grows (benefit side). Step 3: Simultaneously, the probability and cost of financial distress rises — including direct costs (legal fees, restructuring costs) and indirect costs (lost customers, employee turnover, forgone investments). Step 4: The optimal debt level is where marginal benefit of additional debt equals marginal cost of additional debt. Step 5: Empirically, firms with stable cash flows, tangible assets, and high tax rates tend to use more debt; high-growth, intangible-heavy firms use less. Therefore, the trade-off theory predicts a target leverage ratio that each firm moves toward over time. The key insight is: there is no universal optimal capital structure — it varies by industry, cash flow stability, asset tangibility, and tax position."
"What is the pecking order theory of financing?","Working through this: Step 1: Developed by Myers and Majluf (1984), the pecking order theory states that firms prefer internal financing first, then debt, and equity as a last resort. Step 2: The driver is information asymmetry — managers know more about firm value than outside investors. Step 3: Issuing equity signals to the market that managers think shares are overvalued, causing the stock price to drop. Step 4: Debt issuance sends a less negative signal because debt holders have contractual protections. Step 5: Therefore, firms follow a pecking order: retained earnings → debt → equity. Step 6: This theory explains why profitable firms (with high retained earnings) use less debt — not because they target low leverage, but because they have less need for external financing. Therefore, the pecking order theory predicts no target leverage ratio, but rather a hierarchy of financing preferences. The key insight is: information asymmetry, not taxes, is the primary driver of financing decisions in the pecking order framework."
"What is WACC used for and what are its limitations?","Let's think through this: Step 1: WACC is primarily used as the discount rate in DCF (discounted cash flow) analysis to value a firm or project — it represents the opportunity cost of capital for investors. Step 2: It is also used as a hurdle rate: projects with IRR above WACC create value; those below destroy value. Step 3: Limitation 1 — WACC assumes a constant capital structure over the forecast period, which is unrealistic for leveraged buyouts or rapidly growing firms. Step 4: Limitation 2 — estimating the cost of equity via CAPM requires assumptions about beta, market risk premium, and risk-free rate that introduce significant error. Step 5: Limitation 3 — WACC is not appropriate when a project's risk profile differs materially from the firm's overall risk. Step 6: In such cases, adjusted present value (APV) or project-specific discount rates are more appropriate. Therefore, WACC is a powerful but imperfect tool — its reliability depends heavily on the quality of its inputs. The key insight is: small changes in WACC inputs (especially beta and equity risk premium) can produce dramatically different valuations."
"Explain the M&A process from start to finish.","Let's think through this: Step 1: Strategy and target identification — the acquirer defines strategic rationale (market share, synergies, capabilities) and screens potential targets using financial and strategic criteria. Step 2: Preliminary valuation — the acquirer performs a standalone DCF and comparable company/transaction analysis to establish a valuation range. Step 3: Approach and NDA — the acquirer contacts the target (directly or via advisors), signs a non-disclosure agreement, and begins preliminary discussions. Step 4: Due diligence — deep investigation of target's financials, legal structure, contracts, IP, liabilities, and operations. Step 5: Deal structuring — determining consideration (cash, stock, or mixed), form of acquisition (merger, asset purchase, stock purchase), and deal protections (break-up fees, MAC clauses). Step 6: Negotiation and definitive agreement — the purchase price, reps and warranties, conditions to closing are finalized. Step 7: Regulatory approval — antitrust review (FTC, DOJ in the US; EU Commission in Europe). Step 8: Shareholder vote and closing. Therefore, M&A is a multi-month process requiring coordination across finance, legal, regulatory, and operational teams. The key insight is: most value destruction in M&A happens not in the deal structure but in post-merger integration failures."
"What are synergies in M&A and how are they valued?","Working through this: Step 1: Synergies are the incremental value created by combining two companies that could not be achieved independently. Step 2: Revenue synergies include cross-selling opportunities, expanded distribution, pricing power, and new market access — these are typically harder to achieve and take longer to realize. Step 3: Cost synergies include elimination of duplicate functions (headcount, facilities, systems), purchasing economies, and supply chain optimization — these are more certain and faster to realize. Step 4: To value synergies: estimate the annual after-tax synergy benefit, apply a probability of achievement (e.g., 70%), project timing (e.g., 50% in Year 1, 100% by Year 3), then discount to PV at WACC. Step 5: Synergies must be weighed against integration costs (one-time restructuring charges, IT system migration, severance). Step 6: A key discipline: the acquirer should pay no more than 50% of synergy value to the seller — the rest should accrue to acquirer shareholders. Therefore, synergy analysis is central to justifying acquisition premiums. The key insight is: revenue synergies are often overestimated; cost synergies are more reliable but still require rigorous execution."
"What is accretion/dilution analysis in M&A?","Let's think through this: Step 1: Accretion/dilution analysis determines whether a deal increases (accretive) or decreases (dilutive) the acquirer's earnings per share (EPS) in the first full year post-close. Step 2: Start with the acquirer's standalone EPS. Step 3: Add the target's contribution to net income (post-synergies, post-integration costs). Step 4: Subtract the incremental cost of financing: if using debt, subtract after-tax interest expense; if using stock, count new shares issued. Step 5: Calculate pro forma combined EPS and compare to acquirer's standalone EPS. Step 6: If pro forma EPS > standalone EPS, the deal is accretive; if lower, it is dilutive. Step 7: Important nuance: a dilutive deal is not necessarily bad if it creates long-term strategic value; an accretive deal is not necessarily good if it destroys long-term value. Therefore, accretion/dilution is a short-term financial metric — not a substitute for full strategic and NPV analysis. The key insight is: all-cash deals funded by debt tend to be more accretive than all-stock deals because interest expense is tax-deductible and no new shares are issued."
"What is dividend policy and the Modigliani-Miller dividend irrelevance theorem?","Working through this: Step 1: Dividend policy refers to how a firm decides to distribute profits — as dividends, share buybacks, or retained earnings for reinvestment. Step 2: Modigliani and Miller (1961) argued that in perfect capital markets (no taxes, no transaction costs, no information asymmetry), dividend policy is irrelevant to firm value. Step 3: The logic: if a firm pays a dividend, shareholders can reinvest it; if it doesn't, shareholders can create 'homemade dividends' by selling shares. Step 4: In reality, taxes matter — in many jurisdictions, dividends are taxed at a higher rate than capital gains, favoring retention or buybacks. Step 5: The signaling theory argues that dividends convey management's confidence in future earnings — a dividend cut is often punished severely by the market. Step 6: The clientele effect: some investors (retirees, income funds) prefer dividend-paying stocks; others prefer capital gains. Step 7: Agency theory: dividends reduce free cash flow available for empire-building, which can discipline management. Therefore, dividend policy reflects a firm's maturity, cash generation ability, tax environment, and investor base. The key insight is: dividend policy is a signal — consistent, growing dividends signal financial strength and disciplined capital allocation."
