question,answer
Why should I invest internationally?,"International diversification reduces concentration risk, exposes you to faster-growing economies, and historically improves risk-adjusted returns. The US stock market represents roughly 60% of global market capitalization — investing only in US stocks ignores the other 40% of the world's public companies. Benefits: different economic cycles (US and international markets don't move in lockstep), exposure to sectors underrepresented in the US (European luxury brands, Japanese auto manufacturers, Korean tech), currency diversification, and potential valuation advantage (international stocks often trade at lower valuations than US stocks). Historical data shows international stocks outperform US stocks in some decades and underperform in others — holding both reduces the variability of outcomes. Target allocation: most global market-weighted portfolios suggest 30-40% international exposure."
What is home country bias in investing?,"Home country bias is the well-documented tendency for investors to overweight domestic stocks far beyond their share of global market capitalization. US investors hold ~80-85% of their equity in US stocks despite the US being only ~60% of global market cap. This occurs worldwide: UK investors over-allocate to UK stocks, Japanese investors to Japanese stocks. Reasons: familiarity and comfort with domestic companies, perceived lower risk (though actual evidence shows equivalent or higher risk from concentration), currency risk aversion, and practical barriers (harder to research foreign companies). The cost: investors miss the benefits of international diversification and expose themselves to risks of having all eggs in one country's basket. The Japanese stock market peaked in 1989 and didn't recover its highs for 34 years — a catastrophic outcome for investors with 100% Japanese equity exposure."
What is the difference between developed and emerging markets?,"Developed markets (DM): high-income economies with mature financial markets, strong rule of law, stable currencies, and deep liquidity. Major DMs: US, UK, Germany, France, Japan, Canada, Australia, Switzerland. MSCI Developed Market Index covers ~23 countries. Emerging markets (EM): middle-income economies with developing capital markets, higher growth potential, but also higher risk from political instability, currency volatility, governance issues, and weaker investor protections. Major EMs: China, India, Brazil, Taiwan, South Korea, Saudi Arabia, Mexico. MSCI EM Index covers ~25 countries. The case for EM: faster GDP growth, younger demographics, rising middle class, attractive valuations historically. EM risks: currency depreciation against USD can wipe out gains for US investors, political risk, less transparent accounting, liquidity risk during crises, and correlation with global risk-off events."
What is the MSCI EAFE index?,"MSCI EAFE (Europe, Australasia, Far East) is the primary benchmark for developed market international equities, excluding the United States and Canada. It covers approximately 21 developed market countries and represents over 800 companies. Major country weights: Japan (~22%), United Kingdom (~14%), France (~11%), Switzerland (~10%), Germany (~9%), Australia (~7%). EAFE is heavily weighted toward financial, industrial, and consumer staples sectors — different from the technology-heavy US market. Over the past decade, EAFE significantly underperformed the US market, partly due to lower technology exposure and slower economic growth. EAFE provides diversification away from US technology concentration and is the basis for popular international index funds (VEA, EFA, IEFA). The MSCI ACWI (All Country World Index) includes both developed and emerging markets."
What is currency risk in international investing?,"When investing internationally, returns are affected by both the performance of the foreign investment and changes in the exchange rate between the foreign currency and your home currency. Example: you invest $10,000 in a European stock. The stock gains 10% in euros. If the euro also strengthens 5% against the dollar, your total return is roughly 15.5% in dollars. If the euro weakens 5%, your return is only ~4.5% despite the 10% stock gain. Currency risk can either amplify or reduce your returns. Over the long term, currencies tend to mean-revert toward purchasing power parity, so currency effects wash out somewhat. Currency-hedged ETFs (like HEDJ or HEFA) use forward contracts to eliminate this exchange rate risk but typically cost 0.5-1% more annually and perform differently from unhedged funds. Most long-term investors accept unhedged currency exposure as a diversifier."
What is the economic difference between China and India?,"China and India are the world's two most populous countries and largest emerging market economies, but with fundamentally different characteristics. China: manufacturing powerhouse, infrastructure-led growth, state-directed economy, aging population (one-child policy legacy), middle-income status, ~$18T GDP (world's 2nd largest), authoritarian political system with significant government control over private sector. India: services-led growth, demographic dividend (young and growing population), democracy with common law and stronger property rights, lower manufacturing base but growing, ~$3.5T GDP (world's 5th largest), English-speaking technical workforce. Investment implications: China offers scale but higher regulatory and geopolitical risk (Taiwan tensions, tech crackdowns). India offers structural growth with better governance, but markets are expensive and infrastructure gaps remain. Both represent core EM allocations for most global investors."
What is geopolitical risk in international investing?,"Geopolitical risk is the potential for political events to negatively impact investments — wars, sanctions, government seizure of assets, trade conflicts, or political instability. Recent examples: Russia sanctions after Ukraine invasion (2022) caused Western funds to write Russian holdings to zero — a complete loss. China regulatory crackdowns (2021) wiped out over $1T from US-listed Chinese companies. Venezuela nationalizations destroyed shareholder value. Ways geopolitical risk manifests: expropriation (government seizing foreign assets), sanctions (cutting off trading or financial access), currency controls (preventing repatriation of profits), and market closure. Risk mitigation: diversify across many countries, avoid overly concentrated positions in high-risk countries, evaluate political risk before investing, favor countries with strong rule of law and treaty protections, and recognize that all international investing carries some geopolitical risk that cannot be fully eliminated."
What is investing in frontier markets?,"Frontier markets are stock markets in countries that are less developed than emerging markets — smaller economies with less liquid markets, higher political risk, and earlier stage financial market development. Examples: Vietnam, Nigeria, Kenya, Bangladesh, Romania, Morocco, Kuwait (before MSCI upgrade), Saudi Arabia (before 2019 EM inclusion). Frontier market characteristics: low correlation with major markets (true diversification benefit), rapid economic growth potential, low institutional investor participation, very limited liquidity, poor regulatory frameworks in some, and higher exposure to commodity price movements. The case for frontier: first-mover advantage in markets before institutional capital arrives, demographic growth stories, and genuine diversification. The case against: exit risk (hard to sell quickly during stress), accounting and governance concerns, political risk, and currency vulnerability. Accessible through dedicated frontier market ETFs (FM, EMFM)."
What is the correlation between US and international stocks?,"Correlation measures how closely two assets move together (scale: -1 to +1). Historically, US and international developed market stocks have had correlations of 0.7-0.85 — substantial positive correlation, but not perfect. This means international stocks don't diversify perfectly in normal times. The problem: correlations increase during market crises — when US markets crash, international markets typically also fall. The diversification benefit you expect often disappears exactly when you need it most (2008, 2020). Emerging markets have historically had slightly lower correlation with the US (~0.6-0.7). Over long time periods, having international exposure still improves risk-adjusted returns because different countries experience different economic cycles. Structural differences (sector composition, economic sensitivity, currency effects) provide meaningful diversification even with high correlations."
What is the effect of the US dollar on international investments?,"The US dollar is the world's reserve currency, and its strength significantly impacts international investments in multiple ways. When the dollar strengthens against other currencies: international stocks (measured in local currencies) produce smaller returns when converted back to dollars, exports from dollar-strong countries become more competitive globally, and commodity prices (priced in dollars) often fall. When the dollar weakens: international returns amplify when converted back to dollars, emerging market countries that borrowed in dollars face smaller debt burdens, and commodities typically rise. Dollar cycles tend to last 5-10 years. The dollar strengthened significantly from 2011-2015 and again from 2021-2022, headwinds for international returns. Dollar weakness in 2017-2018 boosted international outperformance. The dollar's structural role as global reserve currency — and potential erosion of that role over decades — is one of the most important long-term macro themes."
