question,answer
"What is a merger vs an acquisition?","Step 1: A merger is when two companies combine to form a new entity, typically as equals. Step 2: An acquisition is when one company purchases and absorbs another, with the buyer retaining its identity. Step 3: In practice, most mergers are actually acquisitions where one firm is dominant. Therefore, the distinction is largely legal and strategic — mergers suggest equality while acquisitions imply one party is subsumed."
"What are the main types of M&A deals?","Step 1: Horizontal M&A combines competitors in the same industry to gain market share. Step 2: Vertical M&A integrates a supplier or distributor along the supply chain. Step 3: Conglomerate M&A combines unrelated businesses to diversify revenue. Step 4: Concentric M&A combines firms with related products or markets but not direct competitors. Therefore, the deal type determines the strategic rationale, regulatory scrutiny, and synergy potential."
"How is an acquisition target valued in M&A?","Step 1: Precedent transactions analysis looks at prices paid for comparable companies in past deals, including control premiums. Step 2: DCF analysis values the target based on its projected free cash flows discounted to present value. Step 3: Comparable company analysis (comps) benchmarks the target against public peers using multiples like EV/EBITDA. Step 4: LBO analysis estimates the maximum price a financial buyer could pay and still achieve target returns. Therefore, investment bankers typically use all four methods and present a valuation range."
"What is a control premium in M&A?","Step 1: A control premium is the amount above a target's current market price that an acquirer pays to gain a controlling stake. Step 2: It compensates existing shareholders for giving up their shares and reflects the value of controlling the company's decisions. Step 3: Premiums typically range from 20% to 40% above the undisturbed share price. Step 4: Larger premiums are justified when synergies are high or competition for the target is fierce. Therefore, the control premium represents the price of authority — the right to redirect the target's strategy and cash flows."
"What are synergies in an M&A deal?","Step 1: Revenue synergies arise from cross-selling products, entering new markets, or leveraging combined customer bases. Step 2: Cost synergies come from eliminating duplicate functions, consolidating operations, or achieving economies of scale. Step 3: Financial synergies include improved borrowing capacity or tax benefits from combining balance sheets. Step 4: Synergies are often projected optimistically; studies show they are frequently overestimated by acquirers. Therefore, synergies are the primary financial justification for paying a premium, but realistic estimation is critical."
"What is due diligence in M&A?","Step 1: Due diligence is the comprehensive investigation of a target company before finalizing a deal. Step 2: Financial due diligence reviews historical financials, working capital, debt, and accounting quality. Step 3: Legal due diligence examines contracts, litigation, IP ownership, and regulatory compliance. Step 4: Operational due diligence assesses the target's systems, employees, and operational risks. Step 5: Commercial due diligence validates the target's market position and growth assumptions. Therefore, due diligence reduces the risk of overpaying or inheriting hidden liabilities."
"What is a leveraged buyout (LBO)?","Step 1: An LBO is an acquisition funded primarily with debt, using the target's assets and cash flows as collateral. Step 2: Private equity firms typically contribute 30–40% equity and finance the rest with senior debt, mezzanine debt, or high-yield bonds. Step 3: The target's cash flows service the debt, and equity returns come from paying down debt and improving the business. Step 4: LBO returns are measured by IRR and cash-on-cash multiples over a 3–7 year holding period. Therefore, LBOs amplify returns through leverage but also increase financial risk if cash flows disappoint."
"What is a hostile takeover?","Step 1: A hostile takeover occurs when an acquirer attempts to buy a target without board approval, going directly to shareholders. Step 2: The acquirer launches a tender offer — a public bid to purchase shares at a premium — to bypass management. Step 3: Proxy fights are another tactic, where the acquirer seeks shareholder votes to replace the board. Step 4: Targets defend using poison pills, white knights, or staggered board provisions. Therefore, hostile takeovers are contentious events where the acquirer believes the target is undervalued or poorly managed."
"What is a poison pill defense?","Step 1: A poison pill (shareholder rights plan) is a defense mechanism that allows existing shareholders to buy new shares at a discount if a hostile bidder crosses an ownership threshold (e.g., 15%). Step 2: This dilutes the hostile bidder's stake and makes the takeover prohibitively expensive. Step 3: Boards adopt poison pills preemptively to deter unsolicited bids and give themselves negotiating leverage. Step 4: Critics argue poison pills entrench management; supporters say they protect against lowball bids. Therefore, poison pills shift bargaining power toward the target board during hostile approaches."
"What is a merger of equals?","Step 1: A merger of equals is a deal where two similarly sized companies combine, with neither party paying a large premium. Step 2: Both companies' shareholders receive stock in the new combined entity based on an agreed exchange ratio. Step 3: Leadership roles are often split, and the combined company may take a new name. Step 4: True mergers of equals are rare; one party usually has more leverage or strategic urgency. Therefore, a merger of equals emphasizes partnership and shared value creation rather than one firm dominating the other."
