question,answer
What is GDP?,"Gross Domestic Product (GDP) is the total monetary value of all goods and services produced within a country's borders in a specific time period, typically measured quarterly and annually. It is the broadest single measure of a nation's economic output and health. GDP encompasses consumption, investment, government spending, and net exports."
What is GDP growth rate?,"The GDP growth rate measures the percentage change in a country's GDP from one period to the next, indicating whether the economy is expanding or contracting. A positive growth rate reflects economic expansion; a negative rate for two consecutive quarters is commonly used to define a recession. Most developed economies aim for a growth rate of 2-3% annually, which is considered healthy and sustainable."
What is the difference between nominal and real GDP?,"Nominal GDP is measured at current market prices without adjusting for inflation, while real GDP adjusts for price level changes to reflect actual volume of production. Real GDP provides a more accurate picture of economic growth by removing the distorting effect of inflation. When economists compare GDP across different years, they use real GDP to ensure they are measuring actual changes in output."
What is the difference between GNP and GDP?,"GNP (Gross National Product) measures the total output produced by a country's residents regardless of location, including overseas activities, while GDP measures production within a country's borders regardless of who produces it. The two measures differ by net income from abroad (GNP = GDP + net foreign income). For most countries the difference is small, but for countries with large expatriate workforces or foreign investments, GNP and GDP can diverge significantly."
What is inflation rate?,"The inflation rate is the annual percentage change in the price level of goods and services in an economy. It erodes the purchasing power of money, meaning each dollar buys less over time. Central banks typically target a 2% annual inflation rate as consistent with price stability and healthy economic growth."
What is the CPI?,"The Consumer Price Index (CPI) measures changes in the prices paid by consumers for a representative basket of goods and services, including food, housing, transportation, healthcare, and clothing. It is the most widely cited measure of inflation and is used to adjust Social Security payments, tax brackets, and wage agreements. CPI tends to overstate inflation somewhat due to substitution bias and quality improvements."
What is the PCE index?,"The Personal Consumption Expenditures (PCE) price index measures price changes from the perspective of consumers and adjusts for substitution effects as prices change. The Federal Reserve officially targets the PCE (especially 'core PCE' excluding food and energy) at 2% as its primary inflation benchmark. PCE typically shows slightly lower inflation than CPI due to its broader coverage and flexible basket."
What is core inflation?,"Core inflation measures the change in prices excluding the more volatile categories of food and energy. Central banks focus on core inflation because it is considered a better indicator of underlying inflation trends and future pricing pressures. Food and energy prices can be highly volatile due to weather events and geopolitical factors, which can distort the overall inflation signal."
What is hyperinflation?,"Hyperinflation is a period of extremely rapid and out-of-control inflation, typically defined as monthly price increases above 50%. Famous historical examples include Germany in the 1920s (Weimar Republic), Zimbabwe in the 2000s, and Venezuela in the 2010s. Hyperinflation destroys the currency's purchasing power and economic functioning, usually requiring a complete monetary reset."
What is deflation?,"Deflation is a sustained decrease in the general price level of goods and services, representing a negative inflation rate. While falling prices may seem beneficial, deflation is generally harmful because it causes consumers to delay purchases (expecting prices to fall further), reduces corporate revenues, increases the real burden of debt, and can create a deflationary spiral. Japan experienced two decades of deflation that significantly hampered economic growth."
What is stagflation?,"Stagflation is an unusual and dangerous economic condition combining stagnant economic growth (or recession) with high inflation and high unemployment simultaneously. It defies traditional economic models that assume inflation and unemployment move in opposite directions. The 1970s U.S. oil shock produced the most famous episode of stagflation, challenging Keynesian economic orthodoxy."
What is the federal funds rate?,"The federal funds rate is the interest rate at which U.S. commercial banks lend reserves to each other overnight. The Federal Reserve sets a target range for this rate as its primary monetary policy tool. Changes in the federal funds rate cascade through the entire financial system, affecting mortgage rates, bond yields, savings account rates, and ultimately economic activity and inflation."
What is the Federal Reserve?,"The Federal Reserve (the Fed) is the central banking system of the United States, established in 1913. It has a dual mandate to maximize employment and maintain stable prices (2% inflation target). The Fed uses tools including interest rate policy, open market operations, and bank regulation to achieve these goals and maintain financial stability."
What is monetary policy?,"Monetary policy refers to the actions taken by a central bank to manage the money supply and interest rates to achieve macroeconomic objectives such as price stability, full employment, and economic growth. Expansionary monetary policy (low rates, money creation) stimulates the economy; contractionary policy (high rates, money withdrawal) cools inflation. Monetary policy complements but is distinct from fiscal policy."
What is quantitative easing (QE)?,"Quantitative easing (QE) is an unconventional monetary policy tool where a central bank purchases financial assets (typically government bonds) to inject money into the economy and lower long-term interest rates when conventional rate cuts are insufficient. The Fed used QE extensively during the 2008 financial crisis and the 2020 COVID pandemic to support financial markets and stimulate the economy. QE can raise asset prices and inflation if not carefully managed."
What is quantitative tightening (QT)?,"Quantitative tightening (QT) is the reverse of QE, involving a central bank reducing its balance sheet by allowing securities to mature without reinvestment or by actively selling assets. QT removes liquidity from the financial system, puts upward pressure on long-term interest rates, and is used to combat inflation. The Fed began QT in 2022 to fight the post-pandemic inflation surge."
What is money supply (M1, M2, M3)?,"Money supply measures the total amount of money available in an economy, classified in tiers: M1 includes the most liquid forms (cash, demand deposits, checking accounts); M2 adds savings accounts, money market funds, and small CDs; M3 (no longer officially tracked by the Fed) adds large institutional deposits. Changes in money supply are closely watched as indicators of inflationary potential and economic activity."
What is the velocity of money?,"Velocity of money measures how quickly money circulates through the economy—how often a dollar is spent in a given period. High velocity means each dollar is changing hands frequently, indicating an active economy; low velocity suggests money is being hoarded. The quantity theory of money (MV = PQ) relates money supply, velocity, price level, and economic output."
What is purchasing power parity?,"Purchasing power parity (PPP) is an economic theory stating that exchange rates between currencies should adjust so that identical goods cost the same in different countries when expressed in a common currency. It is used to compare living standards and economic productivity across countries more accurately than using market exchange rates. The Economist's Big Mac Index is a famous informal measure of PPP."
What are exchange rates?,"Exchange rates represent the price of one currency in terms of another, determining how much foreign currency one unit of domestic currency can purchase. Exchange rates are determined by supply and demand in global forex markets and are influenced by interest rate differentials, inflation rates, trade balances, and political stability. Exchange rates profoundly affect international trade, investment flows, and corporate earnings."
What is currency appreciation?,"Currency appreciation occurs when a country's currency increases in value relative to other currencies. A stronger currency makes imports cheaper and reduces inflation, but makes exports more expensive for foreign buyers. Countries with rising interest rates, strong economies, and improving trade balances typically see their currencies appreciate."
What is currency depreciation?,"Currency depreciation occurs when a country's currency loses value relative to other currencies. Depreciation makes exports more competitive internationally but increases the cost of imports and can fuel domestic inflation. Countries with falling interest rates, weak growth, or deteriorating trade balances often experience currency depreciation."
What is the balance of trade?,"The balance of trade is the difference between a country's total export value and import value of goods over a given period. A positive balance (trade surplus) means exports exceed imports; a negative balance (trade deficit) means imports exceed exports. The U.S. has run persistent trade deficits for decades, particularly with China, which has been a source of political and economic debate."
What is the current account?,"The current account is a component of a country's balance of payments that records trade in goods and services, net income from abroad, and current transfers. A current account deficit means a country is spending more on foreign goods and services than it earns from exports. Countries with current account deficits must finance them through capital inflows (foreign investment or borrowing)."
What is the capital account?,"The capital account (or financial account in modern terminology) records the flow of financial capital and investment between countries, including foreign direct investment, portfolio investment, and other financial transactions. A capital account surplus means more money is flowing into the country than out. The current account and capital account must balance in theory, since deficits in one are financed by surpluses in the other."
What is a trade deficit?,"A trade deficit occurs when a country's imports of goods and services exceed its exports, meaning it is spending more on foreign products than it earns from selling to the world. The U.S. has maintained a persistent trade deficit, particularly with China and the European Union. While often viewed negatively, trade deficits can also reflect a strong domestic economy where consumers have purchasing power to buy from abroad."
What is a trade surplus?,"A trade surplus occurs when a country's exports exceed its imports, generating net inflows of foreign currency. Countries like Germany, China, and Japan have historically run large trade surpluses. Trade surpluses can indicate competitive manufacturing sectors but may also lead to trade tensions with deficit countries."
What is fiscal policy?,"Fiscal policy refers to government decisions about taxation and spending to influence economic conditions. Expansionary fiscal policy (tax cuts or increased spending) stimulates economic activity; contractionary fiscal policy (tax increases or spending cuts) slows it. Fiscal policy and monetary policy are the two main tools governments and central banks use to manage the economy."
What is government spending in economics?,"Government spending includes all expenditures by federal, state, and local governments on goods, services, and transfer payments (Social Security, Medicare). It is a significant component of GDP (G in the GDP formula). Increased government spending during recessions (Keynesian economics) is intended to stimulate economic activity, while spending cuts may be used to reduce debt."
What is taxation in economics?,"Taxation is the mechanism by which governments collect revenue from individuals and businesses to fund public services and redistribution programs. Tax policy affects economic behavior, incentives for work and investment, income distribution, and the business cycle. High marginal tax rates may reduce work incentives; low rates can stimulate growth but may increase inequality and government deficits."
What is a budget deficit?,"A budget deficit occurs when government spending exceeds tax revenues in a given fiscal year. Governments typically finance deficits by issuing bonds (borrowing from the public). Persistent deficits add to the national debt and may crowd out private investment or risk higher future interest rates."
What is national debt?,"National debt is the total accumulated amount a government owes to creditors, including both domestic and foreign holders of government bonds. It represents the sum of all past budget deficits minus surpluses. The sustainability of national debt depends on factors including interest rates, economic growth rates, and the currency denomination of the debt."
What is the debt-to-GDP ratio?,"The debt-to-GDP ratio compares a country's national debt to its GDP, providing a measure of the country's ability to service its debt. A ratio above 100% (meaning debt exceeds annual economic output) is considered high, though some countries sustain even higher levels. The U.S. debt-to-GDP ratio surpassed 100% following the 2008 financial crisis and again after COVID-19 stimulus measures."
What is a recession?,"A recession is typically defined as a significant decline in economic activity spread across the economy lasting more than a few months, commonly identified by two consecutive quarters of negative GDP growth. Recessions are characterized by rising unemployment, falling consumer spending, declining business investment, and reduced industrial production. The National Bureau of Economic Research (NBER) is the official arbiter of U.S. recession dates."
What is a technical recession?,"A technical recession is defined specifically as two consecutive quarters of negative real GDP growth. While widely used as a quick indicator, the NBER's official recession determination considers broader economic data including employment, income, and consumer spending. The 2022 U.S. economy illustrated this distinction when two consecutive quarters of GDP contraction occurred but the NBER did not declare a recession due to continued strong labor markets."
What is an economic depression?,"An economic depression is a severe, prolonged downturn in economic activity that is deeper and longer-lasting than a typical recession. The Great Depression of the 1930s saw U.S. GDP fall by about 30% and unemployment reach 25%. Depressions are historically rare and typically involve banking system failures, deflationary spirals, and mass unemployment."
What are the stages of the economic cycle?,"The economic (business) cycle consists of four phases: expansion (growth, rising employment, increasing output), peak (maximum output before the cycle turns), contraction/recession (declining activity, rising unemployment), and trough (the lowest point before recovery begins). Understanding where the economy is in the cycle helps investors adjust portfolio positioning. Cycles vary significantly in length and intensity."
What are leading economic indicators?,"Leading economic indicators change before the economy begins to follow a trend, providing advance warning of future economic conditions. Key leading indicators include building permits, stock market performance, initial jobless claims, the ISM manufacturing index, and consumer confidence. The Conference Board's Leading Economic Index (LEI) combines multiple leading indicators into a single composite measure."
What are lagging economic indicators?,"Lagging economic indicators change after the economy has already begun to follow a particular trend. Common lagging indicators include the unemployment rate, CPI, corporate profits, and long-term interest rates. They confirm patterns and trends rather than predict them, providing confirmation that an economic shift has occurred."
What are coincident economic indicators?,"Coincident economic indicators change roughly in line with the overall economy, reflecting the current state of economic activity. Key coincident indicators include GDP, personal income, industrial production, and total employment. They are used to identify the current phase of the business cycle."
What is the unemployment rate?,"The unemployment rate is the percentage of the labor force that is actively seeking employment but unable to find work. In the U.S., the Bureau of Labor Statistics publishes the official unemployment rate (U-3) monthly. The Federal Reserve's dual mandate includes maximizing employment, making the unemployment rate a critical input for monetary policy decisions."
What are the types of unemployment?,"The main types of unemployment are frictional (people between jobs or looking for their first job), structural (skill mismatches between workers and available jobs due to technological change or industry shifts), cyclical (caused by economic downturns), and seasonal (related to predictable fluctuations in demand). Only cyclical unemployment can be reduced through monetary and fiscal policy."
What is NAIRU?,"NAIRU (Non-Accelerating Inflation Rate of Unemployment) is the theoretical unemployment rate at which inflation is stable—neither accelerating nor decelerating. It represents the level of unemployment consistent with a balanced economy without inflationary pressure. Estimates of NAIRU are uncertain and have shifted over time as labor market dynamics have evolved."
What is the Phillips curve?,"The Phillips curve illustrates the historical inverse relationship between unemployment and inflation—when unemployment falls, inflation tends to rise, and vice versa. The relationship arises because tight labor markets give workers more bargaining power, pushing up wages and prices. The 1970s stagflation challenged the simple Phillips curve, leading to more sophisticated models incorporating inflationary expectations."
What is Okun's law?,"Okun's law is an empirical observation relating GDP growth to changes in the unemployment rate, suggesting that for every 1% increase in unemployment, GDP falls by about 2%. It provides a rough rule of thumb for understanding the relationship between labor market conditions and economic output. The relationship is approximate and varies across countries and economic periods."
