question,answer
What is factor investing?,"Factor investing is a strategy that targets specific drivers of return — called factors — that have been shown to explain differences in investment performance across securities. The main factors are value (cheap stocks outperform expensive ones), momentum (recent winners keep winning), quality (profitable, stable companies outperform), low volatility (lower-risk stocks provide better risk-adjusted returns), and size (small caps outperform large caps over time). Each factor has decades of academic evidence behind it. Investors can capture factors by tilting a portfolio toward securities that score high on the desired factor. Factor investing sits between passive indexing and active stock picking, offering systematic, rules-based exposure to return premiums."
What is the value factor in investing?,"The value factor refers to the tendency of cheap stocks — measured by low price-to-book, low price-to-earnings, or low price-to-cash-flow ratios — to outperform expensive stocks over the long run. First documented by Benjamin Graham and later formalized by Fama and French, value outperformance is attributed to both risk (value stocks are often distressed) and behavioral bias (investors overpay for glamour growth stocks). Value has had long periods of underperformance, most notably 2010–2020 when growth dominated. The value premium is real but cyclical, requiring patience and discipline to capture. Value ETFs and mutual funds systematically screen for low-valuation securities."
What is the momentum factor?,"Momentum is the tendency for securities that have performed well recently (typically over 3–12 months) to continue outperforming in the near term, and for losers to keep losing. It is one of the most robust factors across asset classes and geographies. Momentum strategies buy recent winners and sell (or underweight) recent losers. The behavioral explanation is that investors underreact to positive news initially and then overreact later, creating a trend. The risk explanation is that momentum stocks crash hard during market reversals — momentum strategies suffer severe drawdowns during sharp market rebounds. Momentum ETFs like MTUM track recent-performance-ranked baskets of securities."
What is the quality factor?,"The quality factor targets companies with strong profitability, stable earnings, low leverage, and high return on equity. Quality companies tend to weather economic downturns better and compound wealth more reliably over time. Metrics used to define quality include gross profit margin, return on assets, accruals (lower is better), and debt-to-equity. Academically, Novy-Marx showed that gross profitability predicts returns. Quality tends to outperform during market stress but may lag in strong bull markets. ETFs like QUAL (iShares MSCI USA Quality Factor) provide systematic quality exposure. Quality is often combined with value to avoid buying cheap but deteriorating businesses."
What is the low-volatility factor?,"The low-volatility factor is the empirical finding that stocks with lower historical price volatility tend to deliver higher risk-adjusted returns than high-volatility stocks — contradicting standard finance theory, which says higher risk should mean higher returns. This anomaly is explained by behavioral biases: investors overpay for lottery-like high-volatility stocks, and institutional investors face benchmark constraints that prevent them from fully exploiting the anomaly. Low-vol strategies construct portfolios of the least volatile stocks, often tilted toward defensive sectors like utilities and consumer staples. ETFs like USMV (iShares Edge MSCI Min Vol USA) implement this factor. Low-vol tends to outperform in bear markets and underperform in strong bull runs."
What is the size factor in investing?,"The size factor, first identified by Fama and French, is the historical tendency for small-capitalization stocks to outperform large-cap stocks over long periods. The premium compensates investors for the additional risks of small companies: less liquidity, less analyst coverage, higher business risk, and weaker balance sheets. However, the size premium has been inconsistent — much of it is concentrated in micro-cap stocks and in January (the January effect). Modern research suggests the size premium is stronger among high-quality small caps. Small-cap value is considered one of the most powerful combined factor exposures. Investors access size exposure through small-cap index funds or small-cap factor ETFs."
What is a smart beta ETF?,"Smart beta ETFs are exchange-traded funds that track indexes constructed using rules other than traditional market-cap weighting. Instead of weighting by size, they weight by factors like value, momentum, quality, low volatility, or equal weight. The goal is to systematically capture factor premiums at low cost. Examples include VLUE (value), MTUM (momentum), QUAL (quality), USMV (minimum volatility), and RSP (equal weight S&P 500). Smart beta sits between passive index funds and active management — it is rules-based and transparent like passive funds, but deliberately deviates from the market portfolio. Costs are typically higher than plain vanilla index funds but lower than active funds. Factor timing is difficult, so most advisors recommend strategic (long-term) factor exposure rather than tactical rotation."
What is the efficient frontier in portfolio construction?,"The efficient frontier is a curve on a risk-return graph representing the set of portfolios that offer the highest expected return for a given level of risk (measured by standard deviation). Introduced by Harry Markowitz in 1952, it forms the foundation of Modern Portfolio Theory. Portfolios on the frontier are fully diversified — no other combination of assets can deliver more return at the same risk. Below the frontier are suboptimal portfolios; above it are impossible portfolios. The key insight is that combining assets with low or negative correlations can reduce portfolio risk without sacrificing expected return. In practice, the frontier shifts over time because correlations and expected returns change. It is a theoretical ideal, but it guides real-world asset allocation decisions."
What is correlation and why does it matter for portfolio construction?,"Correlation measures how two assets move relative to each other, ranging from -1 (perfect inverse) to +1 (perfect positive). In portfolio construction, combining assets with low or negative correlations reduces overall portfolio volatility without necessarily reducing expected return. For example, when stocks fall, bonds often rise — their low or negative correlation provides a cushion. Gold and stocks often have near-zero correlation, making gold a useful diversifier. When correlations among portfolio assets are low, diversification works powerfully. A key risk is correlation breakdown during market crises: assets that appeared uncorrelated in normal times tend to move together in a crash, reducing the diversification benefit precisely when it is most needed."
What is portfolio rebalancing and why is it important?,"Rebalancing is the process of realigning a portfolio's asset weights back to target allocations after market movements have caused drift. For example, if stocks rise sharply, the equity allocation grows above target — rebalancing sells some stocks and buys bonds to restore the original mix. Rebalancing serves two purposes: controlling risk (preventing a portfolio from becoming equity-heavy after a bull run) and systematically buying low and selling high. Without rebalancing, a 60/40 portfolio can drift to 80/20 after a strong equity bull market, taking on far more risk than intended. The cost of rebalancing includes transaction fees and taxes (in taxable accounts). Most investors rebalance either on a calendar schedule (annually) or when allocations drift beyond a set threshold (e.g., 5 percentage points)."
