question,answer
What is a loan?,"A loan is an agreement where a lender provides money to a borrower, who promises to repay it over time with interest. The principal is the original amount borrowed. The interest rate is the cost of borrowing, expressed as a percentage. Loans come in many forms: personal loans, auto loans, mortgages, student loans, and business loans. Key terms include the loan term (repayment period), monthly payment, and APR (annual percentage rate, which includes fees). Most loans require a credit check to assess your ability to repay. Secured loans require collateral like a car or home, while unsecured loans rely solely on your creditworthiness."
What is interest?,"Interest is the cost of borrowing money, expressed as a percentage of the amount borrowed. When you take out a loan, the lender charges interest as compensation for lending you money and taking on risk. When you deposit money in a savings account, the bank pays you interest for using your funds. Simple interest is calculated only on the principal. Compound interest is calculated on both the principal and accumulated interest, causing your balance to grow faster over time. The interest rate significantly impacts the total cost of a loan — a higher rate means you pay more overall, which is why comparing rates before borrowing is essential."
What is a bank?,"A bank is a financial institution licensed to accept deposits and make loans. Banks act as intermediaries between people who have money (depositors) and people who need money (borrowers). They earn profit from the spread between the interest they pay depositors and the interest they charge borrowers. Banks offer many services including checking accounts, savings accounts, loans, mortgages, credit cards, wire transfers, and investment products. Banks are regulated by government agencies like the FDIC in the US, which insures deposits up to $250,000 per account, protecting customers if the bank fails."
What is a savings account?,"A savings account is a bank account designed to hold money you don't need for daily expenses, earning interest over time. Unlike a checking account, savings accounts are meant for storing money and typically limit the number of withdrawals per month. The bank pays you interest (expressed as APY — annual percentage yield) as a reward for keeping money deposited. High-yield savings accounts, often offered by online banks, pay significantly higher interest rates than traditional bank savings accounts. Savings accounts are insured by the FDIC up to $250,000, making them a safe place to keep your emergency fund and short-term savings."
What is a checking account?,"A checking account is a bank account designed for everyday transactions — paying bills, buying groceries, withdrawing cash from ATMs, and receiving your paycheck. Unlike savings accounts, checking accounts allow unlimited withdrawals and transfers. Most checking accounts come with a debit card and checks. Some accounts charge monthly fees, though many banks offer free checking with direct deposit or a minimum balance. Checking accounts typically earn little or no interest since they are meant for spending, not saving. They are FDIC-insured up to $250,000, protecting your money if the bank fails."
What is a credit card?,"A credit card is a payment card that lets you borrow money from the card issuer up to a set credit limit to make purchases. You receive a monthly statement showing what you owe and must pay at least the minimum payment by the due date. If you pay the full balance each month, you avoid interest charges. If you carry a balance, the issuer charges interest — often 15–25% APR. Credit cards offer benefits like rewards (cash back, miles, points), purchase protection, and fraud liability protection. Responsible use builds your credit score, while missed payments and high balances can damage it."
What is a debit card?,"A debit card is a payment card linked directly to your checking account. When you use it, money is immediately withdrawn from your account. Unlike a credit card, you spend only what you already have — there is no borrowing involved and no interest charges. Debit cards are accepted at most merchants and ATMs worldwide. They offer convenience without the risk of accumulating debt. The downside is that debit cards typically offer weaker fraud protection than credit cards — if your card is stolen and misused, recovering funds can be more difficult, though most banks provide some protection."
What is the difference between a debit card and a credit card?,"Let's think through this: Step 1: A debit card is linked to your checking account and spends money you already have. When you swipe it, funds are immediately deducted. Step 2: A credit card is a line of credit — you borrow money from the card issuer and repay it later. You receive a monthly bill. Step 3: Debit cards charge no interest since you're spending your own money. Credit cards charge interest (typically 15–25% APR) if you carry a balance. Step 4: Credit cards offer stronger fraud protection, rewards programs, and help build your credit score. Debit cards do none of these. Step 5: Overspending with a debit card overdrafts your account. Overspending with a credit card creates debt. Therefore, credit cards are better for building credit and earning rewards if paid in full monthly, while debit cards are better for budget discipline since you can't spend more than you have."
What is APR?,"APR stands for Annual Percentage Rate. It represents the true yearly cost of borrowing money, including both the interest rate and any fees associated with the loan. When comparing loans or credit cards, APR gives you a more accurate picture of the total cost than just the interest rate alone. For example, a loan with a 10% interest rate but high origination fees might have a 12% APR. For credit cards, APR tells you how much interest you'll pay if you carry a balance over a year. A lower APR means borrowing costs you less. Always compare APRs when shopping for loans, mortgages, or credit cards."
What is a credit score?,"A credit score is a three-digit number, typically ranging from 300 to 850, that represents your creditworthiness — how likely you are to repay debts on time. Lenders use it to decide whether to approve you for loans and at what interest rate. Higher scores get better rates and more approvals. The five main factors are: payment history (35%), amounts owed (30%), length of credit history (15%), new credit (10%), and credit mix (10%). Scores above 740 are considered very good. Below 580 is poor. You can check your credit score for free through many banks and services. Building a strong score takes consistent on-time payments and low credit utilization."
