question,answer
What is a derivative?,"A derivative is a financial contract whose value is derived from the price of an underlying asset, index, rate, or variable. Common underlyings include stocks, bonds, commodities, currencies, interest rates, and market indexes. Derivatives include futures, forwards, options, swaps, and more exotic structures. They serve two primary functions: hedging (reducing risk exposure) and speculation (taking on risk for potential profit). A corn farmer selling futures contracts to lock in a price is hedging. A trader buying call options expecting a stock to rise is speculating. Derivatives allow the transfer of risk from parties who don't want it to parties willing to take it, improving market efficiency. The global notional value of derivatives markets exceeds $600 trillion, dwarfing the value of underlying physical markets. Warren Buffett famously called them 'financial weapons of mass destruction' due to systemic risks."
What is a futures contract and how does it work?,"A futures contract is a standardized, exchange-traded agreement to buy or sell a specific asset at a predetermined price on a specified future date. Unlike forward contracts, futures are traded on organized exchanges (like CME Group), are standardized in size and delivery terms, and are guaranteed by a central clearinghouse that eliminates counterparty risk. Buyers profit if the price rises above the contract price; sellers profit if it falls. To enter a futures position, traders post an initial margin — a small percentage of the contract's notional value — not the full price. Gains and losses are settled daily through mark-to-market (variation margin). Futures are used by hedgers (farmers, airlines, corporations managing price risk) and speculators (traders seeking profit from price movements). Most futures contracts are closed out before delivery — physical settlement is relatively rare."
What is the difference between futures and forward contracts?,"Futures and forwards are both agreements to transact at a future date, but they differ in key ways. Futures are standardized contracts traded on regulated exchanges with a central clearinghouse guaranteeing performance, eliminating counterparty risk. Forwards are private, customized contracts negotiated directly between two parties (over-the-counter), with terms tailored to specific needs. Because forwards have no clearinghouse, they carry counterparty risk — if one party defaults, the other may not receive the contracted payment. Futures require daily mark-to-market margin settlement; forwards typically settle only at maturity. Futures are more liquid because they trade on exchanges; forwards are less liquid but more flexible. Banks, corporations, and institutions use forwards for currency and interest rate hedging when customization is needed. Speculators and portfolio hedgers typically use standardized futures."
What are commodity futures and what are they used for?,"Commodity futures are contracts to buy or sell a physical commodity — such as crude oil, natural gas, gold, silver, wheat, corn, or soybeans — at a specified price and future date. Producers (farmers, miners, oil companies) sell futures to lock in revenue and protect against price declines. Consumers (food manufacturers, airlines, refiners) buy futures to lock in input costs and protect against price increases. Speculators provide liquidity by taking the other side of these trades, hoping to profit from price movements. Most commodity futures are closed before delivery — a grain trader doesn't actually want truckloads of wheat. Commodity futures prices reflect supply/demand expectations, storage costs (the cost of carry), seasonal patterns, and geopolitical risks. Exchanges like CME, NYMEX, and ICE facilitate commodity futures trading globally."
What are financial futures?,"Financial futures are futures contracts on financial instruments rather than physical commodities. Major categories include: equity index futures (S&P 500, Nasdaq, Dow Jones — used to gain or hedge equity market exposure quickly without buying individual stocks), interest rate futures (Treasury bond futures, Eurodollar futures — used by institutions to hedge or gain exposure to interest rate movements), and currency futures (contracts on exchange rates between currency pairs — a complement to the forex forward market). Financial futures are among the most liquid and widely traded derivatives. Portfolio managers use S&P 500 futures to quickly adjust equity exposure — adding or removing a notional $100 million of exposure with a single trade rather than buying or selling hundreds of stocks. Interest rate futures are essential tools for bond portfolio managers, banks, and corporate treasurers."
How do futures prices relate to spot prices?,"The relationship between futures prices and spot prices is defined by the cost-of-carry model. The futures price approximately equals the spot price plus the cost of carrying the asset until delivery: F = S × e^(r-y)T, where r is the risk-free rate, y is the convenience yield or dividend yield, and T is time to expiration. For financial assets that pay dividends (stocks), the futures price is below the spot price adjusted for dividends (since futures holders don't receive dividends). For commodities, carrying costs include storage, insurance, and financing — pushing futures above spot. The convenience yield reflects the benefit of physically holding a commodity (availability in a supply shortage). In practice, futures prices converge to spot prices as expiration approaches — the basis (spot minus futures) narrows to zero at delivery."
What is contango in futures markets?,"Contango is a market condition in which the futures price of a commodity or asset is higher than the expected future spot price (or equivalently, futures prices are higher for longer-dated contracts than nearer-dated ones). Contango creates a headwind for investors who hold futures-based investments by rolling contracts forward — they repeatedly sell expiring lower-priced contracts and buy more expensive longer-dated ones, paying a premium each roll. This roll cost (negative roll yield) is a structural drag on returns. Contango is common in oil and natural gas markets during periods of oversupply — storage is abundant, and markets pay a premium for future delivery because there is no urgency to buy now. USO (oil ETF) notoriously destroyed long-term value due to persistent contango in oil futures. Contango is the normal state of markets where storage costs are high."
What is backwardation in futures markets?,"Backwardation is the opposite of contango — a market condition where futures prices are lower than the current spot price, or where near-term futures are priced higher than longer-dated contracts. Backwardation creates a tailwind for futures investors through positive roll yield — they sell expiring near-term contracts at higher prices and buy cheaper longer-dated contracts, profiting from the roll. Backwardation often occurs when a commodity is in immediate short supply — buyers are willing to pay a premium for prompt delivery. Oil went into extreme backwardation during the COVID-related supply shock in late 2021 as demand recovered faster than supply. Commodities in persistent backwardation (like some agricultural commodities and crude oil during supply crunches) provide positive carry to long investors, making them more attractive as portfolio diversifiers."
What is basis risk in futures hedging?,"Basis is the difference between the spot price of the asset being hedged and the price of the futures contract used as the hedge. Basis risk is the risk that the hedge doesn't perfectly offset the underlying price movement because the spot price and futures price don't move in perfect lockstep. This can occur when the asset being hedged differs from the futures contract's underlying (cross hedging — e.g., using crude oil futures to hedge jet fuel), when contract maturity doesn't align with the hedging horizon, or when local supply/demand conditions diverge from the standardized contract's benchmark. Basis risk means a hedge is never perfect — but it is generally much smaller than the unhedged price risk. Managing basis risk requires selecting the most closely correlated futures contract and adjusting hedge ratios to account for the correlation."
What does rolling a futures contract mean?,"Rolling a futures contract means closing an expiring near-term contract and opening a new position in a longer-dated contract, to maintain continuous exposure. Since futures have fixed expiration dates, investors who want ongoing exposure must roll periodically. For example, an oil futures investor holds a December contract; as December approaches expiration, they sell the December contract and buy a March contract. The cost or benefit of rolling depends on the market structure: in contango, rolling costs money (buying the more expensive far contract); in backwardation, rolling generates profit (buying the cheaper far contract). Rolling introduces transaction costs (bid-ask spreads, commissions). Commodity index funds and ETFs manage rolling systematically according to predetermined schedules. Strategic rolling — choosing when and how far to roll — can significantly impact returns."
How can futures be used to hedge an equity portfolio?,"Equity index futures allow portfolio managers to quickly and cheaply reduce or neutralize equity market exposure without selling individual stocks. To hedge a $10 million equity portfolio against market risk, a manager calculates how many S&P 500 futures contracts to sell based on the portfolio's beta and the futures notional value. If the market falls, losses on the portfolio are offset by gains on the short futures position. This is cheaper than selling and rebalancing the portfolio directly (lower transaction costs, no tax events). Futures hedges can be full (eliminating market risk entirely) or partial (reducing beta). Institutional investors also use futures for synthetic rebalancing — selling equity futures to reduce equity exposure and buying bond futures to increase bond exposure, maintaining target allocations without trading the underlying securities."
What is an interest rate swap?,"An interest rate swap is a contract between two parties to exchange interest payments — typically a fixed rate for a floating rate — on a notional principal amount, without exchanging the principal itself. Party A (the fixed-rate payer) pays a predetermined fixed rate to Party B and receives floating payments (based on SOFR, formerly LIBOR) in return. Party B has the opposite position. Corporations use swaps to convert floating-rate debt (variable cost) to fixed-rate debt (predictable cost), or vice versa. A company with floating-rate loans that fears rising rates can pay fixed in a swap to synthetically convert to fixed-rate funding. Banks use swaps extensively to manage their balance sheet interest rate risk. The swap market is the largest segment of the global derivatives market, with notional outstanding in the hundreds of trillions of dollars."
What is a credit default swap (CDS) and what was its role in the 2008 crisis?,"A credit default swap is a contract in which the protection buyer pays periodic premiums to the protection seller; if a specified credit event (default, bankruptcy, restructuring) occurs on a reference entity, the seller compensates the buyer for the loss. CDS function like insurance on corporate or sovereign debt — they let investors hedge credit risk without selling bonds. In the 2008 financial crisis, AIG had sold enormous quantities of CDS protection on mortgage-backed securities and CDOs without holding sufficient capital to pay claims. When those securities collapsed, AIG's CDS obligations triggered a $180 billion U.S. government bailout. CDS markets also enabled banks to take on far more credit risk than their balance sheets could bear, creating systemic interconnections that amplified the crisis. Post-crisis reforms mandated central clearing for most standardized CDS, reducing but not eliminating systemic risk."
What is a currency swap?,"A currency swap involves two parties exchanging principal and interest payments in different currencies. Party A borrows dollars and swaps to euros; Party B borrows euros and swaps to dollars. At maturity, they re-exchange the principal amounts. Currency swaps allow corporations and governments to borrow in foreign currencies at lower rates than they could directly (due to comparative advantage in their home currency), then swap into the desired currency. Central banks use currency swap lines to provide foreign currency liquidity during crises (e.g., the Federal Reserve opened swap lines with major central banks during the 2008 crisis and COVID crisis to supply dollars globally). Unlike interest rate swaps, currency swaps exchange actual principal amounts, making them more capital-intensive but also essential tools for international borrowers managing cross-currency funding needs."
What is a total return swap?,"A total return swap (TRS) is a derivative contract where one party (the total return payer) agrees to pay the other party (the total return receiver) the total economic return of an asset — including price appreciation and any income (dividends or coupons). In return, the receiver pays a fixed or floating rate. The total return receiver gains full economic exposure to the asset without owning it, and the payer can effectively short the asset. Banks use TRS to reduce credit exposure to clients without selling loans. Hedge funds use TRS to gain leveraged exposure to equities, bonds, or indexes without posting the full capital. The Archegos Capital collapse in 2021 was partly caused by massive leveraged TRS positions — when forced margin calls hit, the unwinding of these positions caused billions in losses at major banks, highlighting the systemic risk from opaque TRS exposures."
What is a variance swap?,"A variance swap is a derivative contract that pays out based on the difference between realized variance (the actual variability of an asset's returns over the contract period) and a predetermined fixed variance level (the strike). If realized variance exceeds the strike, the long variance buyer profits. If volatility is lower than expected, the seller profits. Variance swaps allow traders to take pure positions on volatility without the complications of managing delta. They are used by volatility traders, hedge funds, and banks managing volatility exposure in structured products. Unlike VIX options or options straddles, variance swaps have no explicit directional bias — only volatility matters. The payoff is convex: in extreme volatility events, realized variance can massively exceed the strike. Variance swaps are OTC instruments used by institutional participants, not retail investors."
What is a commodity swap?,"A commodity swap is a derivatives agreement where one party pays a fixed price for a commodity and receives the floating (market) price in return — or vice versa — without any physical exchange of the commodity. They are widely used by corporations to manage commodity price risk. An airline might enter a swap paying a fixed price for jet fuel per barrel and receiving the floating market price — effectively locking in fuel costs. A commodity producer might pay floating and receive fixed, locking in a selling price for its output. Commodity swaps are OTC instruments, tailored to the specific commodity, volume, and duration needed. They differ from futures in that they are not standardized or exchange-traded, making them flexible but also subject to counterparty risk (now largely mitigated by central clearing mandates under Dodd-Frank)."
What is the difference between options and futures?,"Options and futures are both derivatives, but they differ fundamentally in obligation. A futures contract obligates both parties to transact at the agreed price — the buyer must buy and the seller must sell (or cash settle). An option gives the buyer the right, but not the obligation, to buy (call) or sell (put) an asset at the strike price. The option buyer pays a premium for this flexibility; if the option is not exercised, the only loss is the premium. Futures have symmetric risk — both buyer and seller face unlimited gain/loss potential. Options are asymmetric — the buyer's maximum loss is the premium, while the seller has unlimited risk (for calls). Options are better for strategies where you want defined risk. Futures are better for hedging where you want to lock in a price and don't need the optionality. Both can be used for hedging or speculation."
What is intrinsic value vs time value of an option?,"An option's total premium consists of two components: intrinsic value and time value. Intrinsic value is the amount by which an option is in-the-money — how much it would be worth if exercised immediately. A call with a $50 strike when the stock trades at $55 has $5 of intrinsic value. An out-of-the-money option has zero intrinsic value. Time value (extrinsic value) is the additional amount above intrinsic value that the market pays for the possibility that the option will move further in-the-money before expiration. Time value reflects uncertainty, time remaining, and implied volatility. As expiration approaches, time value decays to zero (theta decay) — an out-of-the-money option with 3 months left is worth more than the same option with 1 day left. Time value is maximum for at-the-money options and declines for deeply in-the-money or out-of-the-money options."
What is Delta in options?,"Delta measures the rate of change of an option's price relative to a $1 change in the underlying asset's price. A call option with a delta of 0.50 gains approximately $0.50 when the stock rises by $1. Delta ranges from 0 to 1 for calls and 0 to -1 for puts. An at-the-money option has a delta near 0.50 (calls) or -0.50 (puts). Deep in-the-money options have deltas near 1 (or -1 for puts), behaving almost like the stock itself. Out-of-the-money options have deltas near 0, with little sensitivity to small stock movements. Delta also represents the approximate probability that an option will expire in-the-money. Portfolio managers use delta to calculate a position's overall directional exposure and to construct delta-neutral hedges that are insensitive to small price moves."
What is Gamma in options?,"Gamma measures the rate of change of delta for a $1 move in the underlying — it is the second derivative of the option's price with respect to the stock price. High gamma means delta changes rapidly as the stock moves, making the position's risk profile change quickly and requiring frequent rebalancing. Gamma is highest for at-the-money options near expiration — a small stock move can dramatically shift the delta and the option's value. Long option positions have positive gamma (delta increases as the stock moves in your favor). Short option positions have negative gamma — as the stock moves against you, your losses accelerate. Options sellers (who collect premium) face negative gamma risk: a large sudden move can create losses far greater than the premium received. Gamma risk is a key reason why selling options during low-volatility periods can be dangerous when volatility spikes unexpectedly."
What is Theta in options?,"Theta measures the rate at which an option loses value over time, all else equal — also called time decay. A theta of -0.05 means the option loses approximately $0.05 per day due to the passage of time. Theta is a cost for option buyers (their options decay daily) and a benefit for option sellers (they profit as time passes). Theta decay is not linear — it accelerates sharply as expiration approaches. At-the-money options experience the most rapid theta decay in the final few weeks. Out-of-the-money options lose their remaining time value rapidly near expiration. Options sellers — covered call writers, cash-secured put sellers — benefit from theta and aim to sell options with high time value and let decay erode the premium they collected. Buyers of options must be right about direction AND timing, because theta works against them every day they hold the position."
What is Vega in options?,"Vega measures an option's sensitivity to changes in implied volatility — the amount by which the option's price changes for a 1 percentage point change in implied volatility. A vega of 0.15 means the option gains $0.15 if implied volatility rises 1%. Long option positions have positive vega — they benefit from rising volatility (which increases option prices). Short option positions have negative vega — they lose when volatility rises. Vega is highest for at-the-money options and longer-dated options (LEAPS have the highest vega). This is why options prices spike during market uncertainty — implied volatility rises, inflating premiums. Options traders carefully monitor vega when constructing positions: an earnings straddle buys both a call and put to benefit from a large move (positive vega); an iron condor sells options and has negative vega, losing when volatility rises unexpectedly."
What is Rho in options?,"Rho measures an option's sensitivity to changes in interest rates — the change in option price for a 1 percentage point change in the risk-free rate. Call options have positive rho (they gain value when rates rise because buying a call is a leveraged long position, and the cost-of-carry benefit increases). Put options have negative rho (they lose value when rates rise because puts compete with the alternative of selling shares and earning interest on the proceeds). Rho is the least impactful of the major Greeks under normal conditions — small interest rate changes have minimal effect on near-term options. However, for long-dated options (LEAPS), rho is more meaningful because small rate changes accumulate over a longer period. Rho became more relevant in 2022–2023 when the Fed rapidly raised rates from near zero to 5.25%, meaningfully affecting LEAPS pricing."
