"question","answer"
"How do bonds work at a fundamental level?","A bond is a debt instrument where the issuer borrows money from investors, promising to pay periodic interest (coupon) and return the principal at maturity. Bondholders are creditors with a contractual claim senior to equity holders in case of bankruptcy. The bond market is actually larger than the global equity market and includes government, corporate, municipal, and structured securities."
"What is par value (face value) of a bond?","Par value is the principal amount the issuer promises to repay at maturity, typically $1,000 for corporate bonds or $10,000 for government bonds. Bonds trade at par, above par (at a premium), or below par (at a discount) in the secondary market as interest rates and credit conditions change. The coupon rate is always calculated on par value regardless of the bond's current market price."
"What is the coupon rate and how are coupon payments made?","The coupon rate is the annual interest rate stated on the bond, expressed as a percentage of par value. Most bonds pay coupons semi-annually; a $1,000 bond with a 6% coupon pays $30 every six months. Zero-coupon bonds pay no periodic interest and are issued at a deep discount, with the return realized as the bond accretes to par value at maturity."
"What is a bond's maturity date?","The maturity date is when the issuer must repay the principal amount to bondholders. Bond maturities range from very short (Treasury bills mature in days to one year), to intermediate (2-10 years), to long-term (10-30+ years). Longer maturities carry more interest rate risk as there is more time for rates to change and erode the bond's value."
"What is the difference between bond yield and coupon rate?","The coupon rate is fixed at issuance while the yield changes as the bond's price fluctuates in the market. If a 5% coupon bond falls to $900, the yield rises above 5% because you earn the same $50 coupon on a lower investment while also gaining toward par at maturity. Yield represents the actual return you earn if you buy at current prices and hold to maturity."
"How is current yield calculated?","Current yield equals the annual coupon payment divided by the current market price of the bond. A bond with a 6% coupon ($60 annual payment) trading at $950 has a current yield of 6.32% ($60/$950). Current yield is a simple metric that ignores capital gains or losses to par at maturity, making it less informative than yield to maturity."
"What is yield to maturity (YTM)?","Yield to maturity is the total return anticipated on a bond if held until maturity, incorporating the coupon payments, the difference between purchase price and par value, and the time value of money. It is the internal rate of return (IRR) of the bond's cash flows. YTM is the most comprehensive yield measure and is used to compare bonds across different coupon rates and maturities."
"What is yield to call (YTC)?","Yield to call calculates the yield assuming the bond is called (redeemed early) by the issuer at the first call date rather than held to maturity. Callable bonds have higher yields than non-callable bonds to compensate investors for call risk (reinvestment risk if rates have fallen). YTC should be compared to YTM; if YTC is lower, the call option works against the investor."
"What is yield to worst (YTW)?","Yield to worst is the lowest yield an investor can receive assuming no default, calculated across all possible call dates and maturity. For a callable bond, YTW is the minimum of YTM and all YTC calculations for each call date. It is the most conservative yield measure and represents the worst-case return assuming the issuer exercises its most advantageous option."
"Why do bond prices move inversely to interest rates?","When new bonds are issued at higher interest rates, existing bonds with lower coupons become less attractive and their prices must fall to make their yields competitive. Conversely, if rates fall, existing bonds with higher coupons are more valuable and their prices rise. This inverse relationship is fundamental: a 1% rise in rates on a 10-year bond causes approximately a 7-8% price decline in that bond."
