question,answer
What is money?,"Money is a medium of exchange, a store of value, and a unit of account that a society agrees to use for transactions. It replaces the inefficiency of barter (directly trading goods and services). Modern money is fiat currency — its value isn't backed by gold but by government decree and public trust. Money serves three functions: enabling transactions (medium of exchange), measuring value (unit of account), and preserving purchasing power over time (store of value). Money exists in physical form (coins and notes) and digital form (bank balances, electronic transfers). The value of money erodes over time through inflation, which is why storing all wealth in cash is financially unwise. Understanding money's nature is foundational to all financial decision-making."
How do banks make money?,"Banks make money primarily through the spread between interest rates. They pay depositors a low interest rate (e.g., 2% on savings accounts) and charge borrowers a higher interest rate (e.g., 6% on mortgages, 20% on credit cards). The difference — the net interest margin — is the bank's core profit. Banks also earn fees: monthly account fees, overdraft fees, wire transfer fees, ATM fees, and loan origination fees. Investment banking divisions earn advisory fees and trading revenues. Banks can lend out significantly more than they hold in deposits through fractional reserve banking — if required reserves are 10%, a bank with $1 million in deposits can lend out up to $9 million, multiplying profits but also concentrating risk."
What is the Federal Reserve?,"The Federal Reserve (the Fed) is the central bank of the United States, created by Congress in 1913. Its primary mandates are to maximize employment, stabilize prices (target 2% inflation), and moderate long-term interest rates. The Fed's most powerful tools are: setting the federal funds rate (the overnight interest rate between banks), conducting open market operations (buying/selling government bonds to control money supply), and setting reserve requirements for banks. When the Fed raises rates, borrowing becomes more expensive throughout the economy, cooling inflation but slowing growth. When it cuts rates, borrowing is cheaper, stimulating spending and investment. The Fed also supervises banks and serves as the lender of last resort during financial crises."
What is GDP?,"GDP (Gross Domestic Product) is the total monetary value of all goods and services produced within a country's borders during a specific period, typically measured quarterly and annually. It is the most widely used measure of an economy's size and health. Growing GDP means the economy is expanding — businesses are producing more, employment typically rises, and living standards generally improve. Shrinking GDP for two consecutive quarters is the technical definition of a recession. GDP per capita (GDP divided by population) is a better measure of living standards. The US GDP is approximately $27 trillion annually, making it the world's largest economy. GDP growth of 2–3% annually is considered healthy for a developed economy."
What is a recession?,"A recession is a significant decline in economic activity spread across the economy lasting more than a few months. The technical definition is two consecutive quarters of negative GDP growth. During a recession: businesses produce less, unemployment rises, consumer spending falls, investment declines, and credit tightens. Recessions are a normal part of the economic cycle — the US has experienced 12 recessions since 1945, each lasting an average of about 10 months. Causes include financial crises, oil price shocks, interest rate increases, demand shocks, or bursting asset bubbles. The government responds with fiscal stimulus (increased spending, tax cuts) and the Federal Reserve lowers interest rates to encourage borrowing and investment. Most recessions are followed by recoveries that eventually surpass previous highs."
What is inflation?,"Inflation is the rate at which the general price level of goods and services rises over time, reducing the purchasing power of money. If the inflation rate is 3%, something that cost $100 last year costs $103 today. The Federal Reserve targets 2% annual inflation. Inflation is measured by the Consumer Price Index (CPI) and Producer Price Index (PPI). Causes include too much money chasing too few goods (demand-pull inflation), rising production costs passed to consumers (cost-push inflation), or monetary policy that expands the money supply faster than economic growth. Moderate inflation is normal and even desired — it encourages spending rather than hoarding. Hyperinflation (rapid, extreme inflation) is devastating, as seen in historical examples like Weimar Germany and Zimbabwe. Deflation (falling prices) can also be harmful, leading to spending delays and economic contraction."
What is unemployment?,"Unemployment refers to people who are actively looking for work but unable to find a job. The unemployment rate is calculated as the percentage of the labor force that is unemployed. The US unemployment rate is reported monthly by the Bureau of Labor Statistics. Types include: cyclical unemployment (due to economic downturns), structural unemployment (skills don't match available jobs), frictional unemployment (between jobs), and seasonal unemployment. A healthy economy has some level of unemployment — typically 4–5% is considered natural or full employment. Zero unemployment is undesirable and unrealistic. High unemployment signals economic distress and reduces consumer spending. The Fed considers unemployment alongside inflation when setting interest rate policy."
What is the stock market?,"The stock market is a collection of exchanges and markets where shares of publicly traded companies are bought and sold. Companies raise capital by issuing shares to the public (IPO — initial public offering), and investors then trade those shares among themselves on exchanges like the NYSE or NASDAQ. Stock prices are determined by supply and demand — when more people want to buy than sell, prices rise, and vice versa. The overall health of the market is tracked by indices like the S&P 500 (500 largest US companies), Dow Jones Industrial Average (30 large companies), and NASDAQ Composite (technology-heavy). Historically, the stock market has been one of the most powerful wealth-building tools available to ordinary investors over long time periods."
What is a bond?,"A bond is a debt instrument — essentially an IOU. When you buy a bond, you're lending money to the issuer (a government or corporation) in exchange for regular interest payments (the coupon) and the return of your principal at maturity. For example, a 10-year US Treasury bond with a 4% coupon pays 4% of face value annually for 10 years, then returns the principal. Bonds are generally safer than stocks because they have fixed payments and return of principal at maturity. However, bond prices move inversely with interest rates — when rates rise, existing bond prices fall. Bonds play an important role in portfolios, providing stability and income, especially as investors approach retirement."
What is a mutual fund?,"A mutual fund pools money from many investors to purchase a diversified portfolio of stocks, bonds, or other securities. Each investor owns shares in the fund proportional to their investment. A professional fund manager makes investment decisions. Types include: actively managed funds (manager tries to beat the market, higher fees) and passively managed index funds (track a benchmark index, very low fees). Mutual funds are priced once per day after market close. Benefits: instant diversification, professional management, and low minimum investment requirements. The main consideration is the expense ratio (annual fee) — even small differences in fees compound significantly over decades. A 1% vs 0.1% expense ratio difference on $100,000 over 30 years at 7% returns costs over $200,000 in lost wealth."
