question,answer
How do you analyze a stock?,"Let's think through this: Step 1: Start with the business model — understand exactly how the company makes money, who its customers are, and why they buy from this company rather than competitors. Step 2: Assess competitive advantage (moat) — does the company have durable advantages like switching costs (enterprise software), network effects (payment networks), cost advantages, or intangible assets (brands, patents)? Step 3: Analyze financial quality — review income statement (revenue growth, margins), balance sheet (debt levels, cash), and cash flow statement (free cash flow generation). Step 4: Evaluate management — track record, capital allocation history, insider ownership, shareholder communication. Step 5: Estimate intrinsic value — using DCF, comparables, or earnings multiples. Step 6: Determine margin of safety — only buy at a sufficient discount to your estimated value (Graham's margin of safety principle). Therefore, stock analysis combines qualitative business evaluation with quantitative financial analysis, always comparing what you're getting (business quality and growth) to what you're paying (valuation)."
What is free cash flow and why does it matter?,"Free cash flow (FCF) is the cash a company generates after spending what's needed to maintain and grow its business (capital expenditures). FCF = Operating Cash Flow − Capital Expenditures. FCF is often considered a more reliable measure of business health than accounting earnings because it's harder to manipulate and represents actual cash the company can use for shareholder-friendly activities: paying dividends, buying back stock, acquiring businesses, or paying down debt. A company can have positive earnings but negative FCF (spending heavily on capex or working capital). Conversely, a capital-light business can generate FCF far exceeding reported earnings. Warren Buffett's concept of 'owner earnings' is similar to FCF. FCF yield (FCF / Market Cap) can be compared to bond yields to assess relative attractiveness."
What is return on invested capital (ROIC)?,"ROIC measures how effectively a company generates profit from the capital deployed in the business. ROIC = Net Operating Profit After Tax (NOPAT) / Invested Capital. Invested capital = total assets − excess cash − non-interest-bearing current liabilities. A company with ROIC consistently above its weighted average cost of capital (WACC) creates value — it earns more on invested capital than it costs to raise that capital. High ROIC businesses (20%+) like software companies, consumer brands, and payment networks can grow profitably without raising much external capital — their profits self-fund growth. Low ROIC businesses (below 8-10%) destroy value even while growing. ROIC is often considered the single most important financial metric for evaluating the quality of a business. Sustainable high ROIC indicates durable competitive advantage."
What is a discounted cash flow analysis?,"A DCF analysis estimates a company's intrinsic value by projecting future free cash flows and discounting them back to present value at the appropriate discount rate (cost of capital). Steps: project FCF for 5-10 years based on revenue growth and margin assumptions, estimate a terminal value (value of all future FCF beyond the projection period — often the largest component), discount all cash flows at the WACC (weighted average cost of capital), sum to get total firm value, subtract net debt, divide by shares outstanding to get per-share intrinsic value. DCF strengths: grounded in economic theory (a business is worth its discounted future cash flows). DCF weaknesses: 'garbage in, garbage out' — small changes in growth rate or discount rate dramatically affect valuation. The terminal value often represents 60-80% of total value, creating significant uncertainty. DCF works best as a sanity check rather than a precise valuation tool."
What is the price-to-earnings ratio?,"The price-to-earnings (P/E) ratio is the most widely used stock valuation multiple. P/E = Stock Price / Earnings Per Share. A P/E of 20 means investors pay $20 for each $1 of annual earnings. Trailing P/E uses the last 12 months of actual earnings. Forward P/E uses the next 12 months of estimated earnings. The P/E tells you what the market is pricing in for growth and quality. High P/E (30-50+): market expects strong future earnings growth (typically tech, growth companies). Low P/E (8-12): low growth expected or elevated risk. Average S&P 500 P/E: historically 15-16x; modern era (post-2010) has averaged 20-25x. P/E is only useful in comparison: to the stock's own historical P/E, industry peers, and the broader market. P/E also varies by economic cycle — earnings collapse in recessions, making P/E artificially high."
What is the PEG ratio?,"The PEG ratio improves on P/E by incorporating expected growth rate. PEG = P/E Ratio / Expected Earnings Growth Rate. A stock with P/E of 25 and expected growth of 25% has a PEG of 1.0. Peter Lynch popularized the PEG ratio and suggested a PEG of 1.0 represents fair value — you're paying a multiple equal to the growth rate. PEG below 1.0 may indicate undervaluation; above 1.5 may indicate overvaluation. The PEG ratio is most useful for comparing growth companies where high P/E ratios are justified by high growth expectations. Limitations: depends heavily on the accuracy of growth rate estimates (using analyst consensus introduces bias), doesn't account for risk or capital intensity, and doesn't work for cyclical companies with volatile earnings."
What is earnings quality?,"Earnings quality refers to how accurately and sustainably reported earnings reflect a company's underlying economic reality. High-quality earnings: closely tied to actual cash generation, conservative accounting choices, recurring and predictable, free from one-time charges or gains. Low-quality earnings: diverge significantly from cash flow (high accruals), include excessive non-recurring restructuring charges (that repeat every year), use aggressive accounting assumptions (optimistic revenue recognition, liberal asset valuations), or are boosted by financial engineering. Key red flags: growing gap between net income and operating cash flow, rising days sales outstanding (customers paying slower), inventory build relative to revenue, frequent changes in accounting methods, repeated 'one-time' charges, and auditor changes or qualifications. Warren Buffett's test: prefer businesses where earnings can be easily verified against actual cash generation."
What is a moat in business?,"An economic moat (Warren Buffett's term) is a sustainable competitive advantage that protects a company's profits from competition — like a castle's moat protecting against attack. Types of moats: Network effects (more users make the product more valuable for everyone — Facebook, Visa, NASDAQ exchanges), Switching costs (customers are locked in — SAP, Salesforce, payroll software), Cost advantages (structural cost edge from scale, process, or resources — Amazon logistics, Walmart, Costco), Intangible assets (brands, patents, licenses — Apple, Coca-Cola, pharmaceutical companies), Efficient scale (natural monopoly in limited markets — railroads, utility companies). Wide-moat companies maintain above-average ROIC for 10+ years. Narrow-moat companies maintain advantage for 5-10 years. No-moat companies face constant competitive pressure eroding profits. Moat analysis is central to long-term value investing."
What is the balance sheet and how to analyze it?,"The balance sheet shows a company's financial position at a point in time: Assets = Liabilities + Shareholders' Equity. Key analysis areas: Liquidity (current ratio = current assets/current liabilities should be >1; quick ratio excludes inventory), Leverage (debt-to-equity ratio, interest coverage ratio — earnings/interest expense should be >3x comfortably), Asset quality (are assets real or inflated? Watch goodwill from acquisitions, which can be written down), Cash position (how much runway does the company have?), and Working capital trends (rising receivables or inventory vs revenue may signal issues). Strong balance sheets: net cash position (cash > debt), low leverage, high-quality tangible assets, rising book value over time. Weak balance sheets: high debt relative to earnings, rising goodwill, declining equity, negative working capital for non-retail businesses."
What is revenue quality and how to assess it?,"Revenue quality evaluates whether reported revenue reflects genuine business activity that will recur. High-quality revenue: recurring subscription revenues (SaaS, insurance premiums), repeat-purchase consumer goods, long-term contracted revenues with locked-in customers. Low-quality revenue: one-time sales, revenues recognized aggressively before cash is received, channel stuffing (pushing excess inventory to distributors to hit quarterly targets, reversed next quarter), revenues from related-party transactions. Key metrics: revenue recognition policy (how and when does the company recognize revenue?), deferred revenue trends (growing deferred revenue is bullish — customers paying in advance), customer concentration (>20% from one customer creates risk), and revenue breakdowns by segment and geography."
What is margin expansion and why does it matter?,"Operating margin = Operating Income / Revenue. Margin expansion occurs when a company grows revenue faster than costs, increasing profitability. It's one of the most powerful drivers of stock performance — a combination of revenue growth plus margin expansion compounds dramatically. A company with 10% revenue growth and 2 percentage points of annual margin expansion can grow earnings 20%+ per year. Drivers of margin expansion: operating leverage (fixed cost spread over growing revenue), pricing power (raising prices without losing volume), mix shift toward higher-margin products/services, and improving efficiency. Margin contraction warning signs: rising customer acquisition costs, input cost inflation not passed through pricing, growing SG&A as a percentage of revenue, and increasing competitive pressure. Amazon Web Services (AWS) expanding margins while growing rapidly was a key driver of Amazon's stock appreciation."
What is the income statement analysis?,"The income statement shows revenue, expenses, and profit over a period. Key analysis: Revenue trends (organic growth vs acquisition? Pricing vs volume?), Gross margin (Revenue minus COGS — reflects pricing power and production efficiency; compare to competitors and historical levels), Operating expenses (are SG&A and R&D growing faster or slower than revenue?), Operating income and margin, Interest expense (high interest expense signals heavy debt burden), Tax rate (effective tax rate vs statutory — large differences warrant investigation), Net income, and EPS. Red flags: revenue growing but gross margin declining (competitive pressure), R&D spending declining (sacrificing future for current profits), large and recurring 'one-time' charges, and rapidly growing accounts receivable vs revenue (aggressive revenue recognition)."
What is the cash flow statement?,"The cash flow statement tracks actual cash movements in three categories: Operating Cash Flow (OCF): cash generated by the core business (net income adjusted for non-cash items like depreciation and changes in working capital). The most important section — this is what the business actually generates. Investing Cash Flow: capital expenditures (negative, maintenance + growth capex), acquisitions, asset sales, and investment purchases. Financing Cash Flow: debt issuance/repayment, equity issuance, dividends, and share buybacks. Key metrics derived: Free Cash Flow (OCF − Capex), Cash conversion ratio (FCF / Net Income — should be close to 1.0 for high-quality earners), and Capital allocation choices (does management deploy cash wisely?). The cash flow statement is the hardest to manipulate and thus the most reliable financial statement. Divergence between net income and OCF (accruals) is a major quality red flag."
What is insider trading (legal form) and how to use it?,"Legal insider trading refers to officers, directors, and significant shareholders buying or selling their company's stock according to SEC rules and with required disclosure on Form 4 (due within 2 business days of the transaction). This is legal and public information — different from illegal insider trading using material non-public information. How to use it: cluster buying (multiple insiders buying at the same time) is the most bullish signal. CEO/CFO purchases at open-market prices with their own money are significant — they know the business better than anyone. Insider selling is more ambiguous — executives sell for many reasons (diversification, taxes, lifestyle). The highest-signal insider activity: multiple insiders buying after a price decline. Study shows stocks with significant cluster buying outperform over the following 12 months. SEC EDGAR and services like InsiderSentiment.com track all insider filings."
