question,answer
What is a mortgage?,"A mortgage is a loan used to purchase real estate, where the property itself serves as collateral. The lender provides the purchase price, and you repay the loan in monthly installments over a set term — typically 15 or 30 years. Your monthly payment includes principal (the portion reducing your loan balance) and interest. Most mortgages also include property taxes and homeowner's insurance collected in an escrow account and paid on your behalf by the lender. If you stop making payments, the lender can foreclose — taking legal ownership of the property to recover the loan amount. Mortgages typically offer lower interest rates than other loans because they are secured by real estate."
How does a mortgage work?,"Let's think through this: Step 1: You apply to a lender and get pre-approved, which shows sellers you can afford their home. The lender checks your credit score, income, debt-to-income ratio, and assets. Step 2: Once an offer is accepted, the lender orders a home appraisal (verifying the property is worth the loan amount) and title search (confirming clear ownership). Step 3: At closing, you sign final loan documents, pay closing costs (typically 2–5% of purchase price), and the lender transfers funds to the seller. Step 4: You make monthly mortgage payments. Each payment includes principal, interest, and usually escrow for taxes and insurance. Step 5: Early payments are mostly interest (interest-heavy front loading called amortization). As the balance decreases, more of each payment goes to principal. Step 6: After the full term (30 years), the loan is paid off and you own the property free and clear. Therefore, a mortgage is a 15–30 year financial commitment that enables homeownership by spreading the purchase price into manageable monthly payments."
Should I buy or rent a home?,"Let's think through this: Step 1: Consider your time horizon. Buying typically takes 3–7 years to break even versus renting, due to transaction costs (closing costs of 2–5% when buying, realtor commissions of 5–6% when selling). If you might move within 3 years, renting is almost always financially smarter. Step 2: Calculate the total cost of ownership — not just the mortgage. Add property taxes (0.5–2% of home value annually), homeowner's insurance, maintenance (budget 1% annually), HOA fees if applicable, and PMI if less than 20% down. This true total cost often exceeds just the mortgage payment. Step 3: In expensive metro areas, renting and investing the difference can sometimes outperform buying financially. Use an online rent-vs-buy calculator with your specific numbers. Step 4: Consider non-financial factors: stability and roots, freedom to customize, building equity (forced savings), and flexibility vs. being tied to a location. Step 5: Ensure you can afford the payment comfortably — housing costs should not exceed 28–30% of gross income. Therefore, buying is better for long-term stability and wealth building if you can afford all costs comfortably and plan to stay 5+ years; renting is better for flexibility, expensive markets, or if you haven't saved adequate down payment and reserves."
What is a down payment?,"A down payment is the upfront cash payment you make when purchasing a home, representing the portion of the purchase price you're paying immediately rather than borrowing. For a $400,000 home with a 10% down payment, you pay $40,000 upfront and borrow $360,000. Minimum down payment requirements depend on the loan type: conventional loans require as little as 3–5%, FHA loans require 3.5% (with credit score above 580), VA loans (veterans) and USDA loans (rural areas) may require no down payment at all. Putting down at least 20% eliminates private mortgage insurance (PMI), reduces your monthly payment, and lowers your interest rate. A larger down payment means less debt, less interest paid over the loan life, and more equity from day one."
What is PMI and how do I avoid it?,"Private mortgage insurance (PMI) is insurance that protects the lender — not the borrower — if you default on a conventional mortgage with less than 20% down payment. PMI typically costs 0.5–1.5% of the original loan amount per year. On a $400,000 loan at 1% PMI, that's $4,000/year ($333/month) added to your payment — for protection you never benefit from. To avoid PMI: save for a 20% down payment before buying. Use a VA loan or USDA loan if eligible (they don't require PMI). Use a piggyback loan (80/10/10 structure: 80% first mortgage, 10% second mortgage, 10% down). If you already pay PMI, it automatically cancels when you reach 22% equity, and you can request removal at 20% equity (based on current appraisal)."
What is a fixed-rate mortgage?,"A fixed-rate mortgage has an interest rate that stays constant for the entire loan term — typically 15 or 30 years. Your principal and interest payment never changes, providing predictability and protection against rising interest rates. Fixed-rate mortgages are ideal when rates are low (locking in a favorable rate forever) or when you value payment stability and budget predictability. The 30-year fixed-rate mortgage is the most common type in the US, offering lower monthly payments by spreading repayment over a longer period. The 15-year fixed-rate has a higher monthly payment but a lower rate and builds equity much faster, saving enormous amounts in interest over the life of the loan. Choose fixed-rate when you plan to stay in the home long-term."
What is an adjustable-rate mortgage?,"An adjustable-rate mortgage (ARM) has an interest rate that changes periodically after an initial fixed period. Common ARMs: 5/1 ARM (fixed for 5 years, then adjusts annually), 7/1 ARM, and 10/1 ARM. ARM rates are typically lower initially than fixed rates. After the fixed period, the rate adjusts based on a market index (like SOFR) plus a margin, subject to caps (limits on how much the rate can change per adjustment and over the life of the loan). ARMs carry interest rate risk — if rates rise significantly, your payment could increase substantially. They are best suited for borrowers who plan to sell or refinance before the fixed period ends, or those confident rates will fall. During low-rate environments, fixed rates are generally preferable; ARMs make sense when fixed rates are high and expected to fall."
What is home equity?,"Home equity is the portion of your home's value that you actually own — the difference between what your home is worth and what you still owe on your mortgage. If your home is valued at $500,000 and you owe $300,000, you have $200,000 in equity (40%). Equity builds in two ways: paying down your mortgage principal over time, and appreciation (the home increasing in value). Home equity is a form of wealth that builds passively. You can access it through: home equity loans (lump sum at fixed rate), HELOCs (revolving credit line), or cash-out refinancing (new larger mortgage, taking equity as cash). Tapping equity has risks: the home serves as collateral, so defaulting can lead to foreclosure. Use equity wisely for value-adding purposes (renovation, education) rather than consumption."
What are closing costs?,"Closing costs are fees and expenses paid at the conclusion of a real estate transaction, in addition to the down payment. Typical total closing costs range from 2–5% of the loan amount for buyers. Common closing costs include: loan origination fee (0.5–1% of loan), appraisal fee ($300–$600), title insurance ($500–$1,500), title search fee ($200–$400), recording fees ($50–$200), attorney fees (where required), homeowner's insurance prepayment (1 year), property tax prepayment, and prepaid interest (days remaining in the month). Sellers typically pay realtor commissions (5–6% of sale price). The lender provides a Loan Estimate within 3 days of application showing estimated closing costs. You can sometimes negotiate for the seller to pay a portion of your closing costs as part of the purchase offer."
What is pre-approval for a mortgage?,"Mortgage pre-approval is a formal evaluation by a lender of your finances — credit score, income, debts, and assets — resulting in a written commitment to lend you up to a specific amount under stated conditions. Pre-approval differs from pre-qualification (informal estimate based on self-reported info) — pre-approval involves actual document verification. Benefits: shows sellers you're a serious, qualified buyer; gives you a clear budget; speeds up closing once an offer is accepted; and identifies any credit issues to address before searching for homes. Pre-approval typically takes 1–3 business days and requires: tax returns (2 years), W-2s, pay stubs, bank statements, and permission for a credit check. Pre-approval letters are usually valid for 60–90 days."
