question,answer
What is an options contract?,"An options contract gives the buyer the right but not the obligation to buy or sell an underlying asset at a specified price (strike price) before or on the expiration date. The seller (writer) receives the premium and is obligated to fulfill the contract if exercised. One standard equity options contract typically represents 100 shares of the underlying stock."
How does a call option work?,"A call option gives the buyer the right to purchase the underlying asset at the strike price before expiration. Call buyers profit when the underlying price rises above the strike price plus the premium paid. Call sellers collect the premium upfront but must deliver the shares if assigned, capping their upside to the premium received while retaining unlimited downside risk."
How does a put option work?,"A put option gives the buyer the right to sell the underlying asset at the strike price before expiration. Put buyers profit when the underlying price falls below the strike price minus the premium paid, and puts are commonly used for portfolio protection. Put sellers collect the premium and are obligated to buy shares at the strike price if assigned."
What determines an option's premium?,"An option's premium has two components: intrinsic value (how far in-the-money the option is) and extrinsic value (time value plus implied volatility component). Higher implied volatility, more time to expiration, and at-the-money strikes all increase premium. Premium is also influenced by interest rates and dividends, though these are typically smaller factors."
What is the difference between intrinsic value and time value in options?,"Intrinsic value is the immediate exercise value: for a call, it is the stock price minus strike price (if positive); for a put, it is the strike minus stock price (if positive). Time value is the remainder of the premium above intrinsic value and represents the probability of the option gaining more intrinsic value before expiration. Time value decays to zero at expiration, a process captured by the Greek theta."
What does in-the-money mean for options?,"A call option is in-the-money (ITM) when the stock price is above the strike price, while a put is ITM when stock price is below the strike. At-the-money (ATM) options have strike prices nearest to current stock price, and out-of-the-money (OTM) options have no intrinsic value. ITM options have higher premiums and move more like the underlying stock, while OTM options are cheaper but require larger moves to become profitable."
What are the options Greeks?,"The options Greeks are sensitivity measures: delta (price sensitivity), gamma (rate of delta change), theta (time decay), vega (volatility sensitivity), and rho (interest rate sensitivity). Together they describe how an option's price will change under various market conditions. Understanding the Greeks is essential for managing options positions and building strategies with defined risk profiles."
How does delta work in options trading?,"Delta measures how much an option's price changes for a $1 move in the underlying asset, ranging from 0 to 1 for calls and -1 to 0 for puts. A 0.50 delta call gains approximately $0.50 for every $1 rise in the stock price. Delta also approximates the probability that the option expires in-the-money, making it useful for selecting appropriate strike prices."
What is gamma in options and why does it matter?,"Gamma measures the rate at which delta changes as the underlying moves, essentially measuring the curvature of the option's price curve. ATM options have the highest gamma, especially near expiration, making them highly sensitive to small price moves. Traders long options benefit from gamma as favorable moves create increasing delta exposure, while short options traders face gamma risk and must continuously hedge."
How does theta (time decay) affect options positions?,"Theta measures the daily rate at which an option loses value due to the passage of time, all else equal. Time decay accelerates as expiration approaches, particularly in the final 30-45 days, and is highest for ATM options. Options sellers benefit from theta decay, while buyers must overcome it, which is why many professional traders prefer selling options in stable markets."
