question,answer
What is Bitcoin?,"Bitcoin is the world's first decentralized digital currency, created in 2009 by the pseudonymous Satoshi Nakamoto. It operates without a central bank or administrator, using a peer-to-peer network and blockchain technology to enable direct transactions. Bitcoin has a fixed supply of 21 million coins, making it deflationary by design — no more can ever be created. Transactions are verified by network participants (miners) using computational work (proof of work). Bitcoin is often called digital gold because of its scarcity, store-of-value properties, and resistance to censorship. It's the largest cryptocurrency by market capitalization and widely considered the most secure and decentralized blockchain."
What is blockchain technology?,"A blockchain is a distributed ledger — a database replicated across thousands of computers simultaneously. Records (blocks) are grouped into a chain, with each block containing a cryptographic hash of the previous block, creating an immutable historical record. Once data is written to the blockchain, it's nearly impossible to alter without redoing all subsequent blocks and controlling more than 50% of the network's computing power. Key properties: decentralization (no single point of control), transparency (all transactions visible), immutability (records are permanent), and trustlessness (rules enforced by code, not institutions). Blockchain technology underlies Bitcoin, Ethereum, and thousands of other cryptocurrencies."
What is Ethereum?,"Ethereum is a decentralized blockchain platform that extends Bitcoin's concept of digital money to include programmable smart contracts. Launched in 2015 by Vitalik Buterin and others, Ethereum enables developers to build decentralized applications (dApps) on its blockchain. Its native currency, Ether (ETH), pays for computation ('gas') on the network. Ethereum transitioned from proof-of-work to proof-of-stake consensus in September 2022 (The Merge), reducing energy consumption by ~99.95%. Ethereum hosts the largest ecosystem of decentralized finance (DeFi), NFTs, DAOs, and Web3 applications. It's often called programmable money because of its smart contract capability."
What is a smart contract?,"A smart contract is a self-executing program stored on a blockchain that automatically enforces and executes the terms of an agreement when predetermined conditions are met — without any intermediary. Written in code, smart contracts eliminate the need for trusted third parties like lawyers, banks, or escrow agents. Example: a smart contract can automatically release payment to a seller when delivery is confirmed, or distribute dividends to token holders based on specified rules. They power DeFi protocols, NFT markets, DAOs, and countless blockchain applications. Benefits: transparency (code is visible), immutability (can't be changed after deployment), and automatic execution. Limitations: bugs in code can be exploited, and they can't access real-world data without oracles."
What is DeFi (decentralized finance)?,"DeFi refers to financial services built on blockchains (primarily Ethereum) that operate without traditional intermediaries like banks, brokerages, or exchanges. DeFi protocols use smart contracts to provide: lending and borrowing (Aave, Compound), decentralized exchanges — DEXs (Uniswap, Curve), yield farming and liquidity mining, stablecoins (DAI), derivatives, insurance, and asset management. Anyone with a crypto wallet and internet connection can access DeFi services globally, 24/7, without identity verification. Total value locked (TVL) in DeFi protocols peaked at over $180 billion in 2021. Key risks: smart contract bugs, oracle manipulation, impermanent loss, regulatory uncertainty, and extreme volatility. DeFi represents a reimagining of finance — open, permissionless, and composable."
What is a stablecoin?,"A stablecoin is a cryptocurrency designed to maintain a stable value, typically pegged to a fiat currency like the US dollar. Types: fiat-collateralized stablecoins (backed 1:1 by actual dollars held in reserve — USDC, USDT), crypto-collateralized stablecoins (backed by cryptocurrency held in smart contracts, over-collateralized to account for volatility — DAI), and algorithmic stablecoins (use algorithms and tokenomics to maintain the peg — not backed by collateral, as shown by TerraUST's catastrophic collapse in 2022). Stablecoins are essential infrastructure for DeFi, crypto trading, and cross-border payments. They allow holders to stay in the crypto ecosystem while avoiding volatility. Regulatory scrutiny of stablecoins is increasing globally."
What is proof of work vs proof of stake?,"Proof of Work (PoW) is the original blockchain consensus mechanism used by Bitcoin. Miners compete to solve complex mathematical puzzles using computational power. The winner adds the next block and earns a block reward. PoW is energy-intensive but considered the most secure and decentralized consensus mechanism — attacking it requires immense computing power. Proof of Stake (PoS) selects validators based on the amount of cryptocurrency they 'stake' (lock as collateral). Validators are randomly selected to propose blocks; dishonest behavior results in losing their stake (slashing). PoS uses 99%+ less energy than PoW. Ethereum switched to PoS in 2022. Trade-offs: PoS is more energy-efficient but some argue it concentrates power among large token holders. PoW is more battle-tested but environmentally costly."
What is a crypto wallet?,"A crypto wallet is software or hardware that stores cryptographic keys, allowing you to manage your cryptocurrency holdings and sign transactions. It doesn't actually store coins — those live on the blockchain. What it stores are private keys (proving ownership) and public keys (your address for receiving funds). Types: hot wallets (connected to internet — software apps like MetaMask, Coinbase Wallet, exchange accounts) are convenient but vulnerable to hacking. Cold wallets (offline hardware devices like Ledger or Trezor) are far more secure for large holdings. Custodial wallets (exchanges hold your keys — 'not your keys, not your coins') vs non-custodial wallets (you control your keys). The golden rule: if you don't control your private keys, you don't truly own your crypto."
What is crypto mining?,"Cryptocurrency mining is the process of validating transactions and adding them to a blockchain by solving complex computational puzzles (proof of work). Miners use specialized hardware (ASICs for Bitcoin, GPUs for some other cryptocurrencies) to compete for the right to add the next block. The winner earns newly created cryptocurrency (block reward) plus transaction fees. Bitcoin's block reward halves approximately every four years (halving events), reducing new supply issuance over time. Mining serves critical functions: creating new coins, processing transactions, and securing the network. Mining profitability depends on cryptocurrency price, energy costs, hardware efficiency, and network difficulty. Bitcoin mining now consumes roughly as much electricity as some small countries — a major environmental criticism."
What is a crypto exchange?,"A cryptocurrency exchange is a platform where users buy, sell, and trade cryptocurrencies. Centralized exchanges (CEXs) like Coinbase, Binance, and Kraken are operated by companies that custody assets, provide liquidity, and match buyers with sellers — similar to stock exchanges. They are regulated to varying degrees, require KYC (Know Your Customer) verification, and are the most user-friendly entry point. Decentralized exchanges (DEXs) like Uniswap operate via smart contracts on blockchains — no company, no custody, no permission required. DEXs use automated market makers (AMMs) with liquidity pools instead of order books. Crypto exchange risks include: hacking (Mt. Gox, FTX), insolvency (FTX collapse), regulatory shutdowns, and custodial risk. The FTX collapse in 2022 demonstrated the catastrophic risks of centralized exchanges commingling user funds."
